Date,Close,Volume,Open,High,Low
2014-12-09,28.53,"240,448,960",27.5475,28.575,27.3375
2014-12-10,27.9875,"177,901,440",28.6025,28.7125,27.885
2014-12-11,27.905,"165,618,760",28.065,28.45,27.835
2014-12-12,27.4325,"223,495,280",27.615,27.9675,27.395
2014-12-15,27.0562,"268,333,040",27.675,27.9,26.5875
2014-12-16,26.6863,"242,607,160",26.5925,27.54,26.565
2014-12-17,27.3525,"213,063,720",26.78,27.46,26.705
2014-12-18,28.1625,"235,142,360",27.9675,28.1625,27.665
2014-12-19,27.945,"346,383,320",28.065,28.31,27.915
2014-12-22,28.235,"180,388,240",28.04,28.3725,27.9925
2014-12-23,28.135,"103,964,120",28.3075,28.3325,28.115
2014-12-24,28.0025,"57,918,440",28.145,28.1775,28.0025
2014-12-26,28.4975,"134,724,800",28.025,28.63,28.0025
2014-12-29,28.4775,"110,133,720",28.4475,28.6925,28.425
2014-12-30,28.13,"119,194,640",28.41,28.48,28.0275
2014-12-31,27.595,"165,219,120",28.205,28.2825,27.5525
2015-01-02,27.3325,"212,575,080",27.8475,27.86,26.8375
2015-01-05,26.5625,"256,843,520",27.0725,27.1625,26.3525
2015-01-06,26.565,"262,729,000",26.635,26.8575,26.1575
2015-01-07,26.9375,"159,933,400",26.8,27.05,26.6737
2015-01-08,27.9725,"236,675,040",27.3075,28.0375,27.175
2015-01-09,28.0025,"214,582,920",28.1675,28.3125,27.5525
2015-01-12,27.3125,"198,284,680",28.15,28.1575,27.2
2015-01-13,27.555,"267,879,920",27.8575,28.2,27.2275
2015-01-14,27.45,"194,912,760",27.26,27.6225,27.125
2015-01-15,26.705,"239,233,880",27.5,27.515,26.665
2015-01-16,26.4975,"313,813,320",26.7575,26.895,26.3
2015-01-20,27.18,"198,969,280",26.96,27.2417,26.625
2015-01-21,27.3875,"193,931,440",27.2375,27.765,27.0675
2015-01-22,28.1,"214,869,760",27.565,28.1175,27.43
2015-01-23,28.245,"185,680,080",28.075,28.4375,27.8825
2015-01-26,28.275,"221,829,680",28.435,28.5907,28.2
2015-01-27,27.285,"369,306,560",28.105,28.12,27.2575
2015-01-28,28.8275,"584,737,200",29.4063,29.53,28.8275
2015-01-29,29.725,"336,528,520",29.08,29.7975,28.89
2015-01-30,29.29,"334,587,200",29.6,30.0,29.2125
2015-02-02,29.6575,"250,169,760",29.5125,29.7925,29.02
2015-02-03,29.6625,"207,368,320",29.625,29.7725,29.4025
2015-02-04,29.89,"279,900,720",29.625,30.1275,29.5772
2015-02-05,29.985,"168,788,440",30.005,30.0575,29.8125
2015-02-06,29.7325,"174,534,640",30.005,30.0625,29.6125
2015-02-09,29.93,"151,603,120",29.6375,29.96,29.6075
2015-02-10,30.505,"247,381,560",30.0425,30.5375,30.04
2015-02-11,31.22,"293,112,080",30.6925,31.23,30.625
2015-02-12,31.615,"297,498,520",31.515,31.87,31.3925
2015-02-13,31.77,"215,822,600",31.82,31.82,31.4125
2015-02-17,31.9575,"252,056,440",31.8725,32.22,31.73
2015-02-18,32.1788,"178,783,920",31.9063,32.195,31.8625
2015-02-19,32.1125,"149,181,840",32.12,32.2575,32.0825
2015-02-20,32.3738,"195,513,640",32.155,32.375,32.0125
2015-02-23,33.25,"292,357,000",32.505,33.25,32.415
2015-02-24,33.0425,"276,437,640",33.235,33.4,32.7925
2015-02-25,32.1975,"298,220,480",32.89,32.9,32.0375
2015-02-26,32.6037,"364,687,320",32.1962,32.7175,31.6525
2015-02-27,32.115,"247,725,400",32.5,32.6425,32.06
2015-03-02,32.2725,"192,170,720",32.3125,32.57,32.075
2015-03-03,32.34,"150,999,600",32.24,32.38,32.0225
2015-03-04,32.135,"126,353,920",32.275,32.39,32.08
2015-03-05,31.6025,"225,565,120",32.145,32.1875,31.44
2015-03-06,31.65,"290,798,720",32.1,32.3425,31.565
2015-03-09,31.785,"353,640,960",31.99,32.3925,31.265
2015-03-10,31.1275,"274,881,440",31.6025,31.805,30.95
2015-03-11,30.56,"275,250,760",31.1875,31.1925,30.5275
2015-03-12,31.1125,"192,933,080",30.5775,31.225,30.4075
2015-03-13,30.8975,"206,978,680",31.1,31.3488,30.645
2015-03-16,31.2375,"143,265,200",30.97,31.2375,30.7175
2015-03-17,31.76,"203,564,920",31.475,31.83,31.4125
2015-03-18,32.1175,"260,472,680",31.75,32.29,31.5925
2015-03-19,31.8738,"182,698,080",32.1875,32.3113,31.85
2015-03-20,31.475,"274,064,720",32.0625,32.1,31.29
2015-03-23,31.8025,"150,390,400",31.78,31.9625,31.63
2015-03-24,31.6725,"130,988,800",31.8075,32.01,31.64
2015-03-25,30.845,"206,022,400",31.635,31.705,30.845
2015-03-26,31.06,"189,638,440",30.69,31.22,30.65
2015-03-27,30.8125,"157,886,880",31.1425,31.175,30.7275
2015-03-30,31.5925,"187,899,920",31.0125,31.6,31.0
2015-03-31,31.1075,"168,077,680",31.5225,31.6225,31.0888
2015-04-01,31.0625,"161,852,560",31.205,31.28,30.775
2015-04-02,31.33,"128,685,640",31.2575,31.39,31.0475
2015-04-06,31.8375,"147,669,960",31.1175,31.8775,31.0825
2015-04-07,31.5025,"139,579,240",31.91,32.0305,31.495
2015-04-08,31.4,"149,088,360",31.4625,31.6,31.2425
2015-04-09,31.64,"128,977,440",31.4625,31.645,31.165
2015-04-10,31.775,"160,503,040",31.4875,31.8025,31.315
2015-04-13,31.7125,"144,994,480",32.0925,32.1425,31.6525
2015-04-14,31.575,"101,673,120",31.75,31.8225,31.4775
2015-04-15,31.695,"115,689,680",31.6025,31.7825,31.5025
2015-04-16,31.5425,"112,080,960",31.57,31.775,31.5275
2015-04-17,31.1875,"205,925,240",31.3875,31.535,31.115
2015-04-20,31.9,"187,900,440",31.3925,32.03,31.2925
2015-04-21,31.7275,"129,365,520",32.025,32.05,31.6675
2015-04-22,32.155,"150,301,680",31.7475,32.2175,31.58
2015-04-23,32.4175,"182,386,760",32.075,32.605,32.035
2015-04-24,32.57,"176,838,840",32.6225,32.6575,32.3075
2015-04-27,33.1625,"380,337,040",33.0775,33.2825,32.7875
2015-04-28,32.64,"474,774,800",33.6138,33.635,32.3925
2015-04-29,32.16,"252,252,960",32.54,32.8975,32.075
2015-04-30,31.2875,"331,699,920",31.875,31.97,31.145
2015-05-01,32.2375,"229,396,000",31.525,32.5325,31.325
2015-05-04,32.175,"203,620,080",32.375,32.6425,32.065
2015-05-05,31.45,"196,511,080",32.0375,32.1125,31.445
2015-05-06,31.2525,"288,149,480",31.64,31.6875,30.84
2015-05-07,31.315,"170,615,680",31.1925,31.52,31.005
2015-05-08,31.905,"221,895,280",31.67,31.905,31.5275
2015-05-11,31.58,"167,682,960",31.8475,31.89,31.4063
2015-05-12,31.4662,"192,293,800",31.4,31.72,31.205
2015-05-13,31.5025,"138,446,400",31.5375,31.7975,31.4675
2015-05-14,32.2375,"180,495,680",31.8525,32.2375,31.79
2015-05-15,32.1925,"152,513,880",32.2675,32.3725,32.0525
2015-05-18,32.5475,"202,892,960",32.095,32.68,32.09
2015-05-19,32.5175,"177,581,760",32.6725,32.72,32.41
2015-05-20,32.515,"145,044,680",32.5,32.745,32.335
2015-05-21,32.8475,"158,359,120",32.5175,32.9075,32.4575
2015-05-22,33.135,"181,877,360",32.9,33.2425,32.85
2015-05-26,32.405,"282,178,680",33.15,33.2275,32.28
2015-05-27,33.0112,"183,084,480",32.585,33.065,32.5125
2015-05-28,32.945,"122,715,360",32.965,32.9875,32.775
2015-05-29,32.57,"201,896,680",32.8075,32.8625,32.475
2015-06-01,32.6337,"128,064,080",32.8,32.8475,32.5125
2015-06-02,32.49,"134,383,920",32.465,32.6638,32.33
2015-06-03,32.53,"123,759,240",32.665,32.735,32.475
2015-06-04,32.34,"153,343,920",32.395,32.645,32.2275
2015-06-05,32.1625,"142,311,040",32.375,32.4225,32.09
2015-06-08,31.95,"210,439,600",32.225,32.3025,31.7075
2015-06-09,31.855,"224,011,360",31.675,32.02,31.405
2015-06-10,32.22,"156,116,760",31.98,32.335,31.9625
2015-06-11,32.1475,"141,378,080",32.295,32.545,32.1187
2015-06-12,31.7925,"147,305,040",32.0463,32.0825,31.7775
2015-06-15,31.73,"175,587,840",31.525,31.81,31.4275
2015-06-16,31.9,"125,774,600",31.7575,31.9625,31.5925
2015-06-17,31.825,"131,435,600",31.93,31.97,31.685
2015-06-18,31.97,"141,455,960",31.8075,32.0775,31.805
2015-06-19,31.65,"217,446,120",31.9275,31.955,31.6
2015-06-22,31.9025,"135,904,720",31.8725,32.015,31.77
2015-06-23,31.7575,"120,768,560",31.87,31.9025,31.7198
2015-06-24,32.0275,"220,310,080",31.8025,32.45,31.78
2015-06-25,31.875,"127,489,560",32.215,32.3,31.875
2015-06-26,31.6875,"175,945,160",31.9175,31.9975,31.6275
2015-06-29,31.1325,"196,173,640",31.365,31.6175,31.12
2015-06-30,31.3562,"177,304,200",31.3925,31.53,31.215
2015-07-01,31.65,"120,827,560",31.725,31.735,31.4975
2015-07-02,31.61,"108,684,720",31.6075,31.6725,31.4425
2015-07-06,31.5,"111,891,800",31.235,31.5575,31.2125
2015-07-07,31.4225,"186,948,360",31.4725,31.5375,30.9425
2015-07-08,30.6425,"242,439,320",31.12,31.16,30.635
2015-07-09,30.0175,"313,166,040",30.9625,31.015,29.805
2015-07-10,30.82,"245,171,200",30.485,30.9625,30.3025
2015-07-13,31.415,"165,462,400",31.2575,31.4387,31.08
2015-07-14,31.4025,"126,783,480",31.51,31.5925,31.26
2015-07-15,31.705,"134,239,080",31.43,31.7875,31.395
2015-07-16,32.1275,"143,950,520",31.935,32.1425,31.8375
2015-07-17,32.405,"183,881,880",32.27,32.405,32.0775
2015-07-20,33.0175,"220,819,680",32.7425,33.2425,32.675
2015-07-21,32.6875,"292,027,120",33.2125,33.23,32.58
2015-07-22,31.305,"461,153,600",30.4975,31.375,30.4975
2015-07-23,31.29,"203,331,800",31.55,31.7725,31.265
2015-07-24,31.125,"168,361,280",31.33,31.435,30.975
2015-07-27,30.6925,"177,486,320",30.7725,30.9025,30.53
2015-07-28,30.845,"134,281,520",30.845,30.9775,30.6375
2015-07-29,30.7475,"147,648,160",30.7875,30.875,30.5675
2015-07-30,30.5925,"133,603,800",30.58,30.6425,30.4275
2015-07-31,30.325,"171,331,560",30.65,30.6606,30.2275
2015-08-03,29.61,"278,559,600",30.375,30.6425,29.38
2015-08-04,28.66,"494,407,600",29.355,29.425,28.3125
2015-08-05,28.85,"396,809,600",28.2375,29.36,28.025
2015-08-06,28.7825,"211,315,560",28.9925,29.125,28.5287
2015-08-07,28.88,"154,440,480",28.645,29.0625,28.625
2015-08-10,29.93,"219,404,040",29.1325,29.9975,29.1325
2015-08-11,28.3725,"387,282,680",29.4525,29.545,28.3325
2015-08-12,28.81,"406,373,600",28.1325,28.855,27.4075
2015-08-13,28.7875,"193,630,560",29.01,29.1,28.635
2015-08-14,28.99,"171,505,480",28.58,29.0775,28.5025
2015-08-17,29.29,"163,309,040",29.01,29.4125,28.875
2015-08-18,29.125,"138,102,520",29.1075,29.36,29.0025
2015-08-19,28.7525,"192,317,320",29.025,29.13,28.67
2015-08-20,28.1625,"272,707,760",28.52,28.5875,27.9075
2015-08-21,26.44,"508,986,400",27.6075,27.975,26.4112
2015-08-24,25.78,"647,530,000",23.7175,27.2,23.0
2015-08-25,25.935,"410,926,800",27.7775,27.7775,25.875
2015-08-26,27.4225,"386,127,560",26.7712,27.4725,26.2625
2015-08-27,28.23,"335,300,880",28.0575,28.31,27.505
2015-08-28,28.3225,"212,303,840",28.0425,28.3275,27.885
2015-08-31,28.19,"224,446,360",28.0075,28.6325,28.0
2015-09-01,26.93,"306,248,680",27.5375,27.97,26.84
2015-09-02,28.085,"246,725,000",27.5575,28.085,27.2828
2015-09-03,27.5925,"212,570,360",28.1225,28.195,27.51
2015-09-04,27.3175,"199,617,840",27.2425,27.6125,27.1275
2015-09-08,28.0775,"218,029,200",27.9125,28.14,27.58
2015-09-09,27.5375,"339,031,120",28.44,28.505,27.4425
2015-09-10,28.1425,"251,203,080",27.5675,28.3206,27.475
2015-09-11,28.5525,"199,175,000",27.9475,28.5525,27.94
2015-09-14,28.8275,"233,118,280",29.145,29.2225,28.715
2015-09-15,29.07,"172,873,400",28.9825,29.1325,28.605
2015-09-16,29.1025,"148,322,880",29.0625,29.135,28.86
2015-09-17,28.48,"254,849,360",28.915,29.1225,28.4288
2015-09-18,28.3625,"295,964,000",28.0525,28.575,27.9675
2015-09-21,28.8025,"186,376,880",28.4175,28.8425,28.415
2015-09-22,28.35,"201,112,120",28.345,28.545,28.13
2015-09-23,28.58,"142,713,440",28.4075,28.68,28.325
2015-09-24,28.75,"200,246,320",28.3125,28.875,28.0925
2015-09-25,28.6775,"224,022,200",29.11,29.1725,28.505
2015-09-28,28.11,"207,447,960",28.4625,28.6425,28.11
2015-09-29,27.265,"292,921,120",28.2075,28.3775,26.965
2015-09-30,27.575,"265,203,720",27.5425,27.885,27.1825
2015-10-01,27.395,"255,397,880",27.2675,27.405,26.8275
2015-10-02,27.595,"231,099,760",27.0025,27.7534,26.8875
2015-10-05,27.695,"208,132,400",27.47,27.8424,27.2675
2015-10-06,27.8275,"194,808,800",27.6575,27.935,27.4413
2015-10-07,27.695,"186,871,080",27.935,27.9425,27.3525
2015-10-08,27.375,"246,989,040",27.5475,27.5475,27.0525
2015-10-09,28.03,"210,882,480",27.5,28.07,27.3725
2015-10-12,27.9,"121,547,320",28.1825,28.1875,27.86
2015-10-13,27.9475,"131,883,160",27.705,28.1125,27.67
2015-10-14,27.5525,"177,736,880",27.8225,27.88,27.39
2015-10-15,27.965,"150,488,800",27.7325,28.025,27.6225
2015-10-16,27.76,"155,179,720",27.945,28.0,27.6325
2015-10-19,27.9325,"118,895,000",27.7,27.9375,27.5275
2015-10-20,28.4425,"195,716,800",27.835,28.5425,27.705
2015-10-21,28.44,"169,107,520",28.5,28.895,28.425
2015-10-22,28.875,"165,722,640",28.5825,28.875,28.525
2015-10-23,29.77,"237,006,960",29.175,29.807,29.0825
2015-10-26,28.82,"264,559,080",29.52,29.5325,28.73
2015-10-27,28.6375,"270,693,800",28.85,29.135,28.4975
2015-10-28,29.8175,"341,744,840",29.2325,29.825,29.015
2015-10-29,30.1325,"204,424,400",29.675,30.1725,29.5675
2015-10-30,29.875,"197,220,880",30.2475,30.305,29.8625
2015-11-02,30.295,"128,611,480",29.9675,30.34,29.9025
2015-11-03,30.6425,"181,917,040",30.1975,30.8725,30.175
2015-11-04,30.5,"179,316,240",30.7825,30.955,30.405
2015-11-05,30.23,"157,933,600",30.4625,30.6725,30.045
2015-11-06,30.265,"132,036,440",30.2775,30.4525,30.155
2015-11-09,30.1425,"135,317,160",30.24,30.4525,30.0125
2015-11-10,29.1925,"236,117,600",29.225,29.5175,29.0153
2015-11-11,29.0275,"180,717,600",29.0925,29.355,28.8025
2015-11-12,28.93,"129,845,400",29.065,29.205,28.9125
2015-11-13,28.085,"182,221,200",28.8,28.8925,28.0675
2015-11-16,28.5437,"151,918,280",27.845,28.56,27.75
2015-11-17,28.4225,"110,336,080",28.73,28.7625,28.33
2015-11-18,29.3225,"186,238,920",28.94,29.3725,28.875
2015-11-19,29.695,"172,935,800",29.41,29.9375,29.19
2015-11-20,29.825,"136,540,920",29.8,29.98,29.7125
2015-11-23,29.4375,"129,782,720",29.8175,29.9325,29.335
2015-11-24,29.72,"170,991,800",29.3325,29.8375,29.28
2015-11-25,29.5075,"85,367,840",29.8025,29.8075,29.48
2015-11-27,29.4525,"52,185,800",29.5725,29.6025,29.4
2015-11-30,29.575,"152,252,520",29.4975,29.8525,29.4375
2015-12-01,29.335,"139,225,000",29.6875,29.7025,29.215
2015-12-02,29.07,"133,267,960",29.2625,29.5275,29.02
2015-12-03,28.8,"166,045,520",29.1375,29.1975,28.555
2015-12-04,29.7575,"230,871,480",28.8225,29.8125,28.7775
2015-12-07,29.57,"128,252,400",29.745,29.965,29.4525
2015-12-08,29.5575,"137,101,680",29.38,29.65,29.215
2015-12-09,28.905,"185,207,720",29.41,29.4225,28.77
2015-12-10,29.0425,"116,634,560",29.01,29.235,28.8775
2015-12-11,28.295,"187,240,080",28.7975,28.8475,28.2128
2015-12-14,28.12,"258,712,880",28.045,28.17,27.4475
2015-12-15,27.6225,"212,674,320",27.985,28.2,27.5875
2015-12-16,27.835,"224,629,480",27.7675,27.9975,27.2
2015-12-17,27.245,"178,619,320",28.005,28.0625,27.245
2015-12-18,26.5075,"384,788,760",27.2275,27.38,26.4525
2015-12-21,26.8325,"190,028,920",26.82,26.8425,26.3925
2015-12-22,26.8075,"130,913,840",26.85,26.93,26.6127
2015-12-23,27.1525,"130,472,560",26.8175,27.2125,26.8
2015-12-24,27.0075,"54,386,720",27.25,27.25,26.9875
2015-12-28,26.705,"106,559,720",26.8975,26.9225,26.5452
2015-12-29,27.185,"123,649,040",26.74,27.3575,26.715
2015-12-30,26.83,"100,736,360",27.145,27.175,26.795
2015-12-31,26.315,"163,541,920",26.7525,26.7575,26.205
2016-01-04,26.3375,"270,276,360",25.6525,26.342,25.5
2016-01-05,25.6775,"222,332,560",26.4375,26.4625,25.6025
2016-01-06,25.175,"273,537,080",25.14,25.5925,24.9675
2016-01-07,24.1125,"322,969,840",24.67,25.0325,24.1075
2016-01-08,24.24,"282,888,000",24.6375,24.7775,24.19
2016-01-11,24.6325,"198,751,480",24.7425,24.765,24.335
2016-01-12,24.99,"196,184,600",25.1375,25.1725,24.71
2016-01-13,24.3475,"249,143,080",25.08,25.2975,24.325
2016-01-14,24.88,"252,000,560",24.49,25.12,23.935
2016-01-15,24.2825,"317,424,040",24.05,24.4275,23.84
2016-01-19,24.165,"211,843,240",24.6025,24.6625,23.875
2016-01-20,24.1975,"289,097,200",23.775,24.5474,23.355
2016-01-21,24.075,"208,396,800",24.265,24.47,23.735
2016-01-22,25.355,"262,594,640",24.6575,25.365,24.5925
2016-01-25,24.86,"206,119,920",25.38,25.3825,24.8025
2016-01-26,24.9975,"287,749,240",24.9825,25.22,24.5175
2016-01-27,23.355,"532,236,000",24.01,24.1572,23.335
2016-01-28,23.5225,"222,489,480",23.4475,23.63,23.0975
2016-01-29,24.335,"257,329,760",23.6975,24.335,23.5875
2016-02-01,24.1075,"163,257,440",24.1175,24.1775,23.85
2016-02-02,23.62,"148,762,000",23.855,24.01,23.57
2016-02-03,24.0875,"183,480,520",23.75,24.21,23.52
2016-02-04,24.15,"185,672,920",23.965,24.3325,23.7975
2016-02-05,23.505,"185,262,480",24.13,24.23,23.4225
2016-02-08,23.7525,"215,682,200",23.2825,23.925,23.26
2016-02-09,23.7475,"177,130,240",23.5725,23.985,23.4825
2016-02-10,23.5675,"169,155,160",23.98,24.0875,23.525
2016-02-11,23.425,"199,918,800",23.4475,23.68,23.1475
2016-02-12,23.4975,"161,292,080",23.5475,23.625,23.2525
2016-02-16,24.16,"192,130,400",23.755,24.2125,23.6525
2016-02-17,24.53,"179,247,200",24.1675,24.5525,24.0375
2016-02-18,24.065,"155,464,400",24.71,24.7225,24.0227
