Date,Close,Volume,Open,High,Low
2014-12-09,69.14,"6,835,907",68.21,69.19,67.61
2014-12-10,67.58,"8,574,528",69.44,69.44,67.53
2014-12-11,67.03,"9,517,536",66.48,67.96,66.24
2014-12-12,65.27,"9,221,334",66.53,67.17,65.01
2014-12-15,65.62,"7,229,449",65.75,66.47,64.81
2014-12-16,65.25,"8,544,413",65.11,66.94,64.8
2014-12-17,66.57,"5,934,604",65.5,66.735,65.09
2014-12-18,67.92,"7,172,885",67.86,68.01,67.2
2014-12-19,67.71,"12,619,110",67.69,68.62,66.84
2014-12-22,66.97,"12,874,380",68.04,68.25,66.83
2014-12-23,64.35,"12,119,710",67.23,67.32,64.02
2014-12-24,66.21,"4,713,104",64.75,66.95,64.75
2014-12-26,66.98,"4,158,049",66.51,67.24,66.51
2014-12-29,67.14,"3,875,718",66.58,67.37,66.42
2014-12-30,66.3,"5,568,725",66.77,67.1601,66.02
2014-12-31,65.44,"3,988,786",66.72,67.1,65.35
2015-01-02,65.89,"5,086,141",65.62,66.4,65.49
2015-01-05,64.65,"8,007,433",65.5,66.1,63.88
2015-01-06,64.33,"5,487,821",65.62,65.75,63.7
2015-01-07,66.93,"8,282,828",64.57,67.05,64.48
2015-01-08,67.63,"7,944,970",68.16,68.29,67.42
2015-01-09,65.78,"8,779,934",66.69,67.2,65.11
2015-01-12,65.76,"6,159,740",66.34,66.928,65.3104
2015-01-13,63.39,"13,907,690",65.72,66.07,62.91
2015-01-14,63.7,"9,448,317",62.62,64.07,61.86
2015-01-15,62.89,"6,148,938",64.0,64.11,62.87
2015-01-16,64.54,"8,105,492",62.95,64.62,62.64
2015-01-20,63.45,"9,064,315",65.06,65.29,62.75
2015-01-21,62.7,"7,979,149",63.1,63.45,62.28
2015-01-22,62.98,"8,941,029",63.2,63.45,61.88
2015-01-23,62.43,"6,880,963",63.66,63.66,62.35
2015-01-26,62.83,"8,181,088",62.26,63.04,61.68
2015-01-27,63.1,"6,531,203",62.33,63.5,62.2
2015-01-28,61.85,"6,909,406",63.44,63.56,61.69
2015-01-29,63.12,"8,477,326",62.12,63.38,61.59
2015-01-30,60.35,"17,579,260",62.09,62.68,60.12
2015-02-02,60.7,"11,489,600",61.49,61.49,58.65
2015-02-03,61.65,"10,718,010",61.6,61.76,59.98
2015-02-04,56.91,"31,247,660",58.95,58.95,56.65
2015-02-05,57.99,"18,964,380",57.545,58.26,56.15
2015-02-06,56.9,"13,890,800",57.71,57.83,56.69
2015-02-09,55.48,"22,341,890",55.67,56.35,55.18
2015-02-10,56.89,"18,916,680",55.93,57.005,55.6
2015-02-11,56.69,"14,680,610",57.36,57.83,56.26
2015-02-12,57.05,"11,940,680",57.4,57.58,56.16
2015-02-13,58.05,"11,303,210",57.35,58.1,56.9
2015-02-17,58.72,"12,788,620",58.95,59.0,57.9
2015-02-18,59.24,"10,781,610",59.15,59.48,58.305
2015-02-19,59.0,"8,664,432",58.92,59.08,58.65
2015-02-20,61.3,"15,531,800",59.61,61.34,59.22
2015-02-23,60.57,"11,501,490",61.54,61.9,60.24
2015-02-24,60.87,"7,884,348",60.85,61.3,60.52
2015-02-25,60.62,"9,952,486",61.1,61.1,60.21
2015-02-26,60.52,"7,327,735",60.35,60.81,60.27
2015-02-27,60.5,"8,649,052",60.53,60.99,60.37
2015-03-02,60.46,"6,142,774",60.3,60.75,60.06
2015-03-03,59.62,"7,387,712",60.35,60.45,59.4371
2015-03-04,60.27,"8,535,634",59.32,60.42,59.03
2015-03-05,56.86,"47,039,860",57.21,59.48,56.649
2015-03-06,55.64,"22,851,960",56.95,57.4,55.44
2015-03-09,55.54,"14,779,470",55.93,56.03,55.26
2015-03-10,55.84,"17,905,810",55.22,56.3,54.78
2015-03-11,56.62,"14,429,170",56.19,56.8772,55.6628
2015-03-12,58.0,"18,227,760",56.78,58.905,56.65
2015-03-13,58.0,"10,114,500",58.12,58.87,57.345
2015-03-16,59.12,"12,098,530",58.46,59.7,58.33
2015-03-17,59.73,"10,983,450",58.72,60.18,58.7
2015-03-18,59.89,"11,883,480",59.76,60.42,59.25
2015-03-19,61.19,"14,102,370",60.09,61.4762,59.99
2015-03-20,60.4,"12,925,910",61.5,61.73,60.32
2015-03-23,60.48,"7,918,489",60.05,61.19,59.62
2015-03-24,59.63,"7,961,170",60.65,60.82,59.45
2015-03-25,58.22,"11,618,330",60.08,60.09,58.21
2015-03-26,57.27,"10,853,710",57.98,58.09,57.22
