Date,Close,Volume,Open,High,Low
2021-12-08,132.37,"5,389,410",132.8,133.45,131.12
2021-12-09,132.53,"2,663,411",132.5,133.11,131.48
2021-12-10,134.37,"4,371,797",133.42,134.5,132.87
2021-12-13,135.96,"5,094,833",134.5,137.0,134.5
2021-12-14,132.94,"8,193,321",135.93,136.0,132.0
2021-12-15,135.56,"6,422,458",133.54,135.67,132.9
2021-12-16,136.09,"6,984,050",135.44,136.61,134.6
2021-12-17,137.11,"12,156,220",137.54,139.27,136.89
2021-12-20,134.98,"6,501,433",136.2,137.81,134.22
2021-12-21,135.27,"7,153,827",136.02,137.1767,133.4
2021-12-22,138.99,"6,768,868",135.88,139.02,135.79
2021-12-23,139.16,"3,492,052",139.65,140.23,138.72
2021-12-27,141.46,"3,802,592",139.82,142.6,139.43
2021-12-28,140.47,"3,298,743",141.58,141.71,140.13
2021-12-29,141.19,"2,848,992",140.47,141.66,139.33
2021-12-30,141.0,"2,809,120",141.41,141.745,140.59
2021-12-31,140.74,"3,271,756",141.0,141.77,140.72
2022-01-03,139.04,"6,692,433",139.43,139.8301,137.21
2022-01-04,135.77,"8,241,222",139.5,139.65,134.76
2022-01-05,135.16,"5,948,372",135.15,137.03,135.07
2022-01-06,135.14,"5,710,227",135.0,136.21,133.88
2022-01-07,135.56,"4,367,483",134.88,136.18,134.38
2022-01-10,135.26,"5,975,633",134.79,135.5,133.92
2022-01-11,135.7,"5,709,415",135.23,135.97,134.04
2022-01-12,133.72,"8,416,010",134.89,135.7,132.53
2022-01-13,129.65,"7,174,538",132.39,132.83,129.43
2022-01-14,128.16,"9,256,873",130.49,130.59,127.02
2022-01-18,126.57,"5,850,842",127.4,127.93,125.55
2022-01-19,126.05,"3,996,396",126.75,127.58,125.83
2022-01-20,124.71,"8,652,569",126.24,127.91,124.61
2022-01-21,125.83,"10,132,680",126.81,127.09,124.86
2022-01-24,123.82,"10,868,710",124.01,124.5,120.68
2022-01-25,123.27,"9,126,620",123.08,124.6217,121.59
2022-01-26,120.07,"14,753,100",119.19,121.68,119.0
2022-01-27,120.44,"9,180,134",120.98,123.17,119.74
2022-01-28,125.35,"8,286,467",120.77,125.53,119.61
2022-01-31,127.46,"7,210,140",125.52,127.96,125.13
