Date,Close,Volume,Open,High,Low
2014-12-09,85.18,"1,653,414",84.17,85.22,83.99
2014-12-10,83.73,"1,973,099",85.2,85.31,83.62
2014-12-11,83.88,"2,369,316",84.38,85.43,83.68
2014-12-12,81.9,"2,784,774",83.41,83.47,81.86
2014-12-15,81.88,"3,156,223",82.13,82.85,81.69
2014-12-16,82.87,"4,386,544",82.0,84.215,81.66
2014-12-17,85.3,"5,080,780",83.0,85.31,82.85
2014-12-18,89.74,"8,914,451",88.12,90.99,87.79
2014-12-19,90.51,"6,479,622",90.15,91.36,89.64
2014-12-22,91.18,"2,992,898",90.08,91.25,89.77
2014-12-23,91.42,"2,148,450",91.35,91.75,90.7
2014-12-24,91.32,"914,865",91.48,91.94,91.31
2014-12-26,91.26,"1,193,957",91.4,91.72,91.18
2014-12-29,90.52,"1,994,719",90.9,91.05,90.24
2014-12-30,90.19,"1,721,895",90.5,90.84,89.99
2014-12-31,89.31,"1,761,251",90.18,90.48,89.29
2015-01-02,88.84,"2,021,265",89.67,90.09,88.43
2015-01-05,87.34,"2,998,923",88.04,88.32,87.18
2015-01-06,86.71,"2,867,550",87.5,87.77,86.01
2015-01-07,88.53,"2,865,541",87.16,88.75,87.16
2015-01-08,89.88,"2,807,888",89.0,90.15,88.84
2015-01-09,89.78,"2,399,918",89.95,90.15,89.38
2015-01-12,89.51,"2,418,523",89.11,90.0201,88.91
2015-01-13,89.83,"4,006,962",89.77,91.34,89.15
2015-01-14,88.78,"2,377,914",89.54,89.54,88.0
2015-01-15,88.17,"1,824,431",89.01,89.1,87.67
2015-01-16,88.89,"2,657,392",87.75,89.01,87.55
2015-01-20,88.62,"2,335,235",88.89,89.42,87.92
2015-01-21,88.34,"2,040,751",88.35,88.63,87.73
2015-01-22,89.5,"2,656,855",88.72,89.56,87.95
2015-01-23,89.22,"1,940,730",89.51,89.92,89.14
2015-01-26,89.08,"1,997,695",89.04,89.2,88.24
2015-01-27,86.16,"3,689,037",87.95,88.32,86.0
2015-01-28,84.36,"3,469,070",86.93,87.12,84.33
2015-01-29,85.64,"3,590,586",84.95,85.7,83.94
2015-01-30,84.03,"3,837,548",85.12,85.44,83.86
2015-02-02,85.83,"3,088,515",84.42,85.85,83.47
2015-02-03,87.92,"3,501,305",86.25,87.96,85.97
2015-02-04,87.34,"2,764,092",89.18,89.18,87.165
2015-02-05,88.47,"2,102,529",88.11,88.54,87.34
2015-02-06,88.15,"2,386,506",88.6,89.1,87.84
2015-02-09,87.36,"2,670,455",87.51,88.23,87.1
2015-02-10,87.52,"2,573,782",87.74,87.91,86.68
2015-02-11,87.96,"1,829,790",87.52,88.17,87.25
2015-02-12,89.09,"1,931,324",88.06,89.22,87.98
2015-02-13,89.79,"1,774,397",89.09,89.8,89.08
2015-02-17,89.3,"1,915,989",89.63,89.79,88.825
2015-02-18,89.43,"1,509,467",89.0,89.515,88.86
2015-02-19,90.27,"1,751,661",89.53,90.38,89.37
2015-02-20,90.49,"2,950,629",90.02,90.98,89.31
2015-02-23,90.57,"1,579,045",90.6,90.79,90.13
2015-02-24,90.85,"1,592,032",90.17,90.995,89.89
2015-02-25,90.6,"1,732,915",90.64,91.44,90.33
2015-02-26,90.3,"2,156,791",90.82,91.23,90.0
2015-02-27,90.03,"1,686,052",90.05,90.76,89.86
2015-03-02,91.18,"1,974,960",89.76,91.24,89.73
2015-03-03,90.84,"2,883,928",91.18,91.27,90.55
2015-03-04,90.91,"2,728,849",90.83,91.2,90.06
2015-03-05,92.05,"3,019,572",91.31,92.18,91.18
2015-03-06,90.67,"3,735,001",91.62,91.95,90.49
2015-03-09,90.79,"1,464,248",90.73,90.96,90.14
2015-03-10,88.06,"3,230,953",89.96,90.21,88.05
2015-03-11,86.86,"4,320,442",88.29,88.9,86.76
2015-03-12,88.2,"2,165,238",87.03,88.3,86.86
2015-03-13,87.87,"3,617,194",88.18,88.21,86.4
2015-03-16,88.91,"2,245,954",88.32,89.1,88.14
2015-03-17,88.84,"2,210,911",88.35,88.88,88.21
2015-03-18,90.93,"2,664,857",88.8,91.3499,88.365
2015-03-19,90.19,"2,655,178",90.89,91.34,89.99
2015-03-20,91.48,"3,556,656",90.89,91.65,90.51
2015-03-23,91.54,"1,916,215",91.38,91.775,91.21
2015-03-24,89.41,"2,944,862",91.49,91.49,89.28
2015-03-25,88.21,"3,605,940",89.41,89.95,88.18
2015-03-26,94.17,"7,156,938",91.51,94.98,90.94
2015-03-27,93.94,"4,352,015",93.92,94.14,92.65
2015-03-30,94.42,"3,333,089",94.15,94.84,93.94
2015-03-31,93.69,"2,708,039",94.01,94.49,93.55
2015-04-01,93.56,"2,737,163",93.56,93.93,92.68
2015-04-02,94.18,"2,145,674",93.7,94.42,93.1
2015-04-06,95.69,"2,563,700",93.46,96.0,93.13
2015-04-07,96.39,"4,233,017",95.64,96.78,95.14
2015-04-08,95.12,"2,652,113",95.46,96.16,94.66
2015-04-09,95.47,"1,952,209",95.4,95.66,94.68
2015-04-10,94.69,"2,158,015",95.45,95.47,94.53
2015-04-13,93.49,"2,443,882",94.34,94.88,93.44
2015-04-14,93.81,"2,087,008",93.57,94.22,93.22
2015-04-15,94.16,"2,094,737",94.27,94.5,94.01
2015-04-16,94.06,"1,934,824",93.91,94.22,93.67
2015-04-17,92.39,"2,647,838",93.29,93.41,92.16
2015-04-20,93.27,"3,294,388",92.99,93.56,92.62
2015-04-21,93.0,"1,949,793",93.91,94.0,92.865
2015-04-22,93.38,"1,895,233",93.34,93.63,92.755
2015-04-23,93.84,"2,165,463",93.38,94.27,92.85
2015-04-24,93.4,"2,250,827",93.29,93.82,92.64
2015-04-27,93.76,"2,156,362",94.03,94.4,93.53
2015-04-28,94.42,"1,976,294",93.6,94.49,92.74
2015-04-29,93.65,"1,701,872",94.25,94.41,92.91
2015-04-30,92.65,"1,804,775",93.23,93.86,92.13
2015-05-01,93.36,"1,851,265",93.32,93.67,92.7
2015-05-04,94.44,"1,991,255",93.84,94.96,93.76
2015-05-05,93.65,"1,769,045",94.44,94.74,93.44
2015-05-06,93.0,"2,386,607",93.66,93.97,92.59
2015-05-07,94.49,"2,466,589",92.93,94.83,92.74
2015-05-08,95.89,"2,411,688",95.57,96.29,94.99
2015-05-11,96.01,"2,838,455",95.5,96.44,95.41
2015-05-12,95.42,"2,065,084",95.31,95.62,94.45
2015-05-13,95.68,"1,785,111",95.6,96.1,95.08
2015-05-14,96.98,"1,504,599",96.14,97.0,96.06
2015-05-15,97.02,"2,578,608",96.83,97.24,96.46
2015-05-18,97.46,"2,110,862",96.61,97.74,96.61
2015-05-19,97.18,"1,672,607",97.71,97.95,96.92
2015-05-20,97.05,"1,441,762",97.33,97.78,96.689
2015-05-21,96.83,"1,677,792",96.78,97.05,96.29
2015-05-22,96.39,"2,083,023",96.5,96.69,95.915
2015-05-26,96.09,"2,397,376",96.87,97.17,95.7401
2015-05-27,96.77,"1,513,593",96.31,96.95,95.94
2015-05-28,96.91,"1,202,657",96.7,97.02,96.08
2015-05-29,96.04,"1,713,707",96.78,96.97,95.795
2015-06-01,96.19,"1,422,131",96.18,96.6,95.61
2015-06-02,96.33,"1,152,326",95.96,96.848,95.62
2015-06-03,96.98,"1,322,934",96.77,97.27,96.35
2015-06-04,95.93,"1,535,068",96.08,96.79,95.69
2015-06-05,95.4,"1,753,878",95.91,96.06,94.835
2015-06-08,94.77,"1,450,598",95.16,95.4,94.67
2015-06-09,94.94,"1,284,427",95.26,95.4,94.25
2015-06-10,96.52,"2,131,096",95.3,96.92,95.19
2015-06-11,96.92,"1,857,597",96.66,97.18,96.55
2015-06-12,96.1,"2,034,662",96.31,96.7,95.93
2015-06-15,95.79,"1,961,533",95.09,95.95,94.69
2015-06-16,96.7,"1,675,336",95.88,96.926,95.61
