Date,Close,Volume,Open,High,Low
2021-12-08,653.1,"2,416,232",647.3,654.65,641.61
2021-12-09,632.57,"2,550,690",650.92,655.72,630.88
2021-12-10,654.45,"2,872,975",638.13,654.97,635.1
2021-12-13,658.3,"3,829,357",652.77,675.21,650.9784
2021-12-14,614.86,"5,934,156",635.36,636.0,599.1
2021-12-15,630.33,"4,288,818",615.96,631.25,604.6199
2021-12-16,566.09,"10,961,250",578.4,591.5773,556.1501
2021-12-17,556.64,"8,014,024",566.09,566.99,545.135
2021-12-20,549.77,"3,441,126",545.61,557.27,543.5
2021-12-21,557.52,"4,104,714",550.91,559.89,538.05
2021-12-22,563.98,"4,526,208",560.3,564.92,552.24
2021-12-23,569.62,"2,147,722",568.96,572.57,566.1601
2021-12-27,577.68,"1,980,504",575.04,580.88,572.09
2021-12-28,569.36,"2,108,375",582.84,582.88,568.35
2021-12-29,569.29,"2,484,190",573.329,576.96,562.78
2021-12-30,570.53,"1,564,633",570.57,578.99,566.04
2021-12-31,567.06,"1,581,578",570.0,570.17,565.07
2022-01-03,564.37,"2,863,488",566.65,575.0,553.2673
2022-01-04,554.0,"4,344,805",563.9,564.3,541.31
2022-01-05,514.43,"7,394,814",535.0,538.745,514.0
2022-01-06,514.12,"3,913,592",510.0,526.31,508.2
2022-01-07,510.7,"3,605,411",513.66,520.42,504.0
2022-01-10,525.83,"5,429,694",500.0,526.58,497.01
2022-01-11,529.89,"3,422,161",525.5533,535.18,520.9821
2022-01-12,532.37,"2,901,791",533.09,541.59,529.28
2022-01-13,516.9,"3,406,500",532.22,535.265,516.32
2022-01-14,520.6,"2,659,825",514.49,522.5715,511.27
2022-01-18,513.34,"3,461,507",510.39,519.39,504.98
2022-01-19,516.58,"2,985,891",516.48,528.9179,515.3
2022-01-20,510.85,"3,208,136",522.38,532.025,509.64
2022-01-21,499.91,"4,276,067",508.5,513.8624,499.2701
2022-01-24,519.66,"7,555,213",491.07,520.43,483.31
2022-01-25,502.72,"4,051,522",505.51,514.26,500.01
2022-01-26,500.81,"4,449,496",514.0,520.49,494.22
2022-01-27,493.05,"5,870,522",508.94,513.23,485.62
