Date,Close,Volume,Open,High,Low
2014-12-09,15.625,"80,652,280",15.1495,15.682,15.057
2014-12-10,15.292,"64,879,460",15.6,15.6595,15.234
2014-12-11,15.368,"65,363,880",15.3945,15.632,15.3005
2014-12-12,15.366,"63,184,120",15.1995,15.532,15.1505
2014-12-15,15.3035,"76,675,340",15.4435,15.543,15.1075
2014-12-16,14.753,"129,780,260",15.2175,15.2245,14.7505
2014-12-17,14.944,"88,598,340",14.8185,14.9835,14.6515
2014-12-18,14.8865,"154,099,680",15.2005,15.225,14.6625
2014-12-19,14.995,"172,266,200",14.8455,15.077,14.776
2014-12-22,15.327,"76,908,180",15.097,15.368,15.097
2014-12-23,15.3143,"54,366,980",15.349,15.3745,15.1626
2014-12-24,15.1515,"30,362,140",15.319,15.35,15.1438
2014-12-26,15.4545,"57,858,200",15.25,15.539,15.1905
2014-12-29,15.602,"59,967,800",15.3925,15.7135,15.329
2014-12-30,15.515,"41,828,640",15.4955,15.697,15.467
2014-12-31,15.5175,"40,973,520",15.5775,15.649,15.5005
2015-01-02,15.426,"55,703,340",15.629,15.7375,15.348
2015-01-05,15.1095,"55,364,300",15.3505,15.419,15.0425
2015-01-06,14.7645,"70,220,060",15.112,15.15,14.619
2015-01-07,14.921,"52,613,420",14.875,15.064,14.7665
2015-01-08,15.023,"61,749,500",15.016,15.157,14.8055
2015-01-09,14.8465,"51,798,280",15.074,15.1435,14.834
2015-01-12,14.5705,"68,128,760",14.878,14.9255,14.4641
2015-01-13,14.737,"82,706,720",14.874,15.0749,14.6615
2015-01-14,14.6635,"109,868,040",14.5965,14.7955,14.3252
2015-01-15,14.3475,"88,212,580",14.7,14.8,14.3408
2015-01-16,14.537,"69,535,740",14.314,14.5395,14.2625
2015-01-20,14.472,"61,317,140",14.6295,14.668,14.3195
2015-01-21,14.8625,"201,209,000",14.482,15.3,14.363
2015-01-22,15.516,"106,770,600",15.0,15.6125,15.0
2015-01-23,15.6195,"89,520,900",15.404,15.8465,15.386
2015-01-26,15.483,"63,376,540",15.591,15.65,15.376
2015-01-27,15.3375,"58,354,200",15.315,15.5122,15.1313
2015-01-28,15.1955,"61,159,940",15.4905,15.5755,15.19
2015-01-29,15.589,"161,348,820",15.2365,15.64,14.9665
2015-01-30,17.7265,"476,934,400",17.316,17.975,17.037
2015-02-02,18.2235,"204,444,600",17.5025,18.25,17.5005
2015-02-03,18.1775,"124,180,300",18.0145,18.3909,18.0105
2015-02-04,18.2375,"83,348,180",17.919,18.375,17.9115
2015-02-05,18.6945,"144,872,880",18.3,18.94,18.295
2015-02-06,18.714,"77,771,740",18.7435,18.7995,18.5505
2015-02-09,18.528,"53,506,320",18.55,18.7205,18.36
2015-02-10,18.6498,"45,729,780",18.5595,18.715,18.4255
2015-02-11,18.757,"55,710,660",18.5615,18.855,18.555
2015-02-12,18.8585,"55,812,600",18.755,18.9255,18.6575
2015-02-13,19.0915,"69,457,820",18.9205,19.15,18.8505
2015-02-17,18.7715,"73,243,740",18.886,18.9993,18.6335
2015-02-18,18.6685,"52,979,080",18.689,18.837,18.6425
2015-02-19,18.9498,"58,970,400",18.6745,19.094,18.6715
2015-02-20,19.183,"64,394,480",18.931,19.185,18.792
2015-02-23,19.007,"43,506,120",19.172,19.227,18.9
2015-02-24,18.9295,"38,410,180",18.9325,19.024,18.808
2015-02-25,19.2685,"63,349,620",18.8635,19.3925,18.827
2015-02-26,19.24,"53,696,460",19.2035,19.4685,19.164
2015-02-27,19.008,"50,473,180",19.2,19.2995,18.9895
2015-03-02,19.2828,"42,682,200",19.0425,19.295,18.9741
2015-03-03,19.2305,"38,915,740",19.1975,19.305,19.0801
2015-03-04,19.136,"45,117,380",19.2855,19.395,19.1095
2015-03-05,19.3915,"53,768,880",19.2805,19.4209,19.1945
2015-03-06,19.0045,"52,519,240",19.276,19.35,18.944
2015-03-09,18.928,"46,223,640",18.92,18.9665,18.764
2015-03-10,18.4755,"62,225,700",18.8725,18.8885,18.459
2015-03-11,18.3185,"49,805,580",18.5305,18.6675,18.313
2015-03-12,18.712,"56,194,300",18.441,18.775,18.376
2015-03-13,18.529,"52,210,200",18.576,18.6995,18.334
2015-03-16,18.6675,"47,057,040",18.519,18.697,18.336
2015-03-17,18.596,"40,733,720",18.5555,18.725,18.482
2015-03-18,18.7568,"52,900,060",18.4985,18.7995,18.335
2015-03-19,18.662,"38,259,460",18.6935,18.8555,18.6095
