Date,Close,Volume,Open,High,Low
2014-12-09,10.264,"22,915,140",9.989,10.303,9.725
2014-12-10,9.925,"22,231,370",10.2,10.35,9.917
2014-12-11,10.055,"15,684,990",10.008,10.28,9.985
2014-12-12,9.92,"13,201,210",9.898,10.118,9.883
2014-12-15,9.821,"16,790,980",9.997,10.085,9.724
2014-12-16,9.733,"22,119,260",9.775,9.968,9.601
2014-12-17,9.899,"27,874,370",9.733,9.985,9.55
2014-12-18,10.165,"33,179,670",10.09,10.2,10.0
2014-12-19,10.015,"64,737,080",10.174,10.235,9.945
2014-12-22,10.141,"15,914,730",10.1,10.16,10.0
2014-12-23,10.078,"13,011,350",10.234,10.25,10.057
2014-12-24,10.072,"6,357,680",10.092,10.123,10.028
2014-12-26,10.062,"5,761,690",10.097,10.133,10.0205
2014-12-29,10.129,"13,716,710",10.062,10.139,9.919
2014-12-30,10.085,"11,729,840",10.107,10.194,10.06
2014-12-31,10.059,"15,224,790",10.11,10.303,10.043
2015-01-02,10.009,"13,497,450",10.093,10.2208,9.913
2015-01-05,9.849,"15,482,280",10.007,10.082,9.84
2015-01-06,9.625,"22,192,540",9.895,9.908,9.518
2015-01-07,9.885,"30,902,700",9.705,9.939,9.653
2015-01-08,10.379,"33,346,780",10.053,10.43,10.036
2015-01-09,10.4895,"23,432,400",10.447,10.58,10.258
2015-01-12,10.316,"18,696,230",10.507,10.564,10.2716
2015-01-13,10.258,"24,336,010",10.378,10.738,10.1732
2015-01-14,10.339,"20,988,140",10.111,10.349,10.001
2015-01-15,10.132,"18,372,140",10.356,10.554,10.105
2015-01-16,10.382,"15,374,850",10.069,10.391,10.031
2015-01-20,10.487,"12,840,160",10.369,10.524,10.258
2015-01-21,10.538,"16,463,480",10.433,10.688,10.411
2015-01-22,10.52,"20,626,630",10.598,10.649,10.152
2015-01-23,10.698,"15,087,660",10.503,10.75,10.425
2015-01-26,10.673,"9,610,500",10.674,10.706,10.462
2015-01-27,10.479,"15,242,140",10.507,10.598,10.282
2015-01-28,10.5,"23,293,900",10.712,10.834,10.486
2015-01-29,10.653,"15,839,580",10.463,10.66,10.227
2015-01-30,10.288,"16,934,020",10.529,10.673,10.262
2015-02-02,10.242,"21,577,200",10.325,10.349,9.916
2015-02-03,10.32,"15,388,670",10.25,10.372,10.136
2015-02-04,10.48,"16,657,750",10.293,10.528,10.245
2015-02-05,10.62,"16,584,640",10.474,10.622,10.375
2015-02-06,10.474,"10,681,160",10.627,10.711,10.426
2015-02-09,10.224,"20,343,610",10.395,10.435,10.182
2015-02-10,10.704,"20,392,820",10.304,10.746,10.2888
2015-02-11,10.794,"17,167,900",10.679,10.83,10.633
2015-02-12,10.97,"21,070,940",10.88,11.004,10.846
2015-02-13,11.015,"14,614,610",11.0,11.02,10.809
2015-02-17,11.087,"15,311,700",11.02,11.1345,10.909
2015-02-18,11.0,"16,680,980",11.032,11.059,10.929
2015-02-19,11.09,"13,196,280",11.0,11.11,10.9645
2015-02-20,11.206,"19,283,430",11.143,11.216,11.046
2015-02-23,11.285,"23,854,740",11.3,11.323,11.196
2015-02-24,11.318,"23,200,910",11.35,11.36,11.161
2015-02-25,11.268,"37,552,440",11.329,11.39,11.231
2015-02-26,12.925,"89,254,750",12.324,12.989,12.305
2015-02-27,12.762,"33,820,810",12.87,12.87,12.614
2015-03-02,12.902,"27,890,410",12.721,13.087,12.721
2015-03-03,12.822,"18,689,510",12.824,12.894,12.757
2015-03-04,12.94,"36,143,020",12.769,12.988,12.437
2015-03-05,13.057,"21,694,440",12.936,13.154,12.878
2015-03-06,12.789,"22,320,720",13.0,13.049,12.75
2015-03-09,12.712,"17,832,170",12.779,12.859,12.693
2015-03-10,12.512,"17,687,900",12.572,12.693,12.451
2015-03-11,12.466,"17,741,680",12.53,12.647,12.452
2015-03-12,12.612,"22,301,510",12.288,12.621,12.155
2015-03-13,12.5,"18,414,880",12.571,12.675,12.394
2015-03-16,12.9865,"23,073,630",12.687,13.045,12.67
2015-03-17,12.91,"19,016,890",12.881,12.96,12.75
2015-03-18,13.044,"21,240,240",12.866,13.128,12.769
2015-03-19,13.204,"24,389,410",13.05,13.295,13.002
2015-03-20,13.329,"55,509,360",13.343,13.418,13.22
2015-03-23,13.444,"23,736,770",13.5,13.628,13.389
2015-03-24,13.312,"25,800,410",13.497,13.5367,13.288
2015-03-25,12.443,"48,797,890",13.262,13.333,12.44
2015-03-26,12.471,"45,067,500",12.026,12.514,11.696
2015-03-27,12.821,"24,292,460",12.499,12.9,12.485
2015-03-30,13.055,"19,520,990",12.983,13.09,12.83
2015-03-31,12.698,"16,388,980",12.931,12.95,12.673
2015-04-01,12.563,"21,636,460",12.666,12.696,12.361
2015-04-02,12.502,"14,507,750",12.611,12.691,12.463
2015-04-06,12.5825,"14,227,110",12.337,12.673,12.25
2015-04-07,12.565,"16,132,430",12.651,12.717,12.5396
2015-04-08,12.679,"13,607,130",12.547,12.747,12.53
2015-04-09,12.722,"13,960,540",12.584,12.794,12.565
2015-04-10,12.682,"11,668,820",12.756,12.797,12.607
2015-04-13,12.5345,"10,482,550",12.725,12.7466,12.51
2015-04-14,12.398,"16,050,750",12.506,12.534,12.214
2015-04-15,12.59,"16,897,840",12.477,12.63,12.465
2015-04-16,12.533,"15,415,320",12.507,12.616,12.48
2015-04-17,12.185,"26,791,410",12.369,12.428,12.094
2015-04-20,12.3025,"13,299,470",12.25,12.382,12.22
2015-04-21,12.31,"20,615,460",12.432,12.505,12.294
2015-04-22,12.7895,"22,553,700",12.391,12.8,12.275
2015-04-23,12.407,"28,049,890",12.522,12.546,12.255
2015-04-24,11.95,"55,052,500",12.373,12.373,11.587
2015-04-27,12.015,"27,309,250",12.0,12.194,11.872
2015-04-28,11.745,"31,025,860",12.038,12.1,11.456
2015-04-29,11.703,"20,903,100",11.602,11.752,11.4751
