Date,Close,Volume,Open,High,Low
2014-12-09,150.46,"4,569,151",151.45,151.45,148.91
2014-12-10,149.08,"6,573,626",150.36,151.26,148.82
2014-12-11,150.13,"3,627,527",149.79,151.27,149.5
2014-12-12,146.46,"5,204,520",149.31,149.89,146.3
2014-12-15,146.12,"4,730,620",147.97,148.42,144.75
2014-12-16,145.28,"5,018,740",145.37,148.73,145.0
2014-12-17,148.45,"4,845,029",145.76,148.63,145.53
2014-12-18,152.67,"7,849,567",151.16,152.74,150.15
2014-12-19,151.56,"9,387,014",152.33,152.66,150.83
2014-12-22,151.9,"5,938,318",151.98,152.55,151.09
2014-12-23,151.75,"3,479,067",152.19,152.7,151.68
2014-12-24,151.54,"1,612,217",152.43,152.44,151.52
2014-12-26,151.35,"1,934,635",151.66,152.13,151.25
2014-12-29,152.05,"3,222,663",151.02,152.26,151.02
2014-12-30,152.09,"2,108,867",151.35,152.22,151.19
2014-12-31,150.15,"3,324,697",152.2,152.67,150.15
2015-01-02,149.17,"3,437,377",151.5,151.6,148.5
2015-01-05,147.0,"4,168,989",148.81,149.0,146.78
2015-01-06,146.84,"4,117,156",147.64,148.53,146.111
2015-01-07,148.88,"4,157,992",147.94,149.1399,147.65
2015-01-08,151.37,"4,282,213",150.6,151.37,150.51
2015-01-09,149.47,"3,358,940",151.65,151.69,149.26
2015-01-12,148.28,"5,917,264",149.96,150.12,147.95
2015-01-13,148.63,"3,906,216",149.95,150.99,147.77
2015-01-14,147.82,"4,801,984",147.27,148.37,146.42
2015-01-15,147.58,"2,896,190",148.53,148.53,146.8
2015-01-16,149.21,"4,313,605",147.2,149.26,146.561
2015-01-20,148.63,"4,053,708",150.28,150.6,148.08
2015-01-21,147.18,"4,660,176",148.34,148.43,146.59
2015-01-22,150.15,"5,889,772",148.01,150.21,147.26
2015-01-23,149.12,"3,175,564",149.99,149.999,149.09
2015-01-26,149.7,"2,460,895",149.19,149.73,148.16
2015-01-27,147.65,"3,219,037",148.25,148.8,147.55
2015-01-28,144.78,"6,382,354",148.36,148.77,144.77
2015-01-29,146.29,"4,460,607",145.4,146.94,144.25
2015-01-30,143.91,"6,241,398",145.57,146.2,143.89
2015-02-02,146.73,"5,118,548",144.13,146.75,143.301
2015-02-03,148.29,"4,980,145",147.745,148.48,146.86
2015-02-04,147.53,"3,574,132",148.26,148.5,147.1
2015-02-05,149.67,"3,085,020",147.89,149.88,147.75
2015-02-06,150.18,"4,050,249",149.8,151.63,149.55
2015-02-09,149.13,"2,428,680",149.91,149.97,148.72
2015-02-10,149.92,"2,974,527",149.66,150.51,148.9
2015-02-11,149.68,"2,731,130",149.84,150.27,148.8
2015-02-12,149.79,"3,608,540",150.0,150.41,149.36
2015-02-13,148.34,"3,668,290",149.6,149.6,148.01
