Date,Close,Volume,Open,High,Low
2021-12-08,48.94,"36,605,540",49.27,49.8401,48.59
2021-12-09,47.81,"35,048,220",48.667,48.815,47.59
2021-12-10,48.45,"27,865,400",48.277,48.51,47.78
2021-12-13,47.71,"30,178,300",47.98,48.4,47.4506
2021-12-14,48.76,"34,729,590",46.292,49.0,46.29
2021-12-15,48.18,"23,040,410",48.14,48.71,47.77
2021-12-16,48.84,"28,400,870",48.55,49.52,48.42
2021-12-17,48.75,"41,501,890",48.21,49.25,48.04
2021-12-20,48.4,"18,991,160",48.25,48.68,47.98
2021-12-21,48.86,"19,756,310",48.63,49.315,48.4
2021-12-22,49.03,"26,551,960",48.78,49.16,48.425
2021-12-23,50.03,"18,420,040",49.37,50.215,49.31
2021-12-27,50.47,"16,422,830",50.02,50.59,49.66
2021-12-28,50.51,"9,285,440",50.47,51.02,50.31
2021-12-29,50.59,"12,045,570",50.63,50.77,50.31
2021-12-30,50.59,"11,343,050",50.72,51.2,50.5275
2021-12-31,50.33,"12,345,380",50.79,51.29,50.29
2022-01-03,50.74,"20,706,990",49.98,50.95,49.71
2022-01-04,50.19,"24,592,790",50.71,51.02,49.92
2022-01-05,50.22,"20,727,860",50.573,51.2,50.15
2022-01-06,50.51,"18,288,180",50.43,50.98,50.185
2022-01-07,50.05,"17,894,470",50.35,50.59,49.97
2022-01-10,50.52,"20,216,650",50.368,50.92,49.865
2022-01-11,51.14,"18,836,200",50.58,51.18,50.36
2022-01-12,50.95,"17,992,620",51.43,51.69,50.82
2022-01-13,51.28,"17,924,690",50.8,51.68,50.12
2022-01-14,51.68,"18,789,920",51.47,52.1,51.14
2022-01-18,50.18,"23,364,770",51.07,51.39,50.06
2022-01-19,50.33,"17,852,310",50.21,50.78,49.505
2022-01-20,50.22,"20,052,340",50.51,51.615,50.15
2022-01-21,49.73,"33,155,370",50.38,50.945,49.65
2022-01-24,50.07,"41,715,120",50.56,51.2,48.78
2022-01-25,49.67,"32,154,320",49.26,50.037,48.815
2022-01-26,48.46,"34,221,330",49.52,50.35,47.87
2022-01-27,48.01,"49,168,090",45.474,50.07,45.47
2022-01-28,49.72,"34,458,030",47.884,49.89,47.73
2022-01-31,49.99,"24,470,660",49.29,50.1,49.03
2022-02-01,49.94,"23,489,830",49.15,50.01,48.89
2022-02-02,49.99,"20,280,520",49.94,50.25,49.36
2022-02-03,49.64,"28,416,370",50.435,50.98,49.59
2022-02-04,49.33,"23,203,080",49.16,49.68,48.72
2022-02-07,48.86,"19,033,980",49.45,49.53,48.71
2022-02-08,49.21,"17,964,570",49.08,49.54,48.8251
2022-02-09,49.77,"19,142,930",49.5,49.79,49.245
2022-02-10,48.92,"21,583,390",48.95,49.61,48.75
2022-02-11,47.62,"26,312,630",48.74,49.33,47.495
2022-02-14,47.4,"24,481,630",48.1,48.39,47.07
2022-02-15,48.05,"21,087,940",47.71,48.315,47.69
2022-02-16,48.09,"14,852,100",47.92,48.255,47.65
2022-02-17,46.77,"20,569,040",47.64,47.66,46.67
2022-02-18,46.64,"21,220,420",46.78,47.15,46.43
2022-02-22,46.94,"21,635,660",47.0,47.47,46.615
2022-02-23,45.13,"36,279,080",46.82,47.0,44.8
2022-02-24,46.01,"29,784,050",44.465,46.06,44.27
2022-02-25,47.07,"30,442,010",46.19,47.455,45.995
2022-02-28,46.76,"29,824,660",46.46,47.13,46.095
2022-03-01,46.39,"21,843,440",46.14,46.95,45.805
2022-03-02,46.38,"25,978,660",46.74,47.1,46.25
2022-03-03,47.12,"23,131,580",46.87,47.64,46.7
2022-03-04,47.21,"21,369,840",46.9,47.395,46.4
2022-03-07,46.3,"30,718,650",47.0,47.41,45.9
2022-03-08,46.13,"24,592,720",46.34,47.295,46.08
2022-03-09,46.12,"20,113,720",46.78,47.14,45.98
2022-03-10,45.39,"18,179,460",45.59,45.825,44.945
2022-03-11,45.02,"19,584,780",45.96,46.25,44.95
2022-03-14,44.97,"17,564,210",45.36,45.76,44.8434
2022-03-15,45.54,"22,824,380",45.555,45.75,45.11
2022-03-16,46.23,"20,107,730",45.62,46.34,45.015
2022-03-17,46.48,"16,955,610",46.225,46.5,45.445
2022-03-18,46.91,"35,185,350",46.31,46.97,45.935
2022-03-21,46.67,"17,884,720",46.89,47.125,46.19
2022-03-22,47.22,"15,409,600",47.14,47.5,46.97
2022-03-23,46.52,"16,229,630",47.15,47.35,46.52
2022-03-24,46.8,"13,375,400",46.88,47.02,46.43
2022-03-25,47.13,"15,014,740",47.05,47.365,46.85
2022-03-28,47.53,"18,965,400",47.16,47.55,46.73
2022-03-29,47.78,"20,459,370",47.98,48.2,47.385
2022-03-30,47.69,"15,452,210",47.57,47.84,47.41
2022-03-31,46.82,"21,186,600",47.87,47.92,46.82
2022-04-01,47.7,"15,070,240",47.155,47.8,46.845
2022-04-04,48.11,"15,150,570",47.69,48.2787,47.63
2022-04-05,47.87,"15,442,040",47.42,48.285,47.41
2022-04-06,47.73,"21,346,480",47.88,48.245,47.43
2022-04-07,47.15,"18,831,000",47.6,47.78,46.585
2022-04-08,47.42,"18,218,860",47.12,47.58,46.54
2022-04-11,47.61,"20,255,960",47.65,48.42,47.55
2022-04-12,47.25,"13,902,110",48.0,48.175,47.125
2022-04-13,47.91,"14,469,950",47.34,48.04,47.22
2022-04-14,47.58,"16,540,070",47.99,48.24,47.49
2022-04-18,46.86,"14,839,460",47.66,48.005,46.65
2022-04-19,48.11,"21,438,520",46.75,48.22,46.74
2022-04-20,47.4,"22,555,830",47.9,48.06,47.335
2022-04-21,46.94,"22,347,270",47.54,48.19,46.83
2022-04-22,45.38,"29,978,970",46.87,47.0,45.33
2022-04-25,45.71,"28,083,250",45.42,45.87,44.86
2022-04-26,44.57,"29,225,020",45.29,45.8475,44.49
2022-04-27,44.45,"25,547,910",44.61,45.08,44.08
2022-04-28,41.7,"49,934,020",42.73,43.72,40.76
2022-04-29,39.76,"44,133,770",41.21,41.82,39.6101
2022-05-02,40.45,"37,611,830",40.06,40.66,39.595
2022-05-03,40.37,"24,371,300",40.75,40.78,39.97
2022-05-04,41.62,"27,140,720",40.48,41.69,40.19
2022-05-05,40.38,"30,240,530",41.13,41.6,40.04
2022-05-06,40.0,"36,595,570",40.25,40.42,39.47
2022-05-09,39.76,"36,675,720",40.0,40.39,39.59
2022-05-10,40.3,"31,368,300",40.295,41.05,39.945
2022-05-11,39.84,"31,756,990",40.37,40.8,39.61
2022-05-12,41.39,"39,604,320",39.888,41.46,39.775
2022-05-13,41.48,"29,684,120",41.06,41.895,41.05
2022-05-16,41.87,"21,015,660",41.54,42.1582,41.36
2022-05-17,42.84,"18,435,460",42.08,42.91,41.93
2022-05-18,42.13,"23,558,150",42.71,42.945,41.93
2022-05-19,42.02,"17,423,750",41.92,42.425,41.8
2022-05-20,42.01,"24,325,770",42.384,42.68,41.175
2022-05-23,42.88,"20,260,380",42.67,43.1,42.043
2022-05-24,43.07,"20,921,310",42.7,43.095,42.08
2022-05-25,43.7,"16,583,370",43.02,43.89,42.75
2022-05-26,44.13,"24,427,760",43.74,44.49,43.74
2022-05-27,44.16,"18,073,510",44.13,44.64,43.98
2022-05-31,44.28,"25,249,580",43.91,44.66,43.48
2022-06-01,43.93,"17,980,730",44.55,44.56,43.465
2022-06-02,43.8,"16,742,810",43.557,43.84,42.99
2022-06-03,42.93,"19,670,720",43.67,43.775,42.805
2022-06-06,42.28,"20,144,530",43.1,43.33,42.01
2022-06-07,42.63,"14,485,020",41.95,42.71,41.725
2022-06-08,42.84,"17,198,800",42.52,43.43,42.415
2022-06-09,42.18,"21,662,300",42.75,43.055,42.16
2022-06-10,41.63,"21,302,340",41.82,42.015,41.52
2022-06-13,40.2,"32,051,100",41.045,41.19,40.07
2022-06-14,39.84,"23,707,000",40.46,40.955,39.62
2022-06-15,40.13,"31,516,200",40.33,40.92,39.7101
2022-06-16,37.91,"36,040,360",39.5,39.53,37.56
2022-06-17,38.71,"52,141,630",37.91,38.81,37.91
2022-06-21,38.48,"29,168,970",38.99,39.3,38.285
2022-06-22,38.9,"26,818,020",38.34,39.33,38.18
2022-06-23,39.11,"26,629,380",38.93,39.2,38.47
2022-06-24,39.57,"26,686,930",38.92,39.63,38.91
2022-06-27,39.83,"18,156,830",39.63,40.025,39.5
2022-06-28,39.13,"17,306,010",40.03,40.57,39.1
2022-06-29,39.33,"16,980,140",39.28,39.41,38.76
2022-06-30,39.24,"21,566,330",39.01,39.66,38.5
2022-07-01,40.29,"16,176,000",39.37,40.385,39.28
2022-07-05,39.83,"19,320,700",39.355,39.83,38.91
2022-07-06,39.83,"20,011,340",39.97,40.11,39.61
2022-07-07,39.94,"19,018,630",39.71,40.09,39.405
2022-07-08,39.96,"13,100,390",39.91,40.21,39.5
2022-07-11,39.17,"20,956,690",39.81,39.94,39.01
2022-07-12,39.75,"24,798,770",39.33,40.36,39.13
2022-07-13,39.88,"16,994,320",39.37,40.145,38.97
2022-07-14,39.58,"16,462,510",39.27,39.645,39.045
2022-07-15,40.9,"22,142,730",39.94,40.93,39.89
2022-07-18,40.54,"16,609,950",40.9,41.18,40.44
2022-07-19,41.31,"15,112,560",41.08,41.4,40.87
2022-07-20,41.82,"16,799,260",41.42,41.98,40.945
2022-07-21,42.27,"19,527,130",41.58,42.375,41.14
2022-07-22,42.6,"24,098,570",42.41,42.91,42.22
2022-07-25,42.47,"16,843,030",42.89,42.89,42.15
2022-07-26,42.72,"25,380,480",42.21,42.84,42.21
2022-07-27,43.37,"27,414,610",42.5,43.715,42.43
2022-07-28,39.41,"46,629,880",39.5919,40.32,38.9801
2022-07-29,37.52,"54,134,710",39.09,39.11,36.5718
2022-08-01,37.51,"26,577,060",37.025,37.62,36.76
2022-08-02,37.68,"25,562,510",37.59,38.065,37.44
2022-08-03,38.48,"27,677,530",37.82,38.64,37.64
2022-08-04,38.93,"19,913,340",38.58,39.22,38.36
2022-08-05,38.27,"20,752,240",37.765,38.425,37.765
2022-08-08,38.59,"15,702,430",38.77,39.38,38.51
2022-08-09,38.16,"17,541,910",38.59,38.74,37.86
2022-08-10,38.96,"18,426,640",38.77,39.07,38.56
2022-08-11,39.4,"15,063,660",39.17,39.835,39.13
2022-08-12,40.0,"16,930,420",39.78,40.07,39.435
2022-08-15,40.57,"19,005,840",39.593,40.63,39.4
2022-08-16,40.36,"17,641,950",40.16,40.56,39.935
2022-08-17,39.26,"18,447,670",39.98,40.08,39.08
2022-08-18,38.61,"29,036,870",39.28,39.4099,38.41
2022-08-19,38.68,"19,692,230",38.39,38.79,38.14
2022-08-22,37.62,"21,400,180",38.63,38.63,37.54
2022-08-23,37.24,"16,505,680",37.65,37.805,37.22
2022-08-24,37.11,"17,668,300",37.21,37.66,37.07
2022-08-25,37.6,"21,571,000",37.29,37.71,37.03
2022-08-26,36.8,"21,742,290",37.75,38.075,36.78
2022-08-29,36.29,"23,293,250",36.72,36.8775,36.25
2022-08-30,35.72,"23,702,580",36.52,36.56,35.61
2022-08-31,36.19,"32,478,280",36.26,36.47,36.03
2022-09-01,36.9,"22,729,240",36.145,36.93,36.145
2022-09-02,35.76,"20,091,320",36.94,37.03,35.65
2022-09-06,34.74,"29,842,210",35.98,35.98,34.585
2022-09-07,34.98,"33,188,760",34.77,35.08,34.59
2022-09-08,34.37,"39,075,710",34.91,34.91,33.74
2022-09-09,35.43,"28,297,100",34.44,35.5,34.3391
2022-09-12,35.69,"21,781,040",35.72,35.9,35.37
2022-09-13,33.46,"35,960,560",35.07,35.155,33.41
2022-09-14,34.47,"31,751,160",34.03,34.705,33.65
2022-09-15,34.0,"36,999,510",34.45,34.605,33.72
2022-09-16,34.52,"52,294,500",34.09,34.71,33.93
2022-09-19,34.46,"23,407,910",34.36,34.77,34.0
2022-09-20,33.84,"26,623,970",33.99,34.23,33.6
2022-09-21,32.7,"36,733,680",34.02,34.09,32.68
2022-09-22,32.47,"25,182,890",32.6,32.92,32.3
2022-09-23,31.84,"27,448,490",32.37,32.41,31.45
2022-09-26,30.89,"34,148,960",31.66,31.85,30.525
2022-09-27,30.26,"34,363,250",31.28,31.405,30.0
