Date,Close,Volume,Open,High,Low
2014-12-09,143.04,"2,090,801",142.13,143.13,140.88
2014-12-10,140.25,"4,916,260",144.94,146.82,139.4
2014-12-11,141.41,"2,401,295",141.09,142.68,140.67
2014-12-12,137.88,"3,668,752",139.99,141.36,137.83
2014-12-15,138.19,"2,452,549",138.65,139.5,137.06
2014-12-16,137.31,"2,469,085",138.53,139.3,136.55
2014-12-17,139.33,"2,428,540",137.31,139.62,136.78
2014-12-18,141.56,"2,900,224",140.18,141.56,139.29
2014-12-19,141.77,"4,024,247",141.5,142.5,141.33
2014-12-22,143.21,"1,776,773",142.34,143.27,141.85
2014-12-23,144.15,"1,463,215",144.53,144.97,143.67
2014-12-24,143.65,"738,668",144.56,144.865,143.6
2014-12-26,143.44,"1,233,068",143.61,143.87,143.08
2014-12-29,143.34,"1,364,295",143.35,143.85,142.74
2014-12-30,143.49,"1,158,803",143.0,144.09,143.0
2014-12-31,141.75,"1,484,414",143.49,144.13,141.69
2015-01-02,141.61,"1,471,017",141.87,143.15,140.814
2015-01-05,140.0,"1,751,448",141.69,142.16,139.8
2015-01-06,141.85,"3,187,850",140.61,142.94,139.85
2015-01-07,144.32,"2,170,867",142.6,144.43,142.36
2015-01-08,145.56,"2,937,071",145.56,146.1,144.94
2015-01-09,143.32,"1,727,006",144.48,145.05,143.22
2015-01-12,142.52,"1,344,603",143.58,144.16,142.12
2015-01-13,141.09,"2,200,750",142.2,144.41,140.39
2015-01-14,139.31,"2,208,152",140.01,140.21,138.24
2015-01-15,139.31,"1,819,575",139.95,140.17,138.62
2015-01-16,139.72,"1,783,556",139.04,139.96,138.22
2015-01-20,139.38,"1,836,585",140.72,141.27,138.3601
2015-01-21,139.14,"1,682,465",138.85,139.7,138.38
2015-01-22,141.27,"1,897,527",139.5,141.28,138.39
2015-01-23,142.05,"1,700,402",141.59,142.31,140.87
2015-01-26,142.905,"1,483,208",141.66,143.05,141.57
2015-01-27,140.99,"1,786,517",142.75,142.7999,140.87
2015-01-28,139.62,"2,016,917",141.6,142.45,139.56
2015-01-29,140.64,"1,872,711",140.16,140.69,138.91
2015-01-30,142.99,"5,167,605",143.09,143.8,141.34
2015-02-02,146.0,"4,796,287",144.0,146.23,140.13
2015-02-03,153.75,"10,300,830",146.36,153.89,144.77
2015-02-04,155.92,"11,003,140",152.08,156.85,152.07
2015-02-05,149.09,"6,984,262",149.5,151.1,147.52
2015-02-06,148.7,"2,924,061",149.21,149.95,148.1601
2015-02-09,147.54,"2,739,058",148.7,149.16,146.82
2015-02-10,148.22,"1,702,251",147.99,148.48,147.0
2015-02-11,147.46,"2,294,846",148.39,148.48,146.55
2015-02-12,147.76,"1,712,082",148.01,148.39,146.86
2015-02-13,147.1,"1,926,711",148.23,148.8,146.94
2015-02-17,147.53,"1,541,551",147.0,147.61,145.66
2015-02-18,147.23,"1,539,946",147.16,147.48,146.53
2015-02-19,146.665,"1,273,712",146.9,147.51,146.46
2015-02-20,147.535,"1,595,668",146.67,147.79,145.9
2015-02-23,148.39,"1,586,494",148.0,148.46,147.03
2015-02-24,148.21,"1,843,184",149.38,149.4,148.0
2015-02-25,147.48,"1,602,745",147.7,148.6,147.19
2015-02-26,146.65,"1,891,671",147.07,147.61,146.2
2015-02-27,146.96,"3,035,044",147.56,147.56,145.8301
2015-03-02,147.94,"2,108,244",147.32,148.49,147.32
2015-03-03,147.37,"1,513,306",147.94,148.14,146.66
2015-03-04,147.17,"2,206,861",147.84,147.98,145.78
2015-03-05,151.17,"4,469,790",150.77,151.75,149.0
2015-03-06,149.545,"3,014,345",149.29,150.15,148.17
2015-03-09,150.68,"1,727,742",149.79,150.99,149.55
2015-03-10,148.16,"2,126,950",149.75,150.15,148.15
2015-03-11,147.4,"1,734,064",148.33,148.99,147.34
2015-03-12,149.44,"1,563,991",148.38,149.64,147.4
2015-03-13,149.28,"1,469,981",149.09,149.91,148.15
2015-03-16,149.99,"2,532,676",149.72,151.0,149.28
2015-03-17,150.03,"1,971,375",149.39,150.2,148.43
2015-03-18,150.93,"2,773,361",150.0,151.63,148.25
2015-03-19,151.31,"1,860,609",151.0,151.5,150.32
2015-03-20,152.59,"5,856,475",152.13,153.15,151.75
2015-03-23,152.93,"1,666,239",153.15,153.56,152.7
2015-03-24,153.14,"1,634,371",152.95,154.23,152.89
2015-03-25,151.09,"2,265,767",153.55,153.96,151.09
2015-03-26,150.06,"1,554,689",149.32,150.77,149.17
2015-03-27,150.47,"1,329,888",150.21,151.22,150.02
2015-03-30,152.365,"1,463,732",150.91,152.59,150.8
2015-03-31,151.495,"1,886,013",151.84,153.0,151.25
2015-04-01,150.24,"1,793,739",151.83,151.87,149.7
2015-04-02,151.63,"1,096,088",150.47,152.0,150.36
2015-04-06,152.5,"1,767,562",151.37,152.84,150.6
2015-04-07,151.78,"1,392,214",152.53,152.95,151.72
2015-04-08,152.0,"1,482,950",152.23,152.67,151.19
2015-04-09,148.81,"3,399,377",150.57,151.0,148.27
2015-04-10,149.635,"1,572,885",149.4,150.03,148.62
2015-04-13,149.02,"1,120,171",149.44,150.34,148.93
2015-04-14,149.52,"1,540,789",149.0,150.1,147.72
2015-04-15,149.07,"1,405,557",149.58,150.67,149.05
2015-04-16,147.11,"2,675,496",148.76,148.895,146.91
2015-04-17,144.57,"4,364,881",146.58,146.73,143.1
2015-04-20,146.31,"2,881,995",146.65,147.25,145.75
2015-04-21,147.34,"1,616,698",146.98,148.08,146.6
2015-04-22,146.98,"1,423,460",147.93,147.93,146.28
2015-04-23,147.3,"1,351,861",146.6,147.95,146.27
2015-04-24,148.12,"1,419,988",147.33,148.4,146.87
2015-04-27,146.96,"1,716,896",148.3,148.505,146.86
2015-04-28,146.61,"1,300,152",146.89,147.19,146.05
2015-04-29,144.46,"1,718,853",145.88,146.25,143.87
2015-04-30,143.05,"2,513,885",143.85,144.9,142.54
2015-05-01,145.39,"1,504,749",143.46,145.74,143.22
2015-05-04,145.75,"1,287,090",145.39,146.21,144.61
2015-05-05,144.5,"1,769,372",145.12,145.74,144.29
2015-05-06,144.77,"1,737,319",145.35,145.84,144.01
2015-05-07,144.56,"2,565,148",144.52,145.6099,144.01
2015-05-08,145.88,"1,728,677",146.0,147.56,145.8
2015-05-11,144.27,"1,906,682",145.54,146.33,144.2
2015-05-12,144.07,"1,923,861",144.0,145.0,143.418
2015-05-13,143.24,"2,135,900",143.88,145.289,142.72
2015-05-14,142.6,"3,023,417",144.13,144.13,141.53
2015-05-15,144.83,"2,356,819",143.22,144.96,142.74
2015-05-18,145.06,"1,451,694",144.74,145.29,144.05
2015-05-19,144.74,"1,332,707",144.81,145.5,144.31
2015-05-20,143.49,"1,640,603",145.06,145.06,143.26
2015-05-21,143.94,"1,539,405",143.37,144.5897,142.845
2015-05-22,143.68,"1,182,891",143.9,144.755,143.4
2015-05-26,143.25,"2,472,652",144.08,144.41,143.08
2015-05-27,145.42,"2,932,013",143.63,145.64,143.11
2015-05-28,144.26,"3,205,852",144.32,145.97,143.16
2015-05-29,142.59,"3,026,522",143.78,143.946,141.77
2015-06-01,142.39,"2,183,313",143.05,143.25,141.9
2015-06-02,141.4,"1,963,429",141.97,142.67,140.89
2015-06-03,142.13,"1,858,246",141.67,142.5101,141.18
2015-06-04,140.65,"2,883,691",141.37,142.5,140.33
2015-06-05,138.78,"3,202,715",140.74,140.81,138.74
2015-06-08,138.05,"1,879,339",138.91,138.91,138.02
2015-06-09,138.04,"2,037,923",137.92,138.76,137.81
2015-06-10,139.43,"1,725,592",138.32,139.94,138.26
2015-06-11,139.32,"1,342,315",139.64,140.47,139.19
2015-06-12,138.78,"1,289,498",139.06,139.2999,138.51
2015-06-15,137.23,"1,940,535",137.94,138.315,137.15
2015-06-16,137.98,"1,554,190",137.2,138.24,137.15
2015-06-17,138.875,"1,508,026",137.94,139.32,137.88
2015-06-18,140.5,"2,074,140",139.49,141.1,139.22
2015-06-19,140.3,"2,757,750",140.59,141.48,140.18
2015-06-22,140.19,"1,415,497",140.84,141.17,140.08
2015-06-23,139.65,"1,489,350",140.44,140.9,139.53
2015-06-24,138.34,"1,965,857",139.34,139.86,138.28
2015-06-25,137.45,"1,660,584",138.45,139.91,137.42
