Date,Close,Volume,Open,High,Low
2014-12-09,27.42,"25,706,540",26.95,27.48,26.83
2014-12-10,26.87,"31,765,930",27.26,27.355,26.79
2014-12-11,26.99,"22,902,640",26.97,27.36,26.94
2014-12-12,26.855,"27,018,430",26.71,27.15,26.7
2014-12-15,26.68,"27,439,560",26.89,27.17,26.48
2014-12-16,26.585,"36,604,110",26.5,27.17,26.15
2014-12-17,26.81,"36,617,390",26.62,26.9,26.47
2014-12-18,27.65,"34,740,960",27.04,27.66,27.04
2014-12-19,27.77,"59,520,560",27.65,27.85,27.55
2014-12-22,28.22,"28,604,230",27.8,28.29,27.75
2014-12-23,28.25,"23,535,820",28.22,28.5,28.19
2014-12-24,28.3,"11,411,240",28.29,28.59,28.29
2014-12-26,28.35,"9,738,434",28.5,28.5,28.283
2014-12-29,28.46,"13,407,040",28.35,28.57,28.32
2014-12-30,28.36,"15,473,750",28.44,28.48,28.31
2014-12-31,27.815,"21,434,230",28.28,28.41,27.81
2015-01-02,27.61,"22,843,180",27.86,28.12,27.38
2015-01-05,27.06,"29,328,050",27.32,27.45,27.0
2015-01-06,27.05,"47,241,940",27.135,27.68,27.04
2015-01-07,27.3,"27,350,820",27.14,27.4,26.98
2015-01-08,27.51,"40,840,590",27.54,28.09,27.47
2015-01-09,27.79,"33,604,140",27.67,28.07,27.45
2015-01-12,28.05,"38,613,580",28.0,28.2,27.82
2015-01-13,28.095,"36,072,520",28.21,28.7,27.9
2015-01-14,27.92,"29,483,120",27.84,28.05,27.64
2015-01-15,27.41,"29,501,170",28.09,28.195,27.35
2015-01-16,27.68,"26,654,830",27.36,27.77,27.21
2015-01-20,28.07,"33,658,350",27.76,28.27,27.655
2015-01-21,27.84,"29,281,160",28.055,28.185,27.7
2015-01-22,28.5,"49,356,590",27.55,28.51,27.22
2015-01-23,28.21,"21,774,370",28.36,28.5,28.14
2015-01-26,27.97,"18,370,020",28.22,28.23,27.7
2015-01-27,26.9,"46,108,110",27.52,27.59,26.66
2015-01-28,26.805,"32,339,660",27.39,27.6,26.8
2015-01-29,27.22,"28,078,430",26.74,27.31,26.64
2015-01-30,26.365,"38,381,020",26.88,27.11,26.32
2015-02-02,26.83,"29,306,030",26.39,26.87,25.92
2015-02-03,27.12,"28,040,460",26.9,27.12,26.69
2015-02-04,26.69,"27,630,150",27.06,27.22,26.6101
2015-02-05,27.26,"20,524,290",26.75,27.3,26.58
2015-02-06,27.24,"25,478,820",27.37,27.66,27.14
2015-02-09,27.12,"23,656,300",27.21,27.405,27.06
2015-02-10,27.49,"22,188,200",27.16,27.54,27.15
2015-02-11,26.93,"45,550,610",27.65,27.65,26.9
2015-02-12,29.46,"117,194,000",28.99,29.58,28.84
2015-02-13,29.43,"50,649,810",29.38,29.5,29.11
2015-02-17,29.31,"34,213,850",29.26,29.35,29.03
2015-02-18,29.49,"24,496,640",29.19,29.55,29.12
2015-02-19,29.31,"21,465,410",29.31,29.39,29.13
2015-02-20,29.61,"25,980,700",29.35,29.66,29.155
2015-02-23,29.63,"24,020,300",29.63,29.65,29.42
2015-02-24,29.63,"18,474,040",29.56,29.71,29.43
2015-02-25,29.49,"17,275,100",29.44,29.57,29.32
2015-02-26,29.91,"28,285,310",29.52,29.99,29.52
2015-02-27,29.51,"29,113,520",29.89,29.91,29.38
2015-03-02,30.19,"35,882,050",29.36,30.31,29.34
2015-03-03,29.54,"32,968,250",30.1,30.12,29.47
2015-03-04,29.33,"32,843,270",29.35,29.52,29.11
2015-03-05,29.3,"17,980,610",29.47,29.49,29.12
2015-03-06,28.925,"27,033,290",29.11,29.27,28.8
2015-03-09,29.36,"23,006,420",28.9,29.45,28.76
2015-03-10,28.66,"26,521,320",29.15,29.17,28.66
2015-03-11,28.26,"25,150,880",28.68,28.76,28.21
2015-03-12,28.24,"22,956,980",28.05,28.54,28.05
2015-03-13,27.94,"36,506,350",28.02,28.26,27.565
2015-03-16,28.3,"25,170,010",28.1,28.38,28.04
2015-03-17,28.15,"21,873,200",28.19,28.28,27.95
2015-03-18,28.15,"34,893,060",27.88,28.34,27.72
2015-03-19,28.26,"27,949,390",28.1,28.54,28.03
2015-03-20,28.44,"37,577,500",28.45,28.62,28.32
2015-03-23,28.405,"23,477,180",28.44,28.69,28.36
2015-03-24,28.0,"23,185,330",28.29,28.57,27.99
2015-03-25,27.46,"27,136,580",27.92,28.09,27.46
2015-03-26,27.09,"48,916,710",27.19,27.305,26.62
2015-03-27,27.13,"20,462,430",27.07,27.21,26.94
2015-03-30,27.65,"29,054,510",27.22,27.75,27.22
2015-03-31,27.525,"29,257,700",27.34,27.69,27.28
2015-04-01,27.25,"22,413,230",27.31,27.638,27.1
2015-04-02,27.13,"19,519,600",27.22,27.5,27.13
2015-04-06,27.22,"19,968,330",26.96,27.32,26.84
2015-04-07,27.39,"16,833,120",27.2,27.56,27.13
2015-04-08,27.55,"19,059,800",27.37,27.66,27.37
2015-04-09,27.625,"16,683,730",27.59,27.74,27.42
2015-04-10,28.04,"24,628,930",27.58,28.08,27.56
2015-04-13,27.98,"22,766,810",27.99,28.28,27.94
2015-04-14,27.81,"19,295,130",28.0,28.06,27.68
