Date,Close,Volume,Open,High,Low
2014-12-09,107.01,"11,052,020",106.17,108.1507,106.13
2014-12-10,104.86,"15,070,060",106.22,106.25,103.07
2014-12-11,104.91,"10,281,790",104.97,107.27,104.3
2014-12-12,102.38,"12,004,330",103.76,104.35,102.37
2014-12-15,100.86,"13,141,540",103.13,103.91,100.415
2014-12-16,101.7,"12,709,680",100.5,104.4699,100.15
2014-12-17,106.02,"13,355,880",102.18,106.59,102.01
2014-12-18,109.03,"13,493,220",108.01,109.03,105.49
2014-12-19,112.93,"15,714,230",109.53,112.96,108.5
2014-12-22,112.03,"9,416,553",112.36,112.989,111.07
2014-12-23,113.95,"8,088,073",112.76,114.45,112.32
2014-12-24,113.47,"4,538,653",113.66,114.1382,112.07
2014-12-26,113.25,"4,379,537",113.93,114.3499,112.8151
2014-12-29,113.32,"6,042,767",113.44,114.38,112.78
2014-12-30,113.11,"5,652,102",112.93,113.65,112.15
2014-12-31,112.18,"6,411,658",111.65,113.306,111.53
2015-01-02,112.58,"5,901,431",111.63,113.0,110.85
2015-01-05,108.08,"11,728,270",110.96,111.2,107.44
2015-01-06,108.03,"11,580,520",107.87,109.02,106.48
2015-01-07,107.94,"10,335,860",109.25,109.725,107.51
2015-01-08,110.41,"8,632,812",109.19,110.44,108.6
2015-01-09,108.21,"9,568,692",110.14,110.22,107.672
2015-01-12,105.88,"8,901,139",107.47,107.47,105.56
2015-01-13,104.2,"13,274,240",106.92,107.66,103.19
2015-01-14,103.9,"14,113,370",103.2,104.41,101.83
2015-01-15,102.67,"9,658,484",104.41,104.94,102.53
2015-01-16,105.12,"12,603,020",102.47,105.14,102.47
2015-01-20,106.47,"10,405,960",104.56,106.58,103.81
2015-01-21,108.16,"8,269,174",106.79,108.27,106.35
2015-01-22,108.92,"7,432,393",108.76,109.12,106.99
2015-01-23,106.85,"7,978,841",108.22,108.75,106.73
2015-01-26,108.88,"7,668,419",107.22,109.35,106.32
2015-01-27,108.26,"6,387,670",108.11,108.812,107.63
2015-01-28,103.71,"10,514,860",108.16,108.17,103.42
2015-01-29,103.0,"13,988,610",104.24,104.63,101.66
2015-01-30,102.53,"20,578,140",101.6,103.28,98.88
2015-02-02,106.06,"11,527,540",103.98,106.13,102.97
2015-02-03,109.53,"14,258,870",107.7,110.11,107.67
2015-02-04,108.35,"10,170,080",108.49,109.28,107.392
2015-02-05,109.31,"7,498,578",109.57,110.11,108.57
2015-02-06,109.61,"7,654,768",109.66,110.46,109.11
2015-02-09,110.43,"6,381,881",109.84,111.5,109.65
2015-02-10,110.18,"7,023,236",110.52,110.62,108.0852
2015-02-11,109.98,"8,659,271",108.98,110.18,108.29
2015-02-12,110.86,"6,613,997",110.28,111.05,109.82
2015-02-13,112.78,"7,493,302",111.35,112.84,111.1
2015-02-17,112.4,"7,094,170",112.31,112.93,111.52
2015-02-18,110.44,"6,916,087",111.25,111.65,110.37
2015-02-19,108.35,"9,709,203",108.2,109.58,107.24
2015-02-20,108.6,"7,605,799",108.43,108.87,107.5
2015-02-23,107.86,"6,715,418",107.79,108.5,107.35
2015-02-24,107.96,"5,705,982",107.89,108.24,107.34
2015-02-25,108.58,"4,806,219",108.12,108.78,107.76
2015-02-26,107.06,"5,899,249",107.89,107.92,106.6
2015-02-27,106.68,"6,396,479",107.52,107.73,106.57
2015-03-02,105.9,"7,308,766",106.32,106.34,104.93
2015-03-03,105.16,"6,890,566",105.88,106.215,104.8097
2015-03-04,105.16,"5,784,526",105.64,105.64,104.44
2015-03-05,104.73,"5,156,298",105.01,105.31,104.33
