Date,Close,Volume,Open,High,Low
2021-12-08,280.9565,"2,224,245",277.187,282.1659,276.5425
2021-12-09,281.8569,"1,969,476",282.8633,284.1698,279.6764
2021-12-10,280.2767,"1,865,205",281.4067,285.2115,280.0031
2021-12-13,281.1772,"2,725,724",281.1154,282.7574,278.9526
2021-12-14,271.6342,"3,234,668",278.829,279.8971,268.3017
2021-12-15,278.0609,"2,980,647",274.2208,278.3611,271.7931
2021-12-16,281.1595,"4,022,413",278.7054,285.2557,276.1188
2021-12-17,276.675,"7,948,014",279.4911,280.983,274.3195
2021-12-20,277.4518,"2,918,313",276.2336,278.7319,270.7338
2021-12-21,277.1252,"2,189,012",279.0629,279.0629,272.2875
2021-12-22,282.2101,"2,190,639",278.7495,283.0973,278.4273
2021-12-23,283.1899,"1,209,765",281.0889,284.6819,280.4092
2021-12-27,289.034,"1,067,059",286.6681,289.4578,284.9997
2021-12-28,285.5293,"1,234,195",288.4249,290.0757,284.7348
2021-12-29,288.3013,"2,006,785",287.2773,289.2635,285.1587
2021-12-30,289.9698,"1,150,318",288.8839,291.7265,288.2218
2021-12-31,290.4465,"1,276,491",289.7844,292.4063,289.0164
2022-01-03,278.7495,"3,665,771",288.778,290.058,275.7657
2022-01-04,271.2458,"4,472,264",276.313,278.9967,269.5729
2022-01-05,269.5155,"3,722,894",273.2233,274.5121,269.4626
2022-01-06,268.2973,"1,992,122",268.8535,270.3983,264.0952
2022-01-07,261.0143,"3,231,708",267.3174,267.9089,259.3635
2022-01-10,267.5116,"3,375,614",259.7166,267.6882,256.8917
2022-01-11,269.542,"4,094,814",269.3566,273.0644,265.4017
2022-01-12,270.469,"2,633,426",270.469,272.1992,268.0678
2022-01-13,257.8186,"3,503,357",269.0741,270.4601,256.8387
2022-01-14,258.9309,"3,170,927",255.9029,259.2575,254.411
2022-01-18,254.5964,"4,167,073",255.3026,256.1943,251.8421
2022-01-19,253.387,"2,980,297",255.6646,259.2664,253.3075
2022-01-20,249.794,"2,966,415",255.2762,255.8853,249.3085
2022-01-21,247.5782,"4,016,213",250.8799,251.8862,245.9186
2022-01-24,244.409,"5,534,958",244.2943,245.0181,235.7312
2022-01-25,239.4124,"4,892,027",242.2903,242.767,238.0176
2022-01-26,235.5017,"4,707,433",239.6508,241.6424,233.2064
2022-01-27,238.3266,"5,625,194",240.2069,241.6371,236.0446
2022-01-28,248.1609,"4,955,554",240.3305,248.3816,237.1569
2022-01-31,252.2923,"3,530,578",250.0412,253.7489,249.5204
2022-02-01,253.6165,"2,575,957",253.7754,254.2874,250.4208
2022-02-02,259.9196,"3,259,662",255.0466,260.873,253.0515
2022-02-03,255.9294,"2,375,765",256.0618,259.4694,254.2963
2022-02-04,253.9167,"1,479,284",255.2673,256.6974,252.4336
2022-02-07,251.7273,"1,641,720",254.8348,256.0089,250.9152
2022-02-08,252.1423,"1,450,953",248.5052,252.8485,247.512
2022-02-09,257.7833,"2,250,850",254.6759,258.3218,254.2521
2022-02-10,249.1231,"2,559,145",254.8039,254.8083,247.7283
2022-02-11,240.7013,"2,926,760",248.6111,250.5532,239.907
2022-02-14,239.6773,"3,014,217",239.7655,241.69,237.3158
2022-02-15,237.5321,"3,284,773",242.8023,244.8504,236.5081
2022-02-16,236.3138,"3,642,473",236.6934,238.1236,231.7322
2022-02-17,237.7086,"3,225,893",236.3138,239.7567,234.1951
2022-02-18,235.6429,"2,346,339",238.8651,238.9622,234.0362
2022-02-22,234.9808,"3,326,882",234.9632,238.0265,232.818
2022-02-23,231.6351,"2,807,218",235.5723,238.3796,230.8582
2022-02-24,239.7302,"3,720,598",226.0029,240.5623,225.844
2022-02-25,246.5189,"2,376,805",238.9446,246.7352,238.2295
2022-02-28,242.2462,"3,239,323",247.1633,247.3222,239.6773
2022-03-01,240.1451,"2,000,103",242.2462,244.3952,238.0529
2022-03-02,242.3256,"2,031,528",239.3418,243.5439,239.3418
2022-03-03,244.153,"2,420,841",244.3472,246.563,241.6415
2022-03-04,240.5954,"2,474,778",243.385,243.5792,236.2167
2022-03-07,232.1912,"3,277,851",239.0858,240.5247,229.7062
2022-03-08,227.1152,"2,785,707",228.7925,232.5602,224.8199
2022-03-09,233.7802,"1,900,620",232.4119,235.3251,230.6375
2022-03-10,232.9063,"1,419,938",232.8445,234.3629,230.3462
2022-03-11,231.7498,"1,976,829",234.3894,236.8347,231.5026
2022-03-14,235.5723,"2,884,507",233.1005,241.2221,232.1471
2022-03-15,239.1388,"2,700,321",237.1172,240.1407,236.0402
2022-03-16,245.3448,"3,086,321",240.3747,245.8215,239.5297
2022-03-17,248.4169,"2,576,263",244.5679,248.4522,239.4036
2022-03-18,257.9422,"4,342,221",249.2997,259.4208,248.3727
2022-03-21,255.3644,"2,619,895",254.0226,258.5072,253.4135
2022-03-22,259.4517,"2,896,205",255.7175,260.2286,254.7465
2022-03-23,252.5219,"2,256,420",257.1741,257.205,251.9745
2022-03-24,252.9456,"2,376,542",253.59,254.3713,249.644
2022-03-25,253.8284,"1,363,324",254.923,255.7529,250.9593
2022-03-28,257.3066,"1,972,193",254.2786,257.4831,252.4954
2022-03-29,261.1644,"2,783,901",261.1467,263.0712,258.8823
2022-03-30,262.5062,"2,617,876",260.5552,262.5327,259.6548
2022-03-31,258.9486,"3,962,921",262.3738,265.6887,258.8073
2022-04-01,257.5008,"3,331,435",259.6371,261.5792,253.9431
2022-04-04,255.3468,"3,337,324",257.9951,258.7279,254.5787
2022-04-05,253.6871,"2,771,125",254.3227,257.2889,252.5042
2022-04-06,255.4174,"2,247,043",252.3674,256.565,249.1231
2022-04-07,264.5366,"2,518,818",254.8171,265.9756,254.2521
2022-04-08,264.21,"2,427,038",262.7799,267.5911,262.312
2022-04-11,256.9976,"2,027,424",261.2262,263.8216,255.3468
2022-04-12,247.8342,"2,612,075",256.3443,257.2006,246.4041
2022-04-13,250.465,"2,783,072",248.5052,251.5261,245.2035
2022-04-14,244.515,"3,094,759",251.7185,251.798,243.9323
2022-04-18,242.8288,"1,941,132",242.7582,244.3472,240.4894
2022-04-19,241.0897,"3,565,837",243.9853,245.3421,240.7984
2022-04-20,247.5164,"3,793,342",243.0495,250.7121,241.8136
2022-04-21,245.6273,"3,483,009",250.3414,255.1967,244.5767
2022-04-22,233.5507,"3,017,759",242.767,244.5856,233.3212
2022-04-25,229.9313,"4,322,524",229.0397,230.3049,223.3457
2022-04-26,221.5624,"3,287,586",227.5742,229.0573,221.1828
2022-04-27,222.7101,"2,851,998",223.6458,227.6007,221.7346
2022-04-28,226.8768,"4,352,291",225.7645,228.8719,222.5688
2022-04-29,221.6949,"3,225,216",225.3761,229.1677,221.2711
2022-05-02,221.1564,"3,221,250",220.8474,224.5198,217.0072
2022-05-03,219.3819,"2,717,541",221.5536,222.3878,218.3049
2022-05-04,226.5502,"2,894,785",217.7488,227.9891,217.2588
2022-05-05,222.3834,"2,297,103",226.1088,227.0181,219.6733
2022-05-06,220.0264,"2,122,445",219.4526,221.2623,215.6566
2022-05-09,211.3133,"3,971,075",216.1509,218.2608,209.839
2022-05-10,212.2667,"3,014,799",215.3741,216.5747,207.2701
2022-05-11,209.3181,"2,420,295",212.2755,214.5928,209.1239
2022-05-12,211.4722,"2,831,787",207.5967,212.6816,206.3149
2022-05-13,219.9822,"3,163,706",215.3476,221.3329,215.2946
2022-05-16,217.4928,"2,345,074",218.8346,220.5914,215.8243
2022-05-17,219.788,"2,940,686",222.251,224.0078,217.8856
2022-05-18,215.0474,"2,257,330",218.0489,219.766,214.2618
2022-05-19,220.0882,"2,393,624",214.456,221.3064,213.7762
2022-05-20,222.2863,"2,426,624",222.7983,224.6699,217.4751
