Date,Close,Volume,Open,High,Low
2014-12-09,92.94,"9,488,271",93.51,93.57,91.76
2014-12-10,91.63,"10,345,280",92.52,92.83,91.55
2014-12-11,91.75,"8,226,982",91.09,92.66,90.66
2014-12-12,91.49,"7,882,257",91.18,92.61,90.95
2014-12-15,90.9,"6,721,715",92.03,92.69,90.19
2014-12-16,90.17,"6,524,317",90.5,92.0,90.13
2014-12-17,91.38,"6,889,352",90.36,91.68,90.2
2014-12-18,92.61,"9,343,379",92.19,92.61,91.86
2014-12-19,92.89,"12,815,320",92.34,93.2,91.88
2014-12-22,94.2,"7,447,579",93.39,94.36,93.22
2014-12-23,94.69,"5,231,117",94.48,95.07,94.4
2014-12-24,94.42,"2,166,034",94.69,95.12,94.37
2014-12-26,95.03,"3,141,411",94.74,95.3142,94.52
2014-12-29,95.5,"3,579,713",94.74,95.93,94.686
2014-12-30,94.7,"3,489,747",95.21,95.5,94.5
2014-12-31,94.19,"4,795,675",95.13,95.52,94.03
2015-01-02,93.75,"5,856,561",94.91,95.28,92.8486
2015-01-05,92.38,"7,771,659",93.28,93.35,91.78
2015-01-06,91.89,"6,801,241",92.57,93.191,91.157
2015-01-07,92.83,"6,589,268",92.72,93.15,92.1
2015-01-08,93.79,"7,571,627",93.87,94.3,93.555
2015-01-09,94.25,"8,603,717",94.05,95.27,93.99
2015-01-12,94.46,"6,585,923",94.69,94.76,93.77
2015-01-13,95.19,"9,361,461",95.28,96.43,94.7
2015-01-14,94.23,"6,490,390",94.0,94.8,93.29
2015-01-15,94.35,"5,661,130",94.61,94.96,94.04
2015-01-16,95.18,"6,115,495",94.0,95.23,93.98
2015-01-20,94.74,"7,941,167",95.22,95.39,93.75
2015-01-21,94.17,"7,384,945",94.37,94.74,93.82
2015-01-22,95.15,"7,012,744",94.58,95.39,94.01
2015-01-23,94.72,"4,659,808",94.92,95.53,94.43
2015-01-26,94.97,"5,442,991",94.45,95.0,93.93
2015-01-27,93.97,"5,389,744",93.94,94.74,93.361
2015-01-28,92.67,"6,190,253",94.14,94.47,92.61
2015-01-29,93.22,"7,680,414",93.11,93.5,91.52
2015-01-30,90.96,"10,198,890",92.5,92.9375,90.83
2015-02-02,91.93,"9,371,810",91.3,92.05,90.06
2015-02-03,94.1,"12,018,780",92.43,94.11,92.19
2015-02-04,101.28,"32,626,440",99.39,101.94,98.82
2015-02-05,102.64,"14,083,320",100.76,102.84,100.51
2015-02-06,102.02,"8,531,190",102.67,102.99,101.65
2015-02-09,101.73,"5,461,976",101.8,102.5,101.45
2015-02-10,101.92,"5,722,393",101.96,102.19,101.18
2015-02-11,101.87,"5,867,727",102.01,102.02,101.07
2015-02-12,103.58,"6,809,119",102.16,103.85,101.7
2015-02-13,104.17,"5,171,023",103.73,104.405,103.43
2015-02-17,104.12,"4,758,784",104.23,104.45,103.57
2015-02-18,103.86,"3,759,993",103.4,104.33,103.4
2015-02-19,103.89,"5,094,079",104.0,104.08,103.55
2015-02-20,104.55,"5,188,241",103.86,104.69,102.7302
2015-02-23,104.99,"5,585,459",104.76,105.23,104.44
2015-02-24,104.67,"4,099,123",104.54,105.05,104.35
2015-02-25,105.57,"6,547,113",104.68,105.98,104.67
2015-02-26,104.56,"5,044,894",105.5,105.71,104.14
2015-02-27,104.08,"4,161,516",104.67,105.1396,103.96
2015-03-02,105.89,"5,626,445",104.35,105.98,104.35
2015-03-03,106.35,"4,671,924",105.78,106.64,105.21
2015-03-04,105.57,"4,972,667",105.86,106.0,104.78
2015-03-05,105.03,"3,954,010",105.54,105.81,104.87
2015-03-06,103.82,"5,703,904",104.67,105.0,103.49
2015-03-09,105.26,"4,867,293",103.94,105.42,103.82
2015-03-10,103.09,"6,463,888",104.27,104.35,103.09
2015-03-11,102.89,"4,817,815",103.51,103.9999,102.865
2015-03-12,107.17,"10,707,770",103.85,107.33,103.81
2015-03-13,106.44,"8,022,207",107.28,107.28,105.52
2015-03-16,107.37,"6,406,212",106.84,107.73,106.05
2015-03-17,106.96,"4,489,744",107.0,107.21,106.15
2015-03-18,107.97,"5,520,082",106.9,108.42,105.73
2015-03-19,107.37,"4,875,971",107.84,108.48,107.14
2015-03-20,108.43,"8,695,675",107.83,108.94,107.5
2015-03-23,108.22,"5,176,228",108.6,108.85,108.04
2015-03-24,107.11,"4,483,240",107.72,108.05,107.08
2015-03-25,105.0,"6,959,069",107.45,107.4599,105.0
2015-03-26,105.24,"5,913,206",104.47,105.82,104.1
2015-03-27,105.48,"5,324,934",105.2,106.45,104.88
2015-03-30,106.12,"3,830,623",106.06,106.945,106.05
2015-03-31,104.89,"5,701,369",105.6,106.32,104.89
2015-04-01,105.44,"6,115,577",105.43,106.0,104.25
2015-04-02,106.0,"3,651,511",105.49,106.24,104.863
2015-04-06,105.63,"4,153,718",105.31,106.57,105.04
2015-04-07,105.43,"4,694,040",105.8,106.41,105.4
2015-04-08,106.36,"4,274,095",105.23,106.69,105.16
2015-04-09,106.77,"3,924,308",106.51,107.0,105.88
2015-04-10,106.95,"3,251,107",106.73,107.1,106.41
2015-04-13,106.51,"4,201,375",107.07,107.9,106.47
2015-04-14,106.66,"5,387,803",106.41,107.3,106.11
2015-04-15,106.98,"4,307,788",106.92,107.43,106.86
2015-04-16,108.1,"6,368,301",107.15,108.3,106.9
2015-04-17,106.69,"9,175,411",107.8,107.8,106.04
2015-04-20,108.22,"8,092,453",107.83,108.5,107.32
2015-04-21,107.68,"4,579,530",108.93,108.99,107.58
2015-04-22,107.94,"4,059,472",108.02,108.25,106.97
2015-04-23,109.0,"5,982,354",107.96,109.9,107.61
2015-04-24,109.53,"6,353,424",109.53,110.48,109.19
2015-04-27,110.16,"8,472,561",111.5,111.66,110.07
2015-04-28,109.92,"7,312,886",110.75,111.1499,108.89
2015-04-29,109.81,"6,024,571",109.66,110.38,109.26
2015-04-30,108.72,"7,768,008",109.68,110.19,107.68
2015-05-01,110.52,"6,184,208",109.95,110.67,109.27
2015-05-04,111.03,"7,504,662",111.48,111.53,110.5
2015-05-05,110.81,"14,604,490",113.27,113.3,110.56
2015-05-06,109.72,"8,966,163",111.56,111.96,109.22
2015-05-07,109.26,"8,288,308",109.6,109.78,108.715
2015-05-08,110.11,"6,258,496",110.26,110.7,109.57
2015-05-11,108.6,"6,725,463",110.14,110.14,108.49
2015-05-12,109.24,"6,344,998",108.28,109.66,107.67
2015-05-13,109.19,"4,138,665",109.7,109.87,108.78
2015-05-14,109.93,"4,661,612",109.69,110.0,109.01
2015-05-15,110.3,"5,850,518",110.1,110.69,109.68
2015-05-18,110.33,"4,867,845",110.47,110.74,110.01
2015-05-19,110.56,"4,548,665",110.69,110.9899,110.4705
2015-05-20,110.2,"4,392,159",110.78,110.81,110.02
2015-05-21,110.39,"4,876,899",110.04,110.64,109.9
2015-05-22,110.26,"4,266,997",110.3,110.9,110.1203
2015-05-26,109.44,"5,969,963",110.17,110.85,108.76
2015-05-27,110.37,"3,981,831",109.51,110.61,109.3
2015-05-28,110.53,"3,391,765",110.11,110.54,109.6
2015-05-29,110.37,"5,259,879",110.33,110.52,109.41
2015-06-01,110.96,"6,768,430",111.48,111.77,110.55
2015-06-02,110.75,"4,423,732",110.92,111.25,110.02
2015-06-03,111.17,"4,509,305",111.28,111.82,110.5
2015-06-04,110.3,"5,742,572",110.95,111.25,109.99
2015-06-05,110.3,"4,321,929",110.3,110.77,109.8
2015-06-08,109.29,"6,067,543",110.03,110.24,109.21
2015-06-09,108.52,"7,710,358",109.35,109.41,107.65
2015-06-10,110.0,"5,128,304",108.9,110.25,108.73
2015-06-11,110.62,"5,035,933",110.01,110.96,110.01
2015-06-12,109.95,"4,009,630",110.33,110.53,109.54
2015-06-15,110.18,"5,742,193",109.27,110.41,108.93
2015-06-16,111.06,"3,846,183",110.35,111.29,109.9
2015-06-17,111.49,"4,732,237",111.2,111.94,110.88
2015-06-18,113.22,"6,927,312",111.83,113.55,111.58
2015-06-19,112.62,"9,529,096",112.83,113.48,112.4
2015-06-22,113.53,"5,901,612",113.4,114.47,113.274
2015-06-23,114.41,"6,002,005",113.93,114.52,113.72
2015-06-24,113.77,"5,631,692",114.3,114.56,113.71
2015-06-25,114.45,"6,209,460",114.62,115.275,114.39
2015-06-26,114.99,"9,508,900",114.97,115.18,114.41
2015-06-29,113.05,"7,609,057",114.16,115.19,113.0
2015-06-30,114.14,"6,941,615",113.93,114.86,113.55
2015-07-01,115.13,"5,435,171",114.95,115.25,114.34
2015-07-02,114.97,"5,544,373",115.38,115.67,114.45
2015-07-06,115.7,"5,873,060",114.47,115.86,114.27
2015-07-07,117.1,"8,355,856",116.42,117.19,114.86
2015-07-08,115.19,"7,855,384",116.5,116.68,115.11
2015-07-09,115.6,"7,014,257",116.83,117.21,115.51
2015-07-10,116.44,"7,020,048",117.05,117.43,115.67
2015-07-13,118.05,"7,593,150",117.75,118.3099,117.25
2015-07-14,117.85,"5,059,699",118.03,118.1399,117.7
