Date,Close,Volume,Open,High,Low
2014-12-09,26.6685,"37,337,020",26.107,26.7095,26.025
2014-12-10,26.303,"34,325,680",26.654,26.8165,26.278
2014-12-11,26.417,"32,127,620",26.39,26.696,26.355
2014-12-12,25.933,"39,653,320",26.1755,26.425,25.933
2014-12-15,25.69,"56,126,000",26.137,26.155,25.6635
2014-12-16,24.7695,"78,929,000",25.578,25.6525,24.45
2014-12-17,25.2445,"57,472,000",24.85,25.35,24.8405
2014-12-18,25.555,"58,218,400",25.6475,25.6935,25.235
2014-12-19,25.8175,"72,239,600",25.5755,25.886,25.3455
2014-12-22,26.2435,"54,444,200",25.804,26.323,25.804
2014-12-23,26.5295,"43,819,860",26.35,26.728,26.3145
2014-12-24,26.4385,"14,080,700",26.5255,26.588,26.351
2014-12-26,26.7015,"20,749,720",26.4385,26.7125,26.3655
2014-12-29,26.5165,"45,507,840",26.6095,26.774,26.5006
2014-12-30,26.521,"17,472,880",26.4045,26.5575,26.3565
2014-12-31,26.32,"27,342,200",26.5625,26.63,26.29
2015-01-02,26.2405,"28,896,180",26.4505,26.5635,26.205
2015-01-05,25.6935,"40,986,060",26.163,26.2165,25.653
2015-01-06,25.098,"57,689,580",25.75,25.8088,25.0525
2015-01-07,25.055,"41,075,000",25.35,25.3622,24.9825
2015-01-08,25.134,"66,838,700",24.8995,25.174,24.55
2015-01-09,24.8085,"41,274,860",25.238,25.246,24.7395
2015-01-12,24.6275,"46,345,560",24.747,24.7988,24.378
2015-01-13,24.809,"47,312,240",24.942,25.149,24.6195
2015-01-14,25.0435,"44,212,460",24.7325,25.1615,24.65
2015-01-15,25.0895,"54,200,440",25.2785,25.284,24.888
2015-01-16,25.404,"45,830,600",25.0005,25.4095,25.0
2015-01-20,25.345,"44,456,100",25.55,25.625,25.3008
2015-01-21,25.902,"45,189,540",25.3625,25.964,25.31
2015-01-22,26.7195,"53,243,080",26.074,26.8165,25.985
2015-01-23,26.9975,"45,441,960",26.7795,27.1085,26.65
2015-01-26,26.7605,"30,775,720",26.9265,26.95,26.4835
2015-01-27,25.9315,"37,946,940",26.4985,26.535,25.9095
2015-01-28,25.5,"33,541,660",26.139,26.1495,25.5
2015-01-29,25.533,"82,103,360",25.55,25.5545,25.06
2015-01-30,26.726,"111,778,080",25.793,26.9935,25.776
2015-02-02,26.424,"56,732,760",26.5865,26.65,25.9275
2015-02-03,26.462,"40,659,040",26.4,26.67,26.163
2015-02-04,26.138,"33,158,000",26.462,26.6336,26.0635
2015-02-05,26.379,"36,874,280",26.1895,26.425,26.1045
2015-02-06,26.55,"35,168,440",26.382,26.86,26.3205
2015-02-09,26.3915,"25,264,860",26.4,26.6,26.301
2015-02-10,26.847,"34,890,580",26.465,26.885,26.346
2015-02-11,26.7985,"27,446,840",26.765,26.9225,26.6689
2015-02-12,27.1465,"32,246,200",26.8625,27.241,26.7337
2015-02-13,27.4505,"37,534,400",27.1675,27.4955,27.1565
2015-02-17,27.142,"32,197,420",27.3415,27.5,27.0545
2015-02-18,26.985,"28,969,060",27.07,27.2745,26.8755
2015-02-19,27.1435,"19,732,460",26.902,27.1555,26.9005
2015-02-20,26.9475,"28,822,940",27.1565,27.1875,26.79
2015-02-23,26.5955,"29,060,980",26.8025,26.822,26.4705
2015-02-24,26.8045,"20,046,260",26.5,26.8395,26.4125
2015-02-25,27.1935,"36,403,980",26.795,27.311,26.7723
2015-02-26,27.774,"46,075,700",27.1605,27.807,27.075
2015-02-27,27.92,"48,043,820",27.712,28.2355,27.645
2015-03-02,28.567,"42,430,840",28.0265,28.6075,27.9375
2015-03-03,28.682,"33,932,620",28.5225,28.7695,28.326
2015-03-04,28.6685,"37,396,600",28.5935,28.8555,28.4005
2015-03-05,28.7665,"27,706,060",28.751,28.8955,28.6705
2015-03-06,28.3842,"32,954,040",28.744,28.834,28.338
2015-03-09,28.4425,"21,186,720",28.343,28.5135,28.1767
2015-03-10,27.7505,"35,708,760",28.2125,28.2425,27.7365
2015-03-11,27.559,"36,310,060",27.757,27.907,27.534
2015-03-12,27.7755,"27,713,140",27.6755,27.8185,27.523
2015-03-13,27.366,"33,952,040",27.675,27.92,27.211
2015-03-16,27.7255,"32,721,660",27.5475,27.8425,27.3
2015-03-17,27.542,"36,011,000",27.5855,27.69,27.4
2015-03-18,27.975,"42,511,920",27.625,27.989,27.35
2015-03-19,27.8995,"23,848,580",27.9695,28.04,27.8073
2015-03-20,28.018,"52,145,060",28.0825,28.086,27.9525
2015-03-23,27.9405,"32,783,720",28.0215,28.118,27.7915
2015-03-24,28.5095,"51,466,780",28.128,28.7295,28.0605
2015-03-25,27.9393,"42,885,360",28.525,28.613,27.937
2015-03-26,27.7585,"31,311,020",27.8795,27.945,27.5325
2015-03-27,27.417,"37,816,320",27.65,27.764,27.4065
2015-03-30,27.6015,"25,664,200",27.581,27.6735,27.4085
2015-03-31,27.4,"31,666,600",27.5,27.7355,27.336
2015-04-01,27.128,"39,026,380",27.43,27.557,26.975
2015-04-02,26.7765,"34,196,660",27.0425,27.0425,26.6923
2015-04-06,26.8383,"26,352,560",26.611,26.9205,26.4785
2015-04-07,26.851,"25,985,060",26.904,27.1345,26.8
2015-04-08,27.0805,"23,437,200",26.919,27.1925,26.919
2015-04-09,27.039,"31,036,620",27.0515,27.0975,26.7745
2015-04-10,27.0005,"28,102,720",27.1145,27.1145,26.8655
2015-04-13,26.9585,"32,814,820",26.9205,27.203,26.8655
2015-04-14,26.5195,"51,814,940",26.8125,26.8785,26.4046
2015-04-15,26.6265,"46,111,700",26.435,26.7365,26.161
2015-04-16,26.69,"25,873,800",26.495,26.7795,26.4805
2015-04-17,26.2025,"42,877,440",26.433,26.492,26.0505
2015-04-20,26.769,"33,499,160",26.28,26.8045,26.225
2015-04-21,26.6985,"36,774,380",26.8755,26.9695,26.6838
2015-04-22,26.9683,"31,659,120",26.72,27.054,26.5875
2015-04-23,27.35,"82,584,360",27.05,27.548,27.0115
2015-04-24,28.253,"98,320,160",28.305,28.557,27.8625
2015-04-27,27.7685,"47,813,920",28.1695,28.2975,27.66
2015-04-28,27.684,"29,814,700",27.732,27.801,27.5183
2015-04-29,27.454,"33,937,720",27.5235,27.684,27.3453
2015-04-30,26.867,"41,616,680",27.3935,27.4295,26.7525
2015-05-01,26.895,"35,161,700",26.9215,26.977,26.605
2015-05-04,27.039,"26,076,600",26.9265,27.2035,26.753
2015-05-05,26.54,"27,610,380",26.9105,26.987,26.5195
2015-05-06,26.211,"31,337,300",26.562,26.619,26.0543
2015-05-07,26.535,"30,879,720",26.1995,26.673,26.0875
2015-05-08,26.911,"30,543,620",26.8325,27.0575,26.8
2015-05-11,26.785,"18,089,300",26.9185,27.099,26.77
2015-05-12,26.452,"32,663,600",26.58,26.6604,26.263
2015-05-13,26.481,"25,060,100",26.528,26.7161,26.4327
2015-05-14,26.92,"28,020,100",26.6885,26.95,26.6205
2015-05-15,26.6925,"39,301,760",26.959,26.9637,26.519
2015-05-18,26.615,"40,022,340",26.6005,26.741,26.4425
2015-05-19,26.868,"39,280,740",26.699,27.033,26.652
2015-05-20,26.9635,"28,611,300",26.9245,27.146,26.6486
2015-05-21,27.1255,"29,228,620",26.8975,27.192,26.799
2015-05-22,27.0055,"23,501,300",27.0075,27.2095,26.9755
2015-05-26,26.616,"48,089,240",26.906,26.95,26.494
2015-05-27,26.9895,"30,495,660",26.64,27.0275,26.5855
2015-05-28,26.989,"20,595,280",26.9005,27.0305,26.8125
2015-05-29,26.6055,"51,808,900",26.8685,26.9315,26.5725
2015-06-01,26.6995,"38,005,140",26.8395,26.8395,26.488
2015-06-02,26.959,"38,734,420",26.6465,27.15,26.5665
2015-06-03,27.0155,"34,336,720",26.9955,27.175,26.8555
2015-06-04,26.835,"26,920,880",26.888,27.0295,26.716
2015-06-05,26.6665,"27,500,160",26.8175,26.86,26.626
2015-06-08,26.3415,"30,479,200",26.6655,26.706,26.312
2015-06-09,26.3345,"29,083,440",26.378,26.46,26.1505
2015-06-10,26.8345,"36,275,500",26.468,26.918,26.4675
2015-06-11,26.7305,"24,172,640",26.9213,26.949,26.651
2015-06-12,26.6165,"19,109,780",26.58,26.656,26.508
2015-06-15,26.36,"32,653,500",26.4,26.415,26.2
2015-06-16,26.4075,"21,434,560",26.42,26.482,26.278
2015-06-17,26.463,"25,382,260",26.4685,26.549,26.255
2015-06-18,26.8365,"36,649,000",26.55,26.9075,26.5395
2015-06-19,26.8345,"37,818,320",26.8605,26.9125,26.6505
2015-06-22,26.9095,"24,870,700",26.9795,27.187,26.8765
2015-06-23,27.024,"23,922,300",26.982,27.075,26.7625
2015-06-24,26.892,"25,731,520",27.0,27.0,26.783
2015-06-25,26.7615,"26,648,240",26.9435,27.045,26.7615
2015-06-26,26.5845,"42,172,580",26.863,26.888,26.5675
2015-06-29,26.076,"38,707,220",26.2505,26.4305,26.027
2015-06-30,26.0255,"44,685,680",26.301,26.3125,26.025
2015-07-01,26.092,"39,223,940",26.2365,26.2845,25.9115
2015-07-02,26.17,"24,715,460",26.054,26.2325,26.054
2015-07-06,26.143,"25,571,740",25.975,26.2625,25.95
2015-07-07,26.251,"31,913,440",26.1565,26.309,25.759
2015-07-08,25.8415,"25,867,440",26.0525,26.1367,25.8055
2015-07-09,26.034,"36,803,100",26.156,26.1885,26.0175
2015-07-10,26.5065,"39,099,020",26.3145,26.628,26.2775
2015-07-13,27.3275,"44,092,200",26.644,27.3555,26.62
2015-07-14,28.055,"64,625,680",27.338,28.2924,27.3355
2015-07-15,28.011,"35,645,280",28.0065,28.3251,27.8395
2015-07-16,28.9925,"91,194,240",28.256,29.034,28.25
2015-07-17,33.6465,"223,070,000",32.45,33.7234,32.25
2015-07-20,33.151,"117,141,840",32.962,33.444,32.6505
2015-07-21,33.115,"67,266,840",32.7605,33.65,32.715
2015-07-22,33.105,"74,156,360",33.0445,33.932,32.95
2015-07-23,32.214,"60,280,700",33.0635,33.1815,32.05
2015-07-24,31.178,"72,441,780",32.35,32.4085,31.126
2015-07-27,31.363,"53,476,020",31.05,31.715,31.025
2015-07-28,31.4,"34,273,680",31.6415,31.6415,31.1655
2015-07-29,31.5965,"31,462,920",31.44,31.668,31.1325
2015-07-30,31.6295,"29,445,720",31.5,31.761,31.1025
2015-07-31,31.2805,"34,105,720",31.569,31.6455,31.275
2015-08-03,31.5605,"26,028,780",31.267,31.6528,31.267
2015-08-04,31.4625,"29,737,160",31.421,31.7405,31.358
2015-08-05,32.189,"46,634,400",31.7165,32.393,31.658
2015-08-06,32.134,"31,443,000",32.25,32.269,31.6125
