Date,Close,Volume,Open,High,Low
2014-12-09,26.8055,"43,329,740",26.2938,26.8325,26.1705
2014-12-10,26.402,"46,301,400",26.795,26.968,26.3745
2014-12-11,26.6055,"41,425,380",26.5005,26.852,26.458
2014-12-12,26.0755,"47,407,140",26.372,26.612,26.073
2014-12-15,25.792,"52,362,260",26.188,26.2685,25.7699
2014-12-16,24.908,"86,860,140",25.68,25.779,24.8595
2014-12-17,25.3225,"72,730,200",24.993,25.4535,24.9555
2014-12-18,25.731,"77,466,340",25.7995,25.8125,25.328
2014-12-19,26.002,"96,083,660",25.8495,26.0405,25.443
2014-12-22,26.615,"66,312,640",26.0305,26.6485,26.0295
2014-12-23,26.9385,"57,543,860",26.7255,27.115,26.686
2014-12-24,26.8465,"14,756,960",26.941,27.0145,26.755
2014-12-26,27.076,"22,268,500",26.8465,27.1625,26.7745
2014-12-29,26.8655,"44,356,560",27.025,27.1965,26.858
2014-12-30,26.764,"20,933,720",26.748,26.892,26.6805
2014-12-31,26.533,"24,717,780",26.887,26.92,26.51
2015-01-02,26.4775,"26,505,420",26.63,26.79,26.394
2015-01-05,25.973,"41,082,400",26.3575,26.3995,25.8875
2015-01-06,25.332,"54,557,940",26.025,26.0605,25.2775
2015-01-07,25.2575,"46,901,240",25.5475,25.5745,25.1825
2015-01-08,25.3455,"73,236,320",25.0755,25.375,24.751
2015-01-09,25.036,"41,942,740",25.409,25.43,24.9325
2015-01-12,24.853,"57,106,960",24.962,25.014,24.5455
2015-01-13,25.09,"60,996,900",25.1285,25.43,24.863
2015-01-14,25.2965,"52,679,140",25.021,25.413,24.908
2015-01-15,25.2005,"51,079,560",25.4445,25.4875,25.1005
2015-01-16,25.5228,"49,653,500",25.1575,25.5425,25.1545
2015-01-20,25.497,"46,807,580",25.6385,25.7805,25.4685
2015-01-21,26.0195,"46,338,560",25.542,26.0926,25.4795
2015-01-22,26.865,"55,987,600",26.15,26.942,26.0955
2015-01-23,27.0975,"45,919,760",26.9015,27.2705,26.7875
2015-01-26,26.836,"30,925,020",27.075,27.075,26.6035
2015-01-27,26.0595,"39,125,840",26.57,26.639,26.0431
2015-01-28,25.6215,"35,684,740",26.25,26.2845,25.6175
2015-01-29,25.6615,"77,798,500",25.645,25.7595,25.174
2015-01-30,26.8775,"121,073,200",25.95,27.155,25.909
2015-02-02,26.61,"75,306,740",26.716,26.825,26.086
2015-02-03,26.665,"47,048,740",26.497,26.8725,26.3405
2015-02-04,26.305,"33,850,620",26.657,26.8373,26.2515
2015-02-05,26.4915,"33,171,140",26.3965,26.5345,26.282
2015-02-06,26.6938,"42,894,460",26.5505,27.0108,26.4325
2015-02-09,26.464,"30,276,200",26.553,26.694,26.3775
2015-02-10,27.008,"47,351,440",26.6075,27.05,26.4586
2015-02-11,26.9,"38,281,860",26.9865,27.0975,26.8
2015-02-12,27.3005,"48,545,100",26.983,27.417,26.85
2015-02-13,27.558,"45,973,200",27.3755,27.627,27.33
2015-02-17,27.2505,"39,150,320",27.558,27.65,27.163
2015-02-18,27.1325,"29,240,300",27.191,27.3775,26.9775
2015-02-19,27.3225,"30,833,280",27.1235,27.343,27.0375
2015-02-20,27.09,"38,233,220",27.379,27.379,26.905
2015-02-23,26.75,"32,850,580",26.95,26.965,26.6
2015-02-24,26.9325,"28,427,260",26.5775,26.97,26.55
2015-02-25,27.3665,"40,825,000",26.922,27.4785,26.9005
2015-02-26,27.9645,"54,014,680",27.287,28.0065,27.2545
2015-02-27,28.1315,"68,293,440",27.9075,28.471,27.8515
2015-03-02,28.751,"50,313,980",28.35,28.7995,28.1575
2015-03-03,28.9398,"50,520,380",28.8175,29.0425,28.525
2015-03-04,28.9165,"37,951,320",28.8485,29.0815,28.626
2015-03-05,29.0717,"35,902,340",28.981,29.16,28.9115
2015-03-06,28.645,"37,556,840",29.1,29.139,28.603
2015-03-09,28.705,"23,482,960",28.546,28.7725,28.4525
2015-03-10,27.9925,"40,059,700",28.4238,28.4881,27.991
2015-03-11,27.7845,"40,506,820",27.99,28.209,27.7705
2015-03-12,28.0585,"35,592,700",27.924,28.092,27.7765
2015-03-13,27.65,"35,389,640",27.9615,28.218,27.5165
2015-03-16,28.082,"36,818,620",27.8465,28.1875,27.566
2015-03-17,27.8805,"28,879,820",27.9145,28.032,27.7205
2015-03-18,28.308,"35,243,380",27.8865,28.3255,27.675
2015-03-19,28.1835,"24,606,960",28.226,28.348,28.106
2015-03-20,28.2475,"44,255,280",28.3355,28.355,28.224
2015-03-23,28.2685,"30,033,220",28.3,28.482,28.153
2015-03-24,28.877,"79,040,060",28.427,29.094,28.4045
2015-03-25,28.35,"53,055,560",28.8785,29.0035,28.35
2015-03-26,28.182,"49,788,140",28.2325,28.3595,27.9155
2015-03-27,27.8775,"34,515,600",28.0915,28.2033,27.8465
2015-03-30,28.0568,"24,779,000",28.0125,28.108,27.8395
2015-03-31,27.735,"34,924,460",27.897,28.1225,27.7335
2015-04-01,27.4745,"38,728,640",27.7415,27.925,27.3015
2015-04-02,27.0655,"47,744,580",27.3705,27.4,27.022
2015-04-06,27.1975,"33,688,900",26.942,27.277,26.785
2015-04-07,27.243,"27,318,120",27.2495,27.508,27.1793
2015-04-08,27.442,"28,385,820",27.3,27.575,27.3
2015-04-09,27.401,"32,355,700",27.4605,27.4685,27.0976
2015-04-10,27.427,"26,103,940",27.4785,27.4925,27.249
2015-04-13,27.432,"29,325,540",27.3525,27.6635,27.315
2015-04-14,26.989,"47,151,720",27.3285,27.3285,26.787
2015-04-15,27.052,"46,913,640",26.898,27.1595,26.6185
2015-04-16,27.176,"31,655,540",26.9175,27.2615,26.905
2015-04-17,26.637,"49,175,400",26.8655,26.99,26.45
2015-04-20,27.2265,"38,507,540",26.6875,27.29,26.6675
2015-04-21,27.1462,"29,121,480",27.3155,27.3887,27.1105
2015-04-22,27.459,"31,767,060",27.153,27.55,27.066
2015-04-23,27.873,"76,643,100",27.5205,28.0585,27.504
2015-04-24,28.683,"92,162,340",29.0025,29.235,28.4175
2015-04-27,28.306,"47,973,140",28.6385,28.776,28.115
2015-04-28,28.2185,"37,195,000",28.216,28.3915,28.048
2015-04-29,28.0695,"33,617,840",28.0255,28.292,27.95
2015-04-30,27.4385,"47,187,140",27.928,28.0555,27.336
2015-05-01,27.558,"34,615,160",27.5255,27.561,27.1925
2015-05-04,27.642,"35,016,100",27.5495,27.8345,27.3695
2015-05-05,27.1522,"28,457,240",27.508,27.6305,27.1185
2015-05-06,26.754,"38,974,820",27.132,27.1965,26.6118
2015-05-07,27.102,"31,800,060",26.795,27.26,26.6725
2015-05-08,27.4475,"28,220,940",27.4435,27.64,27.4015
2015-05-11,27.289,"21,830,060",27.4245,27.6685,27.28
2015-05-12,26.9365,"35,253,060",27.1405,27.1481,26.75
2015-05-13,26.9745,"24,232,600",27.0235,27.192,26.949
2015-05-14,27.46,"31,663,640",27.1985,27.4845,27.125
2015-05-15,27.3245,"33,380,560",27.5195,27.53,27.125
2015-05-18,27.3335,"26,677,900",27.191,27.417,27.1125
2015-05-19,27.464,"47,090,900",27.4,27.67,27.356
2015-05-20,27.6255,"30,809,860",27.546,27.8033,27.255
2015-05-21,27.8405,"34,143,020",27.51,27.8805,27.4651
2015-05-22,27.726,"24,189,920",27.723,27.912,27.681
2015-05-26,27.3595,"37,329,160",27.629,27.6665,27.1485
2015-05-27,27.7125,"34,841,240",27.434,27.7645,27.3291
2015-05-28,27.709,"23,546,360",27.6895,27.788,27.54
2015-05-29,27.266,"43,160,220",27.66,27.697,27.252
2015-06-01,27.4605,"33,064,900",27.4365,27.5285,27.179
2015-06-02,27.6975,"31,851,500",27.3715,27.9395,27.3275
2015-06-03,27.7645,"26,669,300",27.755,27.8995,27.6075
2015-06-04,27.5845,"26,325,580",27.609,27.798,27.456
2015-06-05,27.4765,"24,372,680",27.6,27.6665,27.3692
2015-06-08,27.174,"27,322,160",27.4805,27.4935,27.1475
2015-06-09,27.108,"29,930,860",27.171,27.242,26.9425
2015-06-10,27.63,"30,251,440",27.285,27.739,27.2555
2015-06-11,27.502,"25,753,100",27.7245,27.7415,27.4585
2015-06-12,27.3735,"25,442,240",27.3575,27.4425,27.2815
2015-06-15,27.15,"27,148,120",27.1365,27.2025,26.9605
2015-06-16,27.2435,"32,509,240",27.224,27.3345,27.0786
2015-06-17,27.33,"24,321,340",27.271,27.418,27.0905
2015-06-18,27.809,"41,174,040",27.4,27.8625,27.4
