Date,Close,Volume,Open,High,Low
2014-12-09,196.89,"4,560,196",193.69,197.22,192.9
2014-12-10,192.0,"6,506,195",195.48,195.99,191.6
2014-12-11,193.54,"3,170,755",193.0,194.94,192.5
2014-12-12,188.82,"3,762,459",191.71,192.635,188.07
2014-12-15,185.54,"4,608,744",190.24,190.81,185.41
2014-12-16,183.31,"4,137,700",183.96,186.93,182.4
2014-12-17,185.03,"4,978,528",184.11,186.5,183.63
2014-12-18,191.61,"4,119,506",188.0,191.66,187.81
2014-12-19,193.28,"4,747,903",192.26,195.0,192.03
2014-12-22,194.44,"3,046,232",193.92,194.5,192.762
2014-12-23,195.5,"2,346,066",195.34,196.1,194.73
2014-12-24,195.89,"697,700",196.61,196.75,195.01
2014-12-26,195.45,"1,016,252",196.09,196.49,195.4
2014-12-29,196.19,"1,229,873",195.57,196.96,194.82
2014-12-30,195.71,"1,131,714",195.5,196.5,194.577
2014-12-31,193.83,"1,562,270",196.65,196.83,193.77
2015-01-02,194.41,"1,865,195",195.3,195.73,192.7001
2015-01-05,188.34,"3,416,343",193.06,194.04,187.48
2015-01-06,184.53,"3,430,659",188.3,188.659,183.93
2015-01-07,187.28,"1,896,444",186.85,187.99,185.77
2015-01-08,190.27,"1,952,919",189.35,190.82,189.25
2015-01-09,187.35,"1,973,491",190.48,191.31,186.96
2015-01-12,185.07,"2,080,174",187.36,187.53,184.11
2015-01-13,184.93,"2,745,032",186.58,189.375,183.37
2015-01-14,180.23,"5,118,043",181.18,182.51,178.1
2015-01-15,178.49,"3,135,632",180.18,181.6,177.5
2015-01-16,177.23,"5,123,000",176.73,180.1,174.06
2015-01-20,175.63,"3,607,021",177.57,178.33,174.23
2015-01-21,177.15,"3,720,699",174.55,178.39,172.82
2015-01-22,182.04,"6,214,745",178.81,182.59,177.25
2015-01-23,180.49,"3,107,324",181.43,182.98,180.42
2015-01-26,180.42,"2,736,479",178.72,180.99,178.06
2015-01-27,176.49,"3,334,545",177.24,178.64,176.3
2015-01-28,173.05,"3,008,983",177.73,177.97,172.97
2015-01-29,175.99,"2,406,161",173.18,176.3,173.07
2015-01-30,172.41,"3,022,391",174.13,175.69,172.32
2015-02-02,175.49,"2,956,774",172.99,175.6,172.26
2015-02-03,180.24,"3,749,500",176.01,180.48,175.91
2015-02-04,178.78,"2,967,431",178.72,180.71,178.53
2015-02-05,180.77,"2,425,600",179.44,181.6,179.23
2015-02-06,183.43,"3,247,286",182.05,184.62,181.14
2015-02-09,182.22,"2,388,879",181.69,182.95,181.15
2015-02-10,184.56,"2,556,334",183.35,184.8,182.35
2015-02-11,187.65,"4,074,027",184.07,188.19,183.75
2015-02-12,189.78,"3,060,868",188.25,190.0,187.4
2015-02-13,189.0,"2,703,086",189.87,191.33,188.34
2015-02-17,190.02,"2,103,078",188.78,190.63,188.31
2015-02-18,188.67,"1,850,021",189.54,190.035,187.82
2015-02-19,189.11,"1,470,272",187.68,189.85,187.27
2015-02-20,191.51,"2,311,189",188.35,191.64,187.05
2015-02-23,190.31,"1,665,754",190.74,190.74,189.27
2015-02-24,192.22,"2,610,095",190.03,193.28,189.68
2015-02-25,191.72,"2,767,098",191.55,192.45,190.46
2015-02-26,192.2,"2,443,990",190.51,192.47,190.0
2015-02-27,189.79,"2,542,822",191.19,192.5,189.79
2015-03-02,191.79,"1,649,847",190.0,191.92,189.78
2015-03-03,191.27,"1,487,567",190.7,192.87,190.57
2015-03-04,189.67,"1,631,613",190.35,190.82,188.98
2015-03-05,190.08,"1,325,389",190.13,190.72,189.07
2015-03-06,186.91,"4,103,533",187.58,191.4,186.58
2015-03-09,187.93,"2,233,639",187.3,188.79,186.57
2015-03-10,182.71,"2,756,629",185.59,186.14,182.71
2015-03-11,184.18,"2,054,154",183.3,185.84,183.01
2015-03-12,189.95,"3,114,352",185.94,190.0,185.94
2015-03-13,189.34,"3,085,881",188.87,189.74,186.16
2015-03-16,191.9,"2,127,659",190.04,192.49,189.9
2015-03-17,190.57,"1,880,463",190.97,191.24,188.8
2015-03-18,192.32,"2,788,375",189.67,193.04,189.2
2015-03-19,189.97,"2,092,145",191.76,191.76,189.09
2015-03-20,193.13,"3,464,541",190.47,193.918,189.9
2015-03-23,191.96,"1,586,512",193.27,194.25,191.96
2015-03-24,191.28,"1,787,931",191.94,192.51,191.16
2015-03-25,187.35,"2,541,159",191.08,191.23,187.35
2015-03-26,187.24,"2,363,394",186.52,187.97,185.02
2015-03-27,188.06,"1,533,839",187.19,188.48,186.27
2015-03-30,191.02,"2,401,616",189.24,192.0,189.19
2015-03-31,187.97,"2,144,431",190.34,190.55,187.97
2015-04-01,192.23,"4,027,180",187.94,192.33,186.96
2015-04-02,191.55,"2,296,301",191.73,192.73,190.85
2015-04-06,192.05,"1,984,842",190.18,192.64,188.95
2015-04-07,192.39,"1,777,983",192.52,193.64,192.24
2015-04-08,192.56,"1,988,951",193.04,193.85,192.2
2015-04-09,194.89,"1,975,662",192.86,195.09,192.41
2015-04-10,195.64,"1,755,954",194.65,195.86,194.09
2015-04-13,195.58,"2,191,979",195.32,197.38,194.77
2015-04-14,197.72,"3,264,238",196.98,198.49,195.71
2015-04-15,201.1,"5,043,636",198.21,202.14,197.39
2015-04-16,200.21,"5,968,878",202.7,202.87,198.7
2015-04-17,197.35,"4,577,698",197.84,198.25,195.65
2015-04-20,198.1,"2,616,515",199.07,199.6,197.92
2015-04-21,196.84,"1,859,343",198.97,199.5,196.58
2015-04-22,198.32,"1,938,116",197.91,199.1596,196.57
2015-04-23,199.31,"2,043,846",198.16,200.49,197.6
2015-04-24,197.99,"1,438,549",199.0,199.1,197.45
2015-04-27,196.52,"1,758,712",198.76,199.31,196.37
2015-04-28,197.49,"1,902,770",196.2,197.609,194.4
2015-04-29,198.56,"2,471,090",195.79,199.73,195.48
2015-04-30,196.42,"2,717,033",198.4,199.75,195.4
2015-05-01,197.53,"2,029,500",198.45,198.57,196.83
2015-05-04,199.3,"1,574,241",198.26,199.72,197.9
2015-05-05,197.29,"2,286,553",198.31,200.39,196.72
2015-05-06,196.25,"2,430,227",197.75,198.59,194.01
2015-05-07,197.39,"1,772,213",196.26,197.95,194.81
2015-05-08,200.5,"3,191,257",199.1,201.34,199.1
2015-05-11,201.73,"1,953,779",200.29,201.9499,200.29
2015-05-12,200.53,"2,231,103",200.48,201.04,198.07
2015-05-13,201.43,"2,143,123",200.47,201.75,199.85
2015-05-14,202.62,"1,956,448",202.33,202.88,201.43
2015-05-15,202.97,"1,737,787",202.55,202.97,201.815
2015-05-18,204.66,"2,154,575",202.65,205.18,202.64
