Date,Close,Volume,Open,High,Low
2014-12-09,99.64,"5,280,581",99.69,99.98,98.5856
2014-12-10,98.94,"5,356,939",99.36,100.23,98.82
2014-12-11,100.27,"6,863,672",99.28,101.4,99.15
2014-12-12,99.78,"5,985,138",99.69,101.25,99.39
2014-12-15,100.05,"5,476,127",100.01,101.24,99.29
2014-12-16,97.06,"7,831,414",99.38,100.232,96.99
2014-12-17,98.94,"6,091,737",97.59,99.14,97.09
2014-12-18,100.67,"6,585,262",100.34,100.69,99.3
2014-12-19,101.93,"12,489,180",100.92,102.0,100.81
2014-12-22,103.5,"5,383,382",102.25,103.57,102.23
2014-12-23,103.76,"4,067,319",103.66,104.2,103.32
2014-12-24,103.56,"1,819,047",104.05,104.3792,103.56
2014-12-26,103.75,"2,594,775",103.98,104.3202,103.48
2014-12-29,104.53,"3,488,956",103.58,104.8,103.261
2014-12-30,104.27,"2,924,470",104.44,104.74,103.85
2014-12-31,104.97,"5,821,181",104.75,106.02,104.56
2015-01-02,103.43,"4,324,195",105.16,105.6548,102.67
2015-01-05,101.26,"5,878,149",102.78,102.78,100.79
2015-01-06,100.95,"4,912,939",102.07,102.07,100.34
2015-01-07,104.41,"5,089,901",102.29,104.47,101.995
2015-01-08,106.72,"6,467,399",105.37,106.99,105.02
2015-01-09,104.89,"5,717,459",106.88,106.88,104.82
2015-01-12,104.42,"4,992,830",105.17,105.29,104.06
2015-01-13,103.73,"5,394,401",105.41,106.04,103.15
2015-01-14,102.64,"5,384,438",102.42,103.41,101.88
2015-01-15,101.01,"6,894,309",103.32,103.65,100.82
2015-01-16,104.12,"6,403,231",100.86,104.31,100.24
2015-01-20,103.25,"5,335,516",104.84,104.95,102.35
2015-01-21,103.53,"5,899,195",103.05,104.06,102.5
2015-01-22,106.07,"5,801,770",104.38,106.31,103.54
2015-01-23,105.37,"4,075,836",106.21,106.48,105.31
2015-01-26,106.36,"4,191,684",105.36,106.5,105.06
2015-01-27,105.16,"4,605,380",104.78,105.8137,104.4
2015-01-28,104.74,"4,917,293",105.31,107.43,104.6
2015-01-29,107.62,"6,529,239",105.14,107.74,104.51
2015-01-30,104.42,"6,998,219",106.36,106.86,104.38
