Date,Close,Volume,Open,High,Low
2014-12-09,36.89,"28,472,500",36.67,37.09,36.3
2014-12-10,36.42,"27,485,040",36.93,37.02,36.3
2014-12-11,36.7,"25,088,160",36.5,37.21,36.44
2014-12-12,36.225,"29,295,780",36.45,36.82,36.22
2014-12-15,35.92,"30,599,620",36.39,36.783,35.9
2014-12-16,35.56,"30,978,640",35.86,36.5,35.56
2014-12-17,36.24,"31,596,790",35.62,36.33,35.33
2014-12-18,37.02,"32,069,660",36.75,37.02,36.43
2014-12-19,36.37,"76,721,940",37.02,37.16,36.23
2014-12-22,37.21,"29,193,180",36.39,37.26,36.39
2014-12-23,37.43,"22,169,110",37.4,37.7,37.3
2014-12-24,37.44,"12,109,120",37.47,37.6,37.18
2014-12-26,37.55,"14,031,880",37.52,37.7418,37.52
2014-12-29,37.18,"12,182,100",37.45,37.52,37.17
2014-12-30,36.76,"15,200,480",37.08,37.19,36.76
2014-12-31,36.29,"20,372,670",36.63,37.04,36.29
2015-01-02,36.36,"23,600,790",36.67,37.16,36.11
2015-01-05,35.95,"32,624,380",36.2,36.45,35.94
2015-01-06,35.28,"30,783,840",36.08,36.23,35.26
2015-01-07,36.02,"27,680,270",35.64,36.07,35.27
2015-01-08,36.69,"31,743,470",36.37,37.0,36.26
2015-01-09,36.76,"22,846,060",36.77,37.11,36.4
2015-01-12,36.6,"29,391,740",36.9,37.0,36.23
2015-01-13,36.5,"31,404,100",36.87,37.489,36.29
2015-01-14,36.35,"34,243,300",36.33,36.91,35.91
2015-01-15,36.19,"46,721,140",36.525,36.88,36.03
2015-01-16,36.45,"62,794,320",36.12,36.66,35.51
2015-01-20,36.09,"35,895,910",36.1,36.46,35.565
2015-01-21,36.48,"27,428,740",35.85,36.68,35.77
2015-01-22,36.91,"31,794,170",36.56,37.0,36.14
2015-01-23,36.445,"27,425,680",36.96,37.03,36.38
2015-01-26,35.805,"30,844,460",36.185,36.3,35.57
2015-01-27,34.185,"58,445,100",34.4,34.72,33.55
2015-01-28,33.775,"34,876,320",34.47,34.7,33.72
2015-01-29,34.21,"29,539,210",33.84,34.28,33.46
2015-01-30,33.04,"38,653,900",33.7,33.985,33.0
2015-02-02,33.65,"38,702,580",33.06,33.75,32.65
2015-02-03,33.7,"36,032,220",33.78,34.05,32.612
2015-02-04,33.6,"25,051,020",33.67,33.8352,33.3
2015-02-05,33.94,"20,478,440",33.68,33.99,33.4499
