Date,Close,Volume,Open,High,Low
2014-12-09,108.05,"7,200,268",108.22,108.47,106.89
2014-12-10,106.24,"9,416,012",107.61,107.96,106.15
2014-12-11,106.72,"7,114,625",105.85,107.305,105.36
2014-12-12,104.43,"8,326,941",106.65,106.87,104.39
2014-12-15,103.96,"12,098,190",104.77,105.06,103.63
2014-12-16,102.76,"10,212,040",103.48,105.21,102.5
2014-12-17,104.07,"10,199,340",103.27,104.49,102.7
2014-12-18,106.81,"11,732,160",105.62,106.82,104.74
2014-12-19,105.55,"19,144,960",106.63,107.39,105.5
2014-12-22,106.74,"8,118,626",105.69,106.83,105.67
2014-12-23,104.28,"10,180,780",106.66,106.91,103.92
2014-12-24,104.59,"3,420,184",104.38,105.33,104.38
2014-12-26,105.06,"2,950,901",105.07,105.69,104.69
2014-12-29,105.33,"4,273,424",104.64,105.69,104.61
2014-12-30,105.36,"4,371,675",105.42,105.8,105.06
2014-12-31,104.57,"6,196,822",105.61,106.11,104.54
2015-01-02,104.52,"5,755,231",105.05,105.55,104.13
2015-01-05,103.79,"8,076,175",104.48,104.73,103.682
2015-01-06,103.28,"7,427,352",104.34,104.99,102.94
2015-01-07,105.56,"7,925,385",103.91,105.83,103.81
2015-01-08,106.39,"9,923,009",106.06,106.49,105.75
2015-01-09,104.94,"7,360,742",106.5,106.5,104.75
2015-01-12,104.58,"6,838,916",105.17,105.82,104.3
2015-01-13,104.76,"10,154,740",105.44,106.33,104.24
2015-01-14,104.0,"8,885,982",103.86,104.43,103.51
2015-01-15,102.49,"10,834,110",102.97,103.93,101.95
2015-01-16,104.04,"14,088,620",102.06,104.62,102.0
2015-01-20,101.29,"20,465,480",101.55,102.05,100.26
2015-01-21,101.9,"11,702,100",100.56,102.1,100.4
2015-01-22,103.76,"9,032,598",102.39,103.83,101.57
2015-01-23,102.2,"10,119,020",102.94,102.97,101.9397
2015-01-26,102.26,"8,962,530",101.8,102.45,101.21
2015-01-27,102.09,"10,159,820",101.83,102.7671,100.93
2015-01-28,101.48,"9,049,385",102.48,102.93,101.44
2015-01-29,102.38,"7,561,790",101.51,102.46,100.67
2015-01-30,100.14,"10,671,870",101.58,102.0,100.09
2015-02-02,100.83,"8,990,048",100.49,100.85,99.38
2015-02-03,102.46,"10,001,290",101.4,102.56,101.12
2015-02-04,101.36,"9,509,099",102.12,102.45,101.02
2015-02-05,102.46,"6,635,148",101.57,102.56,101.46
2015-02-06,101.1,"9,215,593",102.11,102.45,100.83
2015-02-09,99.78,"9,848,186",101.06,101.06,99.1
2015-02-10,100.35,"12,269,380",100.19,100.7,99.425
2015-02-11,100.38,"8,176,113",100.46,100.79,99.95
2015-02-12,98.44,"25,821,440",100.5,100.54,97.15
