Date,Close,Volume,Open,High,Low
2014-12-09,62.45,"19,648,230",61.85,62.85,61.56
2014-12-10,60.68,"29,616,590",62.16,62.24,60.37
2014-12-11,61.14,"16,884,100",61.17,62.06,61.11
2014-12-12,60.04,"17,391,300",60.53,61.22,59.96
2014-12-15,59.16,"19,106,570",60.74,60.81,58.79
2014-12-16,58.43,"20,670,650",58.42,59.86,58.11
2014-12-17,59.77,"17,824,230",58.57,59.83,58.34
2014-12-18,61.48,"18,130,220",60.64,61.48,60.44
2014-12-19,61.93,"22,750,900",61.4,62.35,61.37
2014-12-22,61.94,"17,063,860",62.16,62.33,61.61
2014-12-23,62.48,"13,552,520",62.05,62.97,61.93
2014-12-24,62.48,"7,419,342",62.74,62.87,62.27
2014-12-26,62.55,"6,086,519",62.67,62.89,62.41
2014-12-29,62.96,"10,592,010",62.42,63.34,62.25
2014-12-30,63.15,"7,513,109",62.72,63.28,62.57
2014-12-31,62.58,"18,528,920",63.3,63.49,62.58
2015-01-02,62.49,"12,597,290",62.62,62.96,62.07
2015-01-05,60.55,"20,052,990",62.06,62.28,60.23
2015-01-06,58.98,"29,046,090",60.64,60.75,58.35
2015-01-07,59.07,"23,833,890",59.89,59.89,58.665
2015-01-08,60.39,"16,955,120",59.97,60.9,59.97
2015-01-09,59.34,"15,387,500",60.72,60.79,59.29
2015-01-12,58.83,"15,435,470",59.28,59.4,58.27
2015-01-13,58.84,"21,638,210",59.26,59.7,58.37
2015-01-14,56.81,"49,422,820",56.91,57.0,55.27
2015-01-15,54.99,"42,392,700",55.73,56.61,54.5
2015-01-16,55.93,"29,366,890",54.66,56.0,54.64
2015-01-20,55.71,"23,359,410",56.04,56.39,55.4232
2015-01-21,55.89,"21,761,380",55.45,56.42,55.19
2015-01-22,57.59,"31,385,970",56.38,57.73,55.955
2015-01-23,56.68,"15,456,310",57.72,57.87,56.66
2015-01-26,56.77,"12,572,360",56.41,56.99,56.2
2015-01-27,56.2,"15,218,900",56.05,56.61,55.755
2015-01-28,54.75,"23,650,700",56.62,56.68,54.75
2015-01-29,55.67,"20,363,380",55.27,55.89,54.68
2015-01-30,54.38,"26,896,170",54.99,55.495,54.37
2015-02-02,55.47,"20,300,020",54.53,55.65,54.27
2015-02-03,56.72,"18,796,480",55.91,56.78,55.87
2015-02-04,56.38,"14,925,860",56.32,57.07,56.28
2015-02-05,56.77,"11,284,310",56.86,57.04,56.46
2015-02-06,57.89,"25,156,520",57.75,58.73,57.54
