Date,Close,Volume,Open,High,Low
2014-12-09,42.04,"25,666,880",42.15,42.531,41.67
2014-12-10,41.6,"18,322,860",42.04,42.24,41.56
2014-12-11,41.53,"16,189,290",41.62,42.01,41.5
2014-12-12,40.91,"18,412,670",41.39,41.61,40.87
2014-12-15,40.57,"23,377,880",41.13,41.18,40.56
2014-12-16,40.39,"23,462,910",40.2,41.31,39.8
2014-12-17,41.55,"20,177,240",40.44,41.76,40.38
2014-12-18,42.39,"17,985,150",41.86,42.39,41.75
2014-12-19,41.95,"23,987,420",42.44,42.79,41.89
2014-12-22,42.35,"11,190,860",42.14,42.44,42.09
2014-12-23,42.97,"13,411,010",42.54,43.14,42.47
2014-12-24,42.94,"6,405,910",43.1,43.23,42.92
2014-12-26,42.96,"6,466,583",42.97,43.3,42.93
2014-12-29,42.86,"8,683,587",42.8,43.06,42.49
2014-12-30,42.76,"9,161,828",42.74,42.99,42.651
2014-12-31,42.22,"9,361,342",42.92,42.94,42.22
2015-01-02,42.14,"9,919,751",42.26,42.4,41.8
2015-01-05,42.14,"26,268,100",42.69,42.97,42.08
2015-01-06,42.46,"16,889,420",42.41,42.94,42.24
2015-01-07,42.99,"13,399,460",42.8,43.11,42.58
2015-01-08,43.51,"21,743,630",43.18,43.57,43.1
2015-01-09,43.03,"12,622,280",43.47,43.56,42.95
2015-01-12,42.64,"11,415,010",43.07,43.195,42.46
2015-01-13,42.63,"12,521,890",42.83,43.24,42.452
2015-01-14,42.56,"13,447,650",42.08,42.6,42.07
2015-01-15,42.38,"11,192,960",42.83,42.86,42.17
2015-01-16,42.53,"15,114,870",42.36,42.59,42.24
2015-01-20,43.16,"16,090,430",42.7,43.325,42.61
2015-01-21,43.36,"10,642,350",42.89,43.43,42.76
2015-01-22,43.78,"14,709,110",43.37,43.83,43.0744
2015-01-23,43.31,"12,349,930",43.6,43.75,43.18
2015-01-26,43.0,"11,151,770",43.18,43.23,42.83
2015-01-27,42.39,"15,273,910",42.54,42.64,42.15
2015-01-28,41.92,"14,248,850",42.59,42.795,41.9
2015-01-29,42.1,"13,639,000",41.77,42.15,41.47
2015-01-30,41.17,"19,170,300",41.83,41.93,41.11
2015-02-02,41.59,"15,186,990",41.21,41.63,40.9
2015-02-03,41.63,"13,166,400",41.75,41.85,41.37
2015-02-04,41.68,"16,399,460",41.77,42.09,41.62
2015-02-05,41.79,"11,054,370",41.8,41.82,41.51
2015-02-06,41.45,"12,338,670",41.63,41.76,41.32
2015-02-09,41.23,"13,359,760",41.38,41.45,41.04
2015-02-10,42.4,"31,839,220",42.91,43.03,42.2
2015-02-11,42.37,"20,445,900",42.1,42.49,41.7
2015-02-12,42.17,"13,815,680",42.4,42.66,42.07
2015-02-13,41.99,"10,779,180",42.02,42.23,41.76
2015-02-17,41.81,"12,794,220",41.81,41.88,41.64
2015-02-18,41.73,"9,789,665",41.75,41.8,41.47
2015-02-19,42.11,"16,570,990",41.68,42.24,41.53
2015-02-20,41.97,"15,981,880",42.04,42.11,41.64
2015-02-23,41.85,"11,830,340",41.71,42.17,41.69
2015-02-24,42.13,"12,782,660",41.85,42.33,41.77
2015-02-25,42.05,"10,235,710",42.17,42.24,41.74
2015-02-26,42.46,"14,344,290",42.04,42.55,41.97
2015-02-27,43.3,"28,248,540",42.52,43.66,42.47
2015-03-02,43.2,"13,505,790",43.12,43.28,43.08
2015-03-03,42.95,"10,028,210",43.11,43.16,42.84
2015-03-04,42.5,"16,251,690",42.92,42.98,42.47
2015-03-05,42.4,"9,209,212",42.56,42.605,42.25
2015-03-06,41.52,"18,180,300",42.12,42.2,41.33
2015-03-09,41.39,"10,120,810",41.53,41.55,41.32
2015-03-10,40.69,"14,595,880",41.1,41.15,40.68
2015-03-11,40.1,"18,533,940",40.73,40.73,40.08
2015-03-12,40.57,"17,727,370",40.1,40.57,40.02
2015-03-13,39.91,"17,368,250",40.44,40.57,39.61
2015-03-16,40.29,"15,223,290",40.0,40.35,39.99
2015-03-17,40.51,"21,661,600",40.67,40.73,40.32
2015-03-18,40.6,"26,203,370",40.48,40.79,39.8
2015-03-19,40.02,"16,013,260",40.48,40.52,39.96
2015-03-20,40.65,"31,568,330",40.07,40.66,40.01
2015-03-23,40.62,"17,035,420",40.64,40.94,40.5
