Date,Close,Volume,Open,High,Low
2023-03-02,351.75,"2,266,645",350.39,354.38,349.55
2023-03-03,362.38,"2,929,275",355.02,362.74,353.33
2023-03-06,358.05,"3,846,387",360.0,360.68,356.38
2023-03-07,354.14,"2,218,111",356.0,357.12,350.46
2023-03-08,354.9,"2,222,842",353.0,355.72,350.4
2023-03-09,345.92,"2,489,124",352.09,353.3,344.21
2023-03-10,341.54,"1,534,105",346.19,347.39,340.11
2023-03-13,334.83,"2,228,912",338.74,340.63,334.09
2023-03-14,342.44,"2,580,095",340.94,346.39,339.26
2023-03-15,330.93,"3,395,328",329.1,332.69,324.11
2023-03-16,338.29,"1,750,154",328.57,339.6,328.12
2023-03-17,330.49,"5,702,339",335.8,336.91,329.91
2023-03-20,338.81,"2,305,149",332.43,339.54,331.95
2023-03-21,341.3,"1,792,643",343.28,344.15,339.02
2023-03-22,339.15,"1,434,214",341.04,344.62,338.69
2023-03-23,341.33,"2,082,145",340.05,346.12,339.55
2023-03-24,344.75,"1,793,849",339.51,345.45,337.95
2023-03-27,347.1,"1,475,948",347.83,349.985,345.07
2023-03-28,347.37,"1,396,658",346.87,348.02,344.56
2023-03-29,349.73,"1,132,624",351.61,352.845,348.38
2023-03-30,351.54,"1,120,710",350.45,351.7,348.42
2023-03-31,355.44,"1,513,468",350.37,355.63,350.045
2023-04-03,358.1,"1,878,474",353.45,358.99,353.45
2023-04-04,357.8,"2,299,186",357.26,361.43,356.51
2023-04-05,355.61,"2,199,781",354.76,356.53,353.285
2023-04-06,356.58,"1,627,689",352.25,357.21,352.01
2023-04-10,358.56,"1,311,530",355.14,358.74,354.665
2023-04-11,358.25,"975,055",359.22,360.86,357.04
2023-04-12,359.35,"1,613,716",360.69,362.85,357.95
2023-04-13,361.96,"1,667,550",358.25,364.14,357.22
2023-04-14,359.67,"1,078,282",360.97,362.69,357.67
2023-04-17,362.35,"1,421,563",359.82,362.395,359.51
2023-04-18,364.87,"1,084,980",364.06,365.84,361.78
2023-04-19,365.31,"1,163,187",362.52,365.5,361.59
2023-04-20,367.35,"1,095,481",363.03,367.51,362.77
2023-04-21,366.21,"1,677,837",364.88,367.15,364.37
2023-04-24,368.01,"1,237,661",367.37,369.07,366.145
2023-04-25,367.06,"1,735,860",366.78,369.65,365.011
2023-04-26,365.0,"2,055,575",364.97,366.13,362.28
2023-04-27,365.64,"1,898,616",365.59,367.9,359.825
2023-04-28,369.45,"1,878,866",365.63,370.54,364.9
2023-05-01,372.31,"1,018,099",370.8,373.58,370.065
2023-05-02,370.04,"1,124,556",370.44,371.72,367.34
2023-05-03,363.5,"1,418,886",369.51,371.26,363.36
2023-05-04,360.8,"1,545,832",362.64,365.21,357.4647
2023-05-05,366.37,"1,113,588",364.22,367.46,363.58
2023-05-08,365.67,"1,261,695",368.0,368.67,365.05
2023-05-09,364.7,"1,015,506",365.0,367.4999,362.73
2023-05-10,368.9,"1,304,325",369.84,370.18,364.0
2023-05-11,367.04,"1,336,724",368.43,369.66,365.02
2023-05-12,370.33,"1,189,465",366.87,370.76,366.4501
2023-05-15,368.8,"1,378,803",371.09,371.315,365.46
2023-05-16,365.9,"1,065,285",367.29,368.05,364.56
2023-05-17,365.01,"1,296,363",367.13,367.13,364.01
2023-05-18,368.19,"1,116,124",363.77,368.718,362.215
2023-05-19,371.49,"1,140,930",369.57,372.4,368.94
2023-05-22,366.39,"1,207,860",372.5,373.07,366.32
2023-05-23,353.94,"2,156,987",364.0,364.01,353.7
2023-05-24,354.86,"1,801,252",351.32,356.53,351.05
2023-05-25,356.59,"1,994,795",356.15,359.12,354.94
2023-05-26,356.21,"1,805,824",357.12,360.63,354.8
2023-05-30,354.91,"1,801,854",356.2,356.7625,350.6
2023-05-31,353.66,"2,958,124",354.11,357.41,352.44
2023-06-01,355.49,"1,239,491",355.28,357.33,353.23
2023-06-02,360.47,"1,337,751",357.6,361.64,357.11
2023-06-05,362.81,"1,724,564",361.76,367.22,360.23
2023-06-06,359.74,"1,638,010",362.31,364.745,357.79
2023-06-07,362.29,"1,440,967",358.62,363.6,358.44
2023-06-08,362.21,"1,056,376",362.1,362.69,359.36
2023-06-09,360.76,"1,121,612",362.49,362.49,358.75
2023-06-12,362.01,"1,021,434",362.47,362.47,358.585
2023-06-13,373.26,"2,066,012",364.23,373.33,363.23
2023-06-14,374.31,"1,553,188",375.24,376.45,371.93
2023-06-15,376.44,"1,228,551",375.37,378.5,372.99
2023-06-16,375.29,"4,372,161",376.75,377.0,373.31
2023-06-20,368.68,"1,721,720",374.4,374.88,367.84
2023-06-21,370.65,"1,542,693",367.16,372.06,365.51
2023-06-22,372.64,"1,197,487",368.28,373.33,365.59
2023-06-23,370.59,"2,070,677",369.62,371.14,367.19
2023-06-26,370.71,"1,089,723",369.98,372.0,369.46
2023-06-27,375.75,"1,319,983",371.62,376.41,371.46
2023-06-28,374.97,"1,094,000",374.21,375.85,372.35
2023-06-29,379.19,"1,350,567",373.49,380.6229,373.42
2023-06-30,381.08,"1,642,800",380.42,383.575,380.02
2023-07-03,378.16,"1,118,678",382.01,382.35,378.16
2023-07-05,367.24,"2,926,719",371.12,374.04,365.69
2023-07-06,364.53,"2,129,972",362.38,364.92,358.37
2023-07-07,364.51,"1,336,847",363.03,369.89,362.0
2023-07-10,367.55,"1,292,130",363.9,368.74,363.9
2023-07-11,366.84,"1,162,040",369.81,371.71,363.265
2023-07-12,374.6,"1,557,213",370.37,374.93,365.985
2023-07-13,377.14,"1,281,086",376.1,378.1,373.64
2023-07-14,378.58,"886,396",377.14,379.49,376.5
2023-07-17,382.11,"1,152,062",378.51,383.56,378.5
2023-07-18,384.27,"1,099,434",376.89,384.55,376.89
2023-07-19,374.71,"1,607,110",382.39,383.87,374.31
2023-07-20,381.6,"1,085,126",376.11,381.71,374.75
2023-07-21,384.54,"1,195,695",380.38,385.405,378.82
2023-07-24,384.69,"1,467,548",385.0,386.0,381.72
2023-07-25,391.04,"1,328,442",385.55,391.61,384.89
2023-07-26,388.21,"1,825,629",387.2,388.48,379.59
2023-07-27,384.63,"2,336,445",388.21,388.725,383.2142
2023-07-28,388.71,"1,445,378",386.65,389.145,385.2063
2023-07-31,390.67,"1,617,160",388.52,390.97,385.95
2023-08-01,388.64,"1,468,631",389.84,393.665,388.51
2023-08-02,383.78,"1,538,913",385.62,387.125,383.355
2023-08-03,380.75,"1,926,047",381.91,384.53,379.11
2023-08-04,377.82,"1,648,865",384.32,384.395,377.53
2023-08-07,384.97,"1,111,977",381.0,385.9699,380.655
2023-08-08,381.78,"946,797",383.9,384.34,378.93
2023-08-09,379.56,"853,369",383.21,383.87,379.29
2023-08-10,382.32,"824,995",381.3,386.5799,380.74
2023-08-11,381.82,"692,723",382.33,383.25,380.54
2023-08-14,382.17,"1,060,687",381.11,383.34,379.02
2023-08-15,379.38,"709,662",379.0,380.76,377.74
2023-08-16,377.8,"1,143,793",378.76,381.585,377.37
2023-08-17,376.36,"1,229,762",379.44,381.2,375.39
2023-08-18,375.1,"1,254,725",374.56,377.87,373.8
2023-08-21,377.49,"947,345",376.22,378.52,373.47
2023-08-22,377.59,"913,303",378.6,380.37,377.367
2023-08-23,378.35,"929,185",377.59,379.73,375.725
2023-08-24,377.94,"820,328",377.4,380.75,377.115
2023-08-25,381.59,"1,022,076",379.42,383.27,377.91
2023-08-28,382.07,"771,993",382.4,383.96,380.74
2023-08-29,386.85,"1,060,094",381.07,386.99,379.35
2023-08-30,387.09,"780,090",386.9,388.2,385.3
2023-08-31,387.04,"1,193,097",387.66,389.165,386.0
