Date,Close,Volume,Open,High,Low
2014-12-09,72.21,"3,754,761",72.18,72.26,71.53
2014-12-10,71.05,"4,117,536",71.9,72.2,71.0
2014-12-11,71.61,"10,898,720",73.63,75.1,71.54
2014-12-12,69.55,"7,767,021",71.46,71.65,69.47
2014-12-15,69.67,"5,712,009",69.68,70.72,69.42
2014-12-16,69.26,"4,926,217",69.39,71.35,69.03
2014-12-17,70.28,"5,516,013",69.56,70.7,69.23
2014-12-18,72.45,"5,852,130",71.2,72.48,70.91
2014-12-19,72.4,"8,309,234",72.24,72.66,71.33
2014-12-22,71.42,"4,574,381",70.94,71.59,70.25
2014-12-23,69.74,"4,774,313",71.67,71.73,69.01
2014-12-24,70.16,"1,507,770",70.04,70.71,70.04
2014-12-26,70.39,"1,438,219",70.29,70.99,70.261
2014-12-29,70.1,"1,739,618",69.92,70.39,69.8878
2014-12-30,69.64,"2,726,083",69.88,70.16,69.44
2014-12-31,68.99,"2,490,989",69.94,70.5,68.93
2015-01-02,70.06,"3,145,255",69.77,70.8199,69.72
2015-01-05,69.37,"4,815,010",69.73,70.09,69.15
2015-01-06,69.72,"5,112,693",69.92,70.91,69.2
2015-01-07,69.23,"9,037,131",70.03,70.529,68.45
2015-01-08,70.87,"7,471,781",70.0,71.49,69.66
2015-01-09,69.93,"8,141,599",70.03,70.11,69.01
2015-01-12,69.42,"5,797,635",70.22,70.61,69.28
2015-01-13,69.38,"3,364,784",70.07,70.8,68.81
2015-01-14,69.76,"3,372,334",68.77,69.88,68.71
2015-01-15,69.74,"3,983,049",70.44,71.27,69.73
2015-01-16,70.68,"4,263,309",69.59,70.88,69.44
2015-01-20,72.03,"6,158,659",70.87,72.0957,70.87
2015-01-21,72.24,"5,092,000",71.62,72.5,71.11
2015-01-22,72.46,"4,578,536",72.69,72.695,71.64
2015-01-23,72.13,"2,903,225",72.46,72.86,72.05
2015-01-26,72.11,"3,466,643",71.86,72.17,71.06
2015-01-27,71.73,"3,661,642",71.76,72.14,71.45
