Date,Close,Volume,Open,High,Low
2021-12-08,256.74,"3,820,799",256.59,258.63,254.55
2021-12-09,258.15,"3,812,705",255.77,260.815,254.86
2021-12-10,261.38,"2,547,664",258.41,261.48,257.72
2021-12-13,257.24,"3,915,269",262.85,263.31,256.29
2021-12-14,252.46,"5,100,578",255.92,256.815,250.51
2021-12-15,257.54,"4,939,283",249.6,258.34,249.25
2021-12-16,253.24,"4,457,213",259.23,259.5,253.1
2021-12-17,248.09,"10,175,910",252.34,253.29,247.45
2021-12-20,245.62,"3,900,882",245.22,245.94,242.3
2021-12-21,246.98,"2,963,847",247.71,248.41,243.58
2021-12-22,249.7,"1,772,047",247.11,249.95,246.13
2021-12-23,250.09,"2,060,478",250.24,251.71,249.04
2021-12-27,253.7,"1,590,318",251.14,253.78,251.14
2021-12-28,254.02,"1,531,542",254.0,254.89,252.82
2021-12-29,257.57,"1,617,702",255.01,258.54,254.96
2021-12-30,256.39,"1,488,100",258.35,259.25,256.06
2021-12-31,258.48,"1,774,222",256.15,259.77,255.85
2022-01-03,255.51,"5,305,697",259.2,260.195,253.07
2022-01-04,259.81,"3,638,211",255.64,260.83,255.595
2022-01-05,254.75,"3,808,574",258.71,259.44,254.72
2022-01-06,257.79,"3,616,309",257.64,258.45,255.0
2022-01-07,251.09,"4,945,544",255.7,257.38,250.7125
2022-01-10,247.69,"6,292,571",247.89,248.1,240.565
2022-01-11,249.5,"3,414,950",247.91,249.95,244.675
2022-01-12,250.72,"2,825,576",251.19,254.71,249.94
2022-01-13,250.7,"2,243,611",253.08,253.75,250.09
2022-01-14,243.4,"3,258,477",247.3,248.7,241.47
2022-01-18,238.41,"4,612,577",239.2,239.595,234.27
2022-01-19,234.7,"4,146,791",239.63,241.16,234.27
2022-01-20,223.93,"5,946,565",236.27,237.59,223.34
2022-01-21,225.02,"5,724,411",222.89,229.85,221.5
2022-01-24,232.35,"4,912,593",220.53,232.71,220.2
2022-01-25,230.01,"4,099,153",227.5,231.94,224.51
2022-01-26,228.1,"4,349,153",232.56,234.9999,225.74
2022-01-27,225.93,"3,426,116",230.66,233.17,223.95
2022-01-28,234.99,"3,215,463",227.99,235.14,224.48
2022-01-31,237.35,"4,486,036",233.99,237.61,232.66
2022-02-01,238.35,"2,723,824",238.45,239.4799,233.815
2022-02-02,239.11,"2,442,894",238.61,240.71,236.45
2022-02-03,234.11,"2,512,234",236.0,239.49,233.81
2022-02-04,229.07,"3,456,689",234.15,234.15,225.17
2022-02-07,227.02,"2,990,056",230.52,230.98,224.53
2022-02-08,231.76,"2,572,444",227.2,232.62,225.86
2022-02-09,233.66,"2,115,334",234.52,236.48,232.84
