Date,Close,Volume,Open,High,Low
2021-12-08,342.34,"4,226,942",339.23,344.025,334.1
2021-12-09,344.52,"3,389,627",340.05,346.53,339.01
2021-12-10,349.92,"3,405,910",347.0,350.25,344.83
2021-12-13,345.31,"4,358,322",349.19,349.53,340.33
2021-12-14,340.55,"4,518,478",345.32,348.21,337.86
2021-12-15,346.35,"4,918,678",340.0,346.59,335.53
2021-12-16,352.92,"5,369,922",351.7,353.77,345.12
2021-12-17,349.31,"5,898,831",349.19,352.79,344.12
2021-12-20,337.02,"5,013,898",341.24,343.525,336.23
2021-12-21,350.74,"3,105,438",340.33,352.0,339.37
2021-12-22,357.48,"3,456,400",346.58,358.62,346.58
2021-12-23,360.58,"2,626,991",357.54,362.47,355.0
2021-12-27,360.31,"2,679,603",360.0,361.081,355.5953
2021-12-28,360.78,"1,920,249",358.79,364.1375,358.41
2021-12-29,361.29,"1,535,298",361.78,363.15,360.19
2021-12-30,360.99,"1,557,977",362.0,364.65,359.11
2021-12-31,359.32,"1,983,997",357.95,363.38,356.78
2022-01-03,370.95,"4,714,310",359.79,372.32,359.25
2022-01-04,375.39,"6,854,546",371.99,382.4,371.645
2022-01-05,373.9,"5,976,597",374.0,382.5,372.51
2022-01-06,370.0,"4,781,145",368.69,374.215,366.5
2022-01-07,369.65,"4,551,189",366.39,371.79,364.11
2022-01-10,363.91,"6,009,380",370.91,370.91,348.77
2022-01-11,366.29,"4,131,287",363.53,368.06,356.09
2022-01-12,367.31,"5,783,149",368.94,372.12,367.07
2022-01-13,369.52,"3,892,898",368.61,377.68,367.88
2022-01-14,372.14,"4,029,901",364.32,374.78,364.15
2022-01-18,366.3,"4,934,283",370.79,372.14,365.2
2022-01-19,360.73,"4,464,820",362.41,369.3,359.71
2022-01-20,364.0,"5,043,173",361.83,373.0721,361.67
2022-01-21,355.08,"4,867,051",362.5,368.13,354.11
2022-01-24,349.42,"7,474,532",342.57,350.1,330.59
2022-01-25,338.76,"6,994,447",343.32,347.04,333.39
2022-01-26,344.66,"7,438,611",343.36,354.765,341.25
2022-01-27,350.53,"8,417,289",349.08,359.63,334.33
2022-01-28,382.51,"8,813,402",359.05,382.77,355.38
2022-01-31,386.38,"6,345,160",378.68,386.55,376.29
2022-02-01,392.06,"5,841,117",385.76,395.5,382.42
2022-02-02,396.75,"6,115,014",389.29,399.92,382.75
2022-02-03,390.07,"4,209,203",388.54,392.94,386.49
2022-02-04,382.2,"6,045,366",387.57,388.15,376.4106
2022-02-07,376.13,"4,767,606",382.2,382.4,373.31
2022-02-08,374.37,"5,825,322",377.54,379.7699,370.54
2022-02-09,381.37,"5,492,834",385.6,388.45,380.6
2022-02-10,374.39,"3,994,988",371.72,380.0,370.5582
2022-02-11,369.77,"4,345,551",377.86,380.9,367.64
2022-02-14,374.16,"3,678,394",368.82,377.29,366.76
2022-02-15,381.54,"5,800,709",374.58,383.07,373.4
2022-02-16,382.93,"3,424,788",379.96,385.0,376.78
2022-02-17,373.7,"3,972,495",378.6,381.29,372.17
2022-02-18,369.95,"4,083,825",374.51,374.81,369.0
2022-02-22,368.29,"3,897,893",365.0,374.32,363.7987
2022-02-23,361.23,"3,802,450",371.97,373.5599,360.13
2022-02-24,369.38,"7,424,971",345.94,370.54,341.3149
2022-02-25,369.09,"3,817,947",367.22,372.59,361.7
2022-02-28,360.82,"4,952,437",362.19,365.36,355.655
2022-03-01,344.48,"5,894,169",357.85,361.58,341.22
2022-03-02,344.09,"4,997,890",342.96,348.32,338.69
2022-03-03,340.99,"3,975,906",347.63,349.5,340.7
2022-03-04,330.76,"4,671,397",336.9,338.83,324.0
2022-03-07,312.92,"6,874,263",329.58,329.8,312.11
2022-03-08,314.33,"5,048,201",311.39,324.73,305.605
2022-03-09,328.13,"4,016,060",323.15,329.45,321.11
2022-03-10,324.59,"3,771,285",321.94,326.12,319.75
2022-03-11,324.79,"2,987,773",330.03,330.97,324.03
2022-03-14,328.59,"4,122,885",329.1,336.88,327.26
2022-03-15,335.0,"3,738,901",332.42,338.38,331.21
2022-03-16,344.68,"4,340,750",341.99,350.94,336.68
2022-03-17,346.44,"3,244,218",341.6,346.88,339.75
2022-03-18,350.09,"6,790,828",346.696,352.74,342.49
2022-03-21,345.58,"6,053,935",346.02,350.0,342.491
2022-03-22,349.53,"4,670,069",346.78,353.925,345.51
2022-03-23,342.18,"2,528,000",343.4,346.73,341.75
2022-03-24,349.35,"2,482,921",342.25,349.45,340.7
2022-03-25,349.02,"2,174,405",350.41,351.54,345.65
2022-03-28,350.49,"3,134,618",348.51,350.56,343.525
2022-03-29,367.55,"5,512,630",358.72,370.76,357.1
2022-03-30,362.24,"2,614,256",364.01,368.2846,359.62
2022-03-31,357.38,"4,095,825",359.58,364.12,357.36
2022-04-01,363.97,"3,806,911",359.22,367.8855,358.17
2022-04-04,366.91,"3,028,641",364.25,369.76,363.15
