Date,Close,Volume,Open,High,Low
2014-12-09,91.36,"10,022,680",91.3,92.0,91.01
2014-12-10,90.0,"12,019,890",91.04,91.2899,89.51
2014-12-11,90.97,"8,971,650",90.09,91.15,90.02
2014-12-12,90.62,"8,691,661",90.66,91.389,90.43
2014-12-15,88.46,"10,076,460",90.96,91.1,88.25
2014-12-16,88.72,"15,096,450",88.07,90.75,87.62
2014-12-17,91.65,"13,987,460",88.93,92.05,88.5
2014-12-18,93.67,"11,265,020",92.28,93.74,91.65
2014-12-19,93.22,"10,282,480",93.51,94.32,92.95
2014-12-22,93.89,"5,340,075",93.28,94.015,93.03
2014-12-23,94.22,"3,596,242",94.36,94.82,94.01
2014-12-24,93.83,"1,736,839",94.22,94.54,93.74
2014-12-26,94.78,"3,882,505",94.1,94.93,93.95
2014-12-29,95.04,"4,178,279",94.32,95.46,94.265
2014-12-30,94.25,"3,257,610",94.85,95.0,94.07
2014-12-31,93.7,"4,582,664",93.75,94.8,93.57
2015-01-02,93.26,"6,008,063",94.13,95.0,93.05
2015-01-05,92.23,"6,206,635",93.3,93.68,92.22
2015-01-06,92.4,"6,481,456",92.67,93.81,91.88
2015-01-07,94.01,"6,398,380",93.26,94.05,92.86
2015-01-08,94.36,"5,476,297",94.23,94.98,94.051
2015-01-09,93.21,"4,270,917",93.97,93.97,92.78
2015-01-12,93.01,"3,974,225",93.53,93.81,92.6
2015-01-13,92.83,"5,971,117",93.95,94.44,92.42
2015-01-14,91.54,"7,740,543",91.45,92.05,91.12
2015-01-15,91.38,"5,735,618",91.97,92.35,90.965
2015-01-16,91.49,"6,923,833",91.05,91.69,90.74
2015-01-20,90.8,"6,890,552",91.64,91.88,90.23
2015-01-21,90.34,"8,681,777",90.16,90.46,89.54
2015-01-22,90.89,"7,527,693",90.62,90.97,89.84
2015-01-23,89.56,"11,464,840",90.92,91.64,89.43
2015-01-26,90.67,"7,752,824",89.39,90.697,89.29
2015-01-27,89.57,"6,636,807",89.96,90.31,89.56
2015-01-28,88.78,"6,490,218",89.74,89.82,88.77
2015-01-29,93.27,"19,124,090",91.5,93.5,91.26
2015-01-30,92.44,"12,362,970",92.65,93.2999,92.31
2015-02-02,92.51,"6,722,133",92.05,92.66,91.43
2015-02-03,93.92,"7,362,068",92.64,93.98,92.45
2015-02-04,94.05,"6,464,733",93.5,94.43,93.5
2015-02-05,94.34,"5,564,038",94.1,94.83,94.0
2015-02-06,93.99,"4,635,476",94.15,94.48,93.65
2015-02-09,92.72,"8,175,223",93.3,93.45,92.54
2015-02-10,94.02,"4,697,497",93.33,94.23,92.97
2015-02-11,94.21,"5,145,354",94.16,94.33,93.3
2015-02-12,95.09,"7,796,098",94.05,95.6,93.77
2015-02-13,95.65,"6,752,579",95.4,95.85,94.93
2015-02-17,94.35,"5,944,134",95.12,95.39,94.09
2015-02-18,94.58,"5,617,500",94.23,94.79,94.0
2015-02-19,94.19,"6,306,284",94.5,94.55,93.74
2015-02-20,94.19,"8,151,559",94.16,94.49,93.56
2015-02-23,94.31,"5,678,718",94.12,94.41,93.95
2015-02-24,94.98,"5,635,509",94.08,95.33,93.69
2015-02-25,98.66,"16,679,620",94.91,99.31,94.86
2015-02-26,99.51,"16,094,690",97.43,99.88,97.0
2015-02-27,98.9,"7,521,717",99.17,99.3,98.49
2015-03-02,100.0,"12,353,190",98.62,101.09,98.31
2015-03-03,99.74,"8,144,924",99.97,100.44,99.55
2015-03-04,100.25,"9,150,481",99.81,100.48,99.18
2015-03-05,99.11,"9,438,793",99.01,99.92,98.46
2015-03-06,97.13,"9,677,729",98.27,98.99,96.96
2015-03-09,97.71,"8,374,097",96.81,98.25,96.81
2015-03-10,96.29,"7,827,280",96.91,97.12,96.1
2015-03-11,94.96,"9,368,842",96.3,96.77,94.94
2015-03-12,96.25,"8,765,061",95.42,96.44,95.28
2015-03-13,96.35,"5,124,137",96.24,97.05,95.75
2015-03-16,97.15,"4,772,189",96.93,97.47,96.74
2015-03-17,96.17,"4,530,559",96.9,97.15,95.99
2015-03-18,97.0,"5,801,202",96.01,97.24,95.33
2015-03-19,95.98,"3,600,548",96.86,97.01,95.98
2015-03-20,97.05,"9,958,693",96.32,97.72,96.12
2015-03-23,98.62,"9,227,809",96.8,99.12,96.8
2015-03-24,99.36,"7,533,137",98.46,99.84,98.07
2015-03-25,98.14,"6,030,491",99.03,99.61,98.11
2015-03-26,97.64,"10,445,790",97.6,97.97,96.195
2015-03-27,96.96,"4,641,839",97.36,97.8499,96.77
2015-03-30,97.88,"4,072,040",97.43,98.32,97.37
2015-03-31,97.44,"5,616,991",97.82,98.43,97.44
2015-04-01,96.29,"7,480,911",96.81,97.02,96.0
2015-04-02,95.83,"6,613,751",95.96,96.24,94.71
2015-04-06,96.28,"4,500,902",95.75,96.82,95.45
2015-04-07,96.35,"4,414,254",96.24,96.79,96.095
2015-04-08,96.85,"4,440,492",96.73,97.5,95.98
2015-04-09,96.55,"4,776,933",96.85,97.43,96.21
2015-04-10,97.8,"5,926,806",96.9,97.95,96.56
2015-04-13,97.44,"5,197,686",97.41,97.75,97.07
2015-04-14,97.58,"4,961,148",97.16,97.74,96.97
2015-04-15,96.44,"6,591,181",97.0,97.55,96.275
2015-04-16,95.63,"5,071,647",96.37,97.44,95.505
2015-04-17,94.88,"6,679,760",95.13,95.345,94.46
2015-04-20,96.18,"4,381,282",95.0,96.26,95.0
2015-04-21,94.87,"5,968,051",96.19,96.55,94.5401
2015-04-22,97.84,"19,250,180",97.0,99.35,96.24
2015-04-23,97.0,"6,317,507",97.44,97.52,96.555
2015-04-24,98.74,"7,707,372",96.99,99.08,96.84
2015-04-27,96.44,"7,202,951",98.74,98.94,96.26
2015-04-28,96.83,"4,296,794",96.27,96.89,95.78
2015-04-29,97.02,"5,678,030",96.58,97.67,96.07
2015-04-30,96.55,"8,287,200",96.65,97.37,96.41
