Date,Close,Volume,Open,High,Low
2014-12-09,74.72,"5,373,368",73.71,74.78,73.62
2014-12-10,73.23,"6,506,084",74.24,74.58,73.2
2014-12-11,73.77,"6,223,994",73.67,74.28,73.55
2014-12-12,72.52,"7,569,522",72.72,73.72,72.5
2014-12-15,71.99,"6,856,780",73.42,73.51,71.97
2014-12-16,71.34,"8,380,070",70.8,73.02,70.78
2014-12-17,72.67,"9,054,329",71.75,72.7725,71.57
2014-12-18,74.63,"7,002,951",73.73,74.68,73.4
2014-12-19,74.62,"10,456,530",74.66,75.0,74.0
2014-12-22,75.57,"10,382,340",74.65,75.64,74.58
2014-12-23,73.77,"7,335,561",75.55,75.66,73.74
2014-12-24,74.08,"3,237,695",73.88,74.45,73.42
2014-12-26,73.61,"4,206,228",74.05,74.22,73.51
2014-12-29,73.69,"4,611,287",73.38,73.93,73.19
2014-12-30,73.07,"4,983,703",73.44,73.63,72.66
2014-12-31,72.2,"4,747,033",73.28,73.75,72.11
2015-01-02,71.88,"6,029,818",72.13,72.99,71.4101
2015-01-05,71.58,"11,258,670",71.5,71.84,71.09
2015-01-06,71.22,"12,838,760",72.0,72.47,70.87
2015-01-07,73.0,"8,101,677",71.72,73.099,71.51
2015-01-08,74.75,"7,603,210",73.71,74.78,73.71
2015-01-09,74.4,"8,790,582",74.63,74.84,74.14
2015-01-12,74.47,"7,293,961",74.46,74.74,74.1
2015-01-13,72.79,"9,508,287",74.88,75.39,72.535
2015-01-14,71.77,"8,702,313",71.79,72.46,71.41
2015-01-15,71.9,"13,290,230",72.29,72.41,71.48
2015-01-16,72.76,"8,832,005",71.69,72.85,71.25
2015-01-20,72.2,"10,528,170",72.94,73.25,71.6101
2015-01-21,73.06,"10,792,100",71.88,73.24,71.48
2015-01-22,75.48,"17,866,540",72.97,75.49,72.97
2015-01-23,76.95,"23,255,350",75.85,77.39,75.47
2015-01-26,75.59,"34,904,420",76.87,76.93,74.98
2015-01-27,75.26,"9,927,213",75.02,75.61,74.62
2015-01-28,73.41,"12,731,730",74.85,75.51,73.41
2015-01-29,73.01,"11,889,860",73.12,73.38,72.11
2015-01-30,71.4,"15,810,620",72.84,72.92,71.21
2015-02-02,72.76,"9,912,246",70.98,72.78,70.91
2015-02-03,74.79,"9,745,306",73.48,74.81,73.14
2015-02-04,74.13,"7,378,248",74.65,75.09,73.98
2015-02-05,75.32,"5,737,695",75.13,75.46,74.71
2015-02-06,74.47,"5,421,045",75.32,75.655,74.3
2015-02-09,73.62,"5,470,835",74.26,74.56,73.47
2015-02-10,74.87,"5,663,339",73.96,75.06,73.74
2015-02-11,74.39,"7,457,746",74.9,75.18,74.035
2015-02-12,74.93,"5,542,758",74.81,75.04,74.3
2015-02-13,75.26,"9,009,406",74.46,75.28,73.73
2015-02-17,78.07,"13,477,180",76.54,78.3,76.33
2015-02-18,78.5,"7,801,255",78.0,78.6,77.97
2015-02-19,78.13,"6,900,528",78.59,78.59,77.85
2015-02-20,78.79,"6,665,183",77.96,78.8,77.45
2015-02-23,79.25,"6,051,519",78.67,79.45,78.67
2015-02-24,79.02,"4,855,820",79.11,79.21,78.73
2015-02-25,78.63,"4,598,767",79.02,79.4,78.445
2015-02-26,78.81,"5,413,386",78.74,78.99,78.3755
2015-02-27,77.59,"8,848,092",78.53,78.76,77.56
2015-03-02,78.83,"5,240,285",77.94,78.92,77.68
2015-03-03,78.03,"4,662,494",78.8,78.98,77.37
2015-03-04,78.19,"5,382,885",77.56,78.47,77.05
2015-03-05,78.5,"5,780,484",78.38,78.96,78.0401
2015-03-06,76.48,"7,052,352",78.0,78.32,76.43
2015-03-09,76.9,"6,134,437",76.57,77.12,76.19
2015-03-10,75.87,"5,252,717",76.51,76.66,75.84
2015-03-11,76.05,"6,954,560",76.0,77.0,75.84
2015-03-12,76.76,"4,014,435",75.89,76.83,75.8
2015-03-13,76.47,"5,289,004",76.65,76.68,75.88
2015-03-16,77.67,"6,497,315",76.89,77.87,76.87
2015-03-17,76.72,"4,497,408",77.42,77.5,76.412
2015-03-18,77.61,"5,858,656",76.42,78.2,76.1
2015-03-19,77.66,"4,786,575",78.27,78.27,77.27
2015-03-20,78.02,"9,155,884",78.38,78.4499,77.6976
2015-03-23,78.67,"6,150,784",78.0,78.87,77.93
2015-03-24,78.72,"5,846,824",78.75,79.24,78.68
2015-03-25,77.6,"8,133,633",78.84,79.5,77.55
2015-03-26,76.61,"5,591,779",76.94,77.47,76.51
2015-03-27,77.38,"4,510,282",76.54,77.6,76.5
2015-03-30,78.42,"3,765,886",77.7,78.45,77.7
2015-03-31,77.99,"5,773,412",78.49,78.84,77.87
2015-04-01,76.14,"8,383,932",78.62,78.73,75.965
2015-04-02,76.87,"5,113,560",76.01,77.12,75.83
2015-04-06,77.36,"4,371,983",76.31,77.55,76.27
2015-04-07,77.18,"3,529,602",77.57,77.773,77.15
2015-04-08,76.39,"6,279,630",77.36,77.45,76.3
2015-04-09,77.13,"4,888,867",76.34,77.2,76.0801
2015-04-10,77.93,"4,521,264",77.1,77.96,77.04
2015-04-13,78.08,"5,781,953",77.6,78.66,77.37
2015-04-14,77.89,"3,989,246",78.0,78.06,77.44
2015-04-15,77.91,"3,388,771",78.0,78.285,77.719
2015-04-16,77.02,"4,201,189",77.78,77.98,76.95
2015-04-17,76.49,"5,815,537",76.44,77.3,76.2441
2015-04-20,77.14,"4,248,979",76.84,77.4,76.76
2015-04-21,77.08,"4,265,060",77.49,77.53,76.92
2015-04-22,78.01,"4,861,137",77.4,78.12,77.06
2015-04-23,78.5,"4,701,694",77.76,78.97,77.55
2015-04-24,77.61,"4,662,005",78.48,78.48,77.58
2015-04-27,76.21,"8,739,775",78.06,78.15,75.93
2015-04-28,76.52,"7,761,666",75.41,76.77,74.421
2015-04-29,75.69,"5,655,316",76.15,76.53,75.0
2015-04-30,74.45,"6,331,538",75.26,75.63,74.12
2015-05-01,75.6,"5,880,617",74.01,75.68,74.01
2015-05-04,75.9,"3,137,321",76.0,76.23,75.73
2015-05-05,74.91,"3,424,856",75.9,76.15,74.74
2015-05-06,74.32,"4,316,970",75.06,75.25,73.73
2015-05-07,74.6,"5,002,603",74.15,74.81,74.09
2015-05-08,76.21,"3,973,165",75.25,76.39,75.25
2015-05-11,76.02,"3,126,526",76.01,76.44,75.93
2015-05-12,75.2,"3,769,988",75.41,75.68,75.06
2015-05-13,74.86,"3,506,057",75.23,75.54,74.57
2015-05-14,76.26,"3,877,240",75.35,76.56,75.16
2015-05-15,76.42,"4,528,258",76.32,76.42,75.99
2015-05-18,77.47,"5,406,509",76.61,77.755,76.58
2015-05-19,78.44,"6,589,648",77.85,78.7,77.71
2015-05-20,78.79,"6,868,696",78.44,79.08,78.37
2015-05-21,78.41,"3,537,645",78.68,78.7,78.2901
2015-05-22,77.82,"2,965,656",78.27,78.69,77.8
2015-05-26,76.57,"4,505,117",77.39,77.43,76.36
2015-05-27,77.32,"3,734,874",77.43,77.44,76.47
2015-05-28,77.21,"4,065,912",77.28,77.84,76.94
2015-05-29,76.32,"7,206,528",77.13,77.38,76.32
2015-06-01,76.7,"6,527,118",77.07,77.655,76.32
2015-06-02,76.88,"7,768,341",76.48,77.44,76.01
2015-06-03,76.83,"6,446,864",77.06,77.28,76.37
2015-06-04,76.04,"8,645,611",76.36,76.83,75.64
2015-06-05,75.46,"6,422,999",75.78,75.99,75.36
2015-06-08,75.14,"6,486,657",75.49,75.81,75.13
2015-06-09,74.92,"6,446,785",75.31,75.4,74.8
2015-06-10,76.16,"6,276,469",75.2,76.34,75.03
2015-06-11,76.22,"5,205,400",76.4,76.62,76.08
2015-06-12,75.52,"5,522,827",75.65,75.97,75.34
2015-06-15,75.42,"5,922,267",75.09,75.7,74.36
2015-06-16,75.6,"3,727,613",75.42,75.75,75.1018
2015-06-17,75.71,"4,894,138",75.56,76.02,75.35
2015-06-18,76.72,"4,597,914",75.76,76.945,75.76
2015-06-19,76.71,"7,450,647",76.98,77.25,76.59
2015-06-22,77.21,"3,791,640",77.25,77.445,76.92
2015-06-23,76.61,"5,044,526",77.53,77.57,76.46
2015-06-24,75.27,"4,880,699",77.02,77.02,75.26
2015-06-25,75.48,"5,506,285",75.55,76.49,75.2001
2015-06-26,75.16,"5,995,474",75.79,75.89,74.97
2015-06-29,73.3,"5,106,495",74.38,74.79,73.24
2015-06-30,74.1,"7,613,254",74.19,74.67,73.66
2015-07-01,74.08,"5,147,176",74.28,74.71,73.75
2015-07-02,73.81,"4,589,462",74.26,74.35,73.48
2015-07-06,73.53,"6,684,251",73.08,73.98,72.8
2015-07-07,73.46,"7,498,759",73.64,73.8,72.2009
2015-07-08,72.85,"5,623,757",72.87,73.5399,72.79
2015-07-09,73.09,"7,005,613",73.81,74.2,73.09
2015-07-10,74.37,"6,640,789",74.09,74.46,73.88
2015-07-13,75.17,"5,796,018",74.78,75.48,74.78
2015-07-14,75.89,"5,485,955",75.38,75.91,75.21
2015-07-15,75.95,"4,601,774",75.86,76.16,75.74
2015-07-16,76.8,"4,847,274",76.62,77.05,76.57
2015-07-17,76.91,"4,656,634",76.8,76.96,76.24
2015-07-20,77.0,"3,205,352",77.11,77.15,76.71
2015-07-21,76.54,"3,737,460",76.82,77.14,76.1903
2015-07-22,76.82,"4,578,704",76.85,77.11,76.56
2015-07-23,76.8,"3,647,765",76.74,77.1799,76.45
2015-07-24,76.01,"3,887,267",76.36,76.62,75.8979
2015-07-27,75.66,"4,821,494",75.72,75.96,75.33
2015-07-28,77.47,"4,902,229",76.29,77.51,75.78
