Date,Close,Volume,Open,High,Low
2021-12-08,330.56,"19,937,720",325.0,332.75,323.07
2021-12-09,329.82,"16,879,170",329.54,336.13,328.0
2021-12-10,329.75,"14,527,970",332.555,335.03,326.37
2021-12-13,334.49,"22,948,660",330.95,341.09,329.59
2021-12-14,333.74,"20,461,020",328.05,335.7,327.65
2021-12-15,341.66,"24,681,330",332.494,342.11,323.98
2021-12-16,334.9,"22,635,030",338.98,344.46,333.74
2021-12-17,333.79,"40,012,640",332.795,337.11,330.75
2021-12-20,325.45,"17,901,780",329.775,329.9,322.53
2021-12-21,334.2,"16,116,780",326.41,336.0,323.75
2021-12-22,330.45,"16,764,570",333.8,334.51,328.26
2021-12-23,335.24,"13,987,700",330.1,336.67,328.36
2021-12-27,346.18,"17,795,030",338.845,347.87,338.01
2021-12-28,346.22,"16,637,610",346.63,352.71,345.2
2021-12-29,342.94,"10,747,010",346.91,349.6899,341.6401
2021-12-30,344.36,"10,593,350",344.0,347.23,343.22
2021-12-31,336.35,"12,870,480",343.015,343.44,336.27
2022-01-03,338.54,"14,562,850",338.295,341.0816,337.19
2022-01-04,336.53,"15,997,970",339.95,343.0854,331.8711
2022-01-05,324.17,"20,564,520",333.02,335.76,323.84
2022-01-06,332.46,"27,962,810",322.82,339.165,322.72
2022-01-07,331.79,"14,722,020",332.74,337.0,328.8801
2022-01-10,328.07,"24,942,380",325.31,328.34,315.43
2022-01-11,334.37,"16,226,850",326.78,334.63,325.28
2022-01-12,333.26,"14,104,860",335.18,336.365,330.03
2022-01-13,326.48,"14,797,110",334.98,335.63,325.76
2022-01-14,331.9,"16,868,500",321.79,332.73,321.21
2022-01-18,318.15,"22,677,330",323.29,324.21,317.64
2022-01-19,319.59,"20,814,740",319.582,327.1,319.33
2022-01-20,316.56,"16,925,030",323.9,327.82,315.98
2022-01-21,303.17,"28,710,720",314.81,318.31,303.04
2022-01-24,308.71,"38,936,900",297.84,309.53,289.01
2022-01-25,300.15,"25,108,450",299.95,306.23,297.58
2022-01-26,294.63,"28,348,800",307.01,307.51,290.85
2022-01-27,294.64,"21,629,920",297.752,301.709,294.26
2022-01-28,301.71,"21,871,620",295.6204,301.9,293.0333
2022-01-31,313.26,"21,579,470",300.68,313.79,299.32
2022-02-01,319.0,"18,023,800",314.555,319.6598,312.12
2022-02-02,323.0,"58,458,280",327.82,328.0,316.8747
2022-02-03,237.76,"188,119,900",244.645,248.0,235.745
2022-02-04,237.09,"89,342,250",234.97,242.6099,230.11
2022-02-07,224.91,"88,613,830",237.7,238.3,224.01
2022-02-08,220.18,"94,729,670",220.85,225.77,216.15
2022-02-09,232.0,"86,563,280",224.2,233.37,222.21
2022-02-10,228.07,"49,310,360",228.27,235.0,226.7
2022-02-11,219.55,"46,156,940",228.46,230.42,218.7701
2022-02-14,217.7,"38,184,040",219.31,221.0,214.78
2022-02-15,221.0,"42,685,470",220.47,221.15,215.06
2022-02-16,216.54,"45,817,460",212.41,217.46,212.36
2022-02-17,207.71,"38,747,530",214.02,217.5,207.1601
2022-02-18,206.16,"37,128,440",209.39,210.75,205.18
2022-02-22,202.08,"39,852,390",202.34,207.48,200.06
2022-02-23,198.45,"44,481,360",204.16,206.94,198.05
2022-02-24,207.6,"49,957,170",191.06,208.35,190.22
2022-02-25,210.48,"37,627,550",204.94,211.32,203.18
2022-02-28,211.03,"34,239,800",207.675,213.1508,206.83
2022-03-01,203.49,"27,094,900",209.87,211.7517,202.22
2022-03-02,208.11,"29,452,150",204.775,209.15,202.02
2022-03-03,202.97,"27,263,520",209.015,209.08,201.42
2022-03-04,200.06,"32,146,260",202.37,205.89,198.79
2022-03-07,187.47,"38,560,610",200.79,200.89,187.28
2022-03-08,190.29,"37,508,150",187.85,196.7,186.11
2022-03-09,198.5,"31,894,700",195.74,199.1,193.92
2022-03-10,195.21,"24,852,980",194.84,196.28,191.068
2022-03-11,187.61,"34,694,530",192.635,193.56,186.67
2022-03-14,186.63,"31,010,460",187.03,192.29,185.82
