Date,Close,Volume,Open,High,Low
2014-12-09,57.914,"18,691,550",57.3253,58.0394,56.698
2014-12-10,57.885,"13,252,930",58.0201,58.4061,57.6148
2014-12-11,57.2674,"11,313,570",57.692,58.464,57.1226
2014-12-12,55.7039,"12,106,790",57.0647,57.5665,55.6943
2014-12-15,54.9608,"12,121,620",55.8005,56.0321,54.8161
2014-12-16,54.8161,"11,210,540",54.9801,56.254,54.7968
2014-12-17,55.6171,"12,669,760",55.0573,55.7812,54.5845
2014-12-18,56.9199,"13,334,700",56.5436,56.9199,56.061
2014-12-19,57.499,"17,319,360",57.1805,57.8055,56.9489
2014-12-22,56.9006,"9,977,694",57.055,57.4797,56.505
2014-12-23,55.2118,"14,165,250",56.6401,56.9392,55.038
2014-12-24,55.453,"5,055,251",55.289,55.8391,55.2504
2014-12-26,55.7618,"4,672,797",55.6653,55.9935,55.5785
2014-12-29,55.7136,"6,003,835",55.4434,55.897,55.4434
2014-12-30,55.6364,"5,234,425",55.5206,55.7522,55.2986
2014-12-31,54.8064,"7,482,858",55.2697,55.8294,54.7485
2015-01-02,55.1925,"7,084,248",55.2214,55.7715,55.0332
2015-01-05,56.0128,"15,946,520",56.1768,56.4374,55.5592
2015-01-06,58.2131,"24,240,220",56.2444,58.3868,56.2154
2015-01-07,59.4581,"18,624,150",58.3289,59.4677,58.2517
2015-01-08,60.6548,"19,120,440",59.8345,60.7368,59.6897
2015-01-09,60.3749,"12,636,170",60.6162,60.925,59.9985
2015-01-12,60.124,"11,568,730",60.896,61.2821,59.931
2015-01-13,60.0178,"10,039,290",60.7127,61.3979,59.5739
2015-01-14,60.4521,"9,853,539",59.5642,60.7127,59.3326
2015-01-15,59.7186,"9,563,704",60.5969,60.7899,59.6704
2015-01-16,60.8285,"11,370,990",59.6993,60.9539,59.3809
2015-01-20,60.4231,"13,107,790",60.5197,61.089,59.7186
2015-01-21,59.9889,"9,082,145",60.2398,60.5872,59.9117
2015-01-22,60.4038,"8,494,255",60.0854,60.5197,59.3809
2015-01-23,60.3073,"6,229,087",60.2784,60.7995,60.2301
2015-01-26,60.6258,"6,714,420",60.3942,60.7802,59.9503
2015-01-27,60.3749,"7,964,530",60.6837,60.8188,59.9599
2015-01-28,59.3037,"8,868,066",60.6258,60.7617,59.1782
2015-01-29,59.9213,"9,091,286",59.3905,59.9792,58.6329
2015-01-30,58.1745,"12,072,410",59.3809,59.7669,57.9333
2015-02-02,58.7536,"9,265,952",58.3868,58.8018,57.692
2015-02-03,58.8887,"11,476,790",58.7632,58.9273,57.8464
2015-02-04,56.9875,"19,397,750",57.8754,57.9043,56.3023
2015-02-05,57.1033,"12,630,300",57.1998,57.277,56.4615
2015-02-06,56.7366,"9,849,465",57.0357,57.6823,56.5339
2015-02-09,56.2926,"10,014,120",56.6015,56.9392,55.9066
2015-02-10,56.7945,"9,538,869",56.9392,57.2674,56.7182
2015-02-11,56.6883,"10,484,320",56.7076,56.9006,56.3602
2015-02-12,56.8234,"7,195,523",56.9392,57.0454,56.5436
2015-02-13,56.7559,"7,899,178",56.8427,56.8813,56.5629
2015-02-17,56.7366,"10,157,980",56.6883,56.9103,56.6497
2015-02-18,56.7462,"10,534,150",56.6208,56.9489,56.1961
2015-02-19,56.2637,"9,835,154",56.7945,56.9296,55.7908
2015-02-20,56.3119,"11,593,440",56.1189,56.4374,55.7136
2015-02-23,56.2637,"8,589,913",56.3505,56.6208,56.1382
2015-02-24,56.3216,"7,708,091",56.447,56.5243,56.0224
2015-02-25,56.447,"8,447,022",56.4181,56.9103,56.0345
2015-02-26,56.9006,"11,488,560",56.6111,57.084,56.6111
2015-02-27,56.4953,"13,059,760",56.8331,56.9971,56.447
2015-03-02,56.5339,"9,666,895",56.254,56.8331,56.2444
2015-03-03,56.3023,"8,240,091",56.5918,56.6497,55.9259
2015-03-04,55.8584,"13,334,370",56.3698,56.6015,55.6653
2015-03-05,55.9549,"11,528,460",56.061,56.2444,55.7812
2015-03-06,54.8547,"10,931,890",55.8294,55.8487,54.7389
2015-03-09,55.26,"8,341,997",54.8547,55.3662,54.3335
2015-03-10,54.6038,"13,109,420",54.9608,55.1925,54.5169
2015-03-11,54.1019,"15,657,450",55.482,55.482,54.0151
2015-03-12,54.2081,"12,953,260",53.8703,54.2563,53.7159
2015-03-13,54.237,"13,019,310",54.073,54.459,53.6966
2015-03-16,55.1249,"11,520,140",54.6038,55.3179,54.6038
2015-03-17,54.4976,"9,992,203",54.9029,54.9029,54.2756
2015-03-18,55.6364,"14,913,250",54.4204,55.9452,54.2467
2015-03-19,56.1768,"14,441,040",55.4241,56.3023,55.038
2015-03-20,56.5339,"26,081,190",56.2058,56.8041,55.7425
2015-03-23,56.6787,"10,658,410",56.3602,57.0743,56.0128
2015-03-24,56.5822,"13,029,710",57.3349,57.6148,56.4664
2015-03-25,56.2251,"14,037,470",57.4218,57.6244,56.1479
2015-03-26,55.5881,"10,563,480",56.0128,56.1672,55.4048
2015-03-27,55.7329,"8,521,944",55.8101,56.1915,55.6171
2015-03-30,56.3023,"8,182,873",56.2154,56.4953,56.1189
2015-03-31,55.4723,"10,458,440",56.1575,56.2733,55.4723
2015-04-01,54.874,"12,701,580",55.26,55.3179,54.2563
2015-04-02,55.1056,"7,582,015",55.0091,55.4435,54.8643
2015-04-06,55.1828,"12,641,140",54.9415,55.3324,54.7292
2015-04-07,55.4241,"9,278,194",55.646,55.8584,55.2986
2015-04-08,55.1539,"13,559,090",55.8873,56.0224,55.0284
2015-04-09,55.4241,"12,003,470",55.2214,55.7126,55.1153
2015-04-10,55.2504,"15,490,390",55.0573,55.6316,54.3528
2015-04-13,54.7485,"10,480,900",55.0863,55.3613,54.5266
2015-04-14,55.7425,"14,640,770",54.9512,55.9645,54.6327
2015-04-15,56.4084,"12,097,790",56.0417,56.8862,56.0417
2015-04-16,55.8198,"6,409,407",56.1768,56.3505,55.7232
2015-04-17,54.8933,"11,660,260",55.3469,55.3565,54.5941
2015-04-20,55.5978,"9,960,513",55.4916,55.9742,55.3855
2015-04-21,55.646,"9,245,988",55.9838,56.0031,55.4048
2015-04-22,55.675,"7,914,568",55.5495,55.8632,55.3179
2015-04-23,55.5013,"8,342,300",55.5109,55.8294,55.0429
2015-04-24,55.5881,"7,866,296",55.8294,56.1575,55.5013
2015-04-27,55.1056,"10,435,830",55.8101,56.0031,54.8933
2015-04-28,57.885,"34,689,180",58.1166,58.3675,57.1516
2015-04-29,57.5955,"17,177,530",57.2577,58.3193,57.1612
2015-04-30,57.4797,"12,992,330",57.7016,58.0394,57.1709
2015-05-01,57.7692,"9,353,207",57.6727,58.271,57.5955
2015-05-04,58.522,"9,024,132",58.0394,58.8211,57.9333
2015-05-05,58.3772,"12,082,380",58.2131,58.5799,57.9622
2015-05-06,58.1552,"11,557,960",58.3386,58.4737,57.8368
2015-05-07,58.1938,"8,989,999",57.9526,58.6088,57.8368
2015-05-08,58.6185,"10,142,710",58.8694,59.2313,58.5799
