Date,Close,Volume,Open,High,Low
2021-12-08,334.97,"24,760,990",335.31,335.5,330.8
2021-12-09,333.1,"22,214,160",334.41,336.489,332.12
2021-12-10,342.54,"38,095,690",334.98,343.0,334.79
2021-12-13,339.4,"28,899,430",340.68,343.79,339.08
2021-12-14,328.34,"44,438,700",333.22,334.64,324.11
2021-12-15,334.65,"35,381,120",328.61,335.19,324.5
2021-12-16,324.9,"35,034,830",335.71,336.76,323.02
2021-12-17,323.8,"47,983,710",320.88,324.92,317.25
2021-12-20,319.91,"28,326,530",320.05,322.8,317.57
2021-12-21,327.29,"24,740,600",323.29,327.73,319.8
2021-12-22,333.2,"24,831,490",328.3,333.605,325.75
2021-12-23,334.69,"19,617,850",332.75,336.39,332.73
2021-12-27,342.45,"19,947,030",335.46,342.48,335.43
2021-12-28,341.25,"15,661,470",343.15,343.81,340.32
2021-12-29,341.95,"15,041,960",341.3,344.3,339.68
2021-12-30,339.32,"15,994,470",341.91,343.13,338.82
2021-12-31,336.32,"18,000,800",338.51,339.355,335.85
2022-01-03,334.75,"28,918,010",335.35,338.0,329.78
2022-01-04,329.01,"32,674,310",334.83,335.2,326.12
2022-01-05,316.38,"40,054,330",325.86,326.07,315.98
2022-01-06,313.88,"39,646,150",313.15,318.7,311.49
2022-01-07,314.04,"32,720,020",314.15,316.5,310.09
2022-01-10,314.27,"44,289,470",309.485,314.72,304.69
2022-01-11,314.98,"29,386,770",313.38,316.61,309.89
2022-01-12,318.27,"34,372,220",319.67,323.41,317.08
2022-01-13,304.8,"45,365,980",320.466,320.88,304.0
2022-01-14,310.2,"39,846,410",304.25,310.82,303.75
2022-01-18,302.65,"42,434,110",304.07,309.8,301.74
2022-01-19,303.33,"45,933,860",306.29,313.9093,302.7
2022-01-20,301.6,"35,380,680",309.07,311.6494,301.14
2022-01-21,296.03,"57,984,400",302.685,304.11,295.61
2022-01-24,296.37,"86,035,390",292.2,297.11,276.05
2022-01-25,288.49,"72,848,640",291.52,294.99,285.17
2022-01-26,296.71,"90,428,850",307.985,308.5,293.03
2022-01-27,299.84,"53,481,320",302.66,307.3,297.93
2022-01-28,308.26,"49,743,700",300.23,308.48,294.45
2022-01-31,310.98,"46,444,540",308.95,312.38,306.37
2022-02-01,308.76,"40,950,400",310.41,310.63,305.1293
2022-02-02,313.46,"36,635,990",309.63,315.12,308.88
2022-02-03,301.25,"43,729,970",309.49,311.23,299.96
2022-02-04,305.94,"35,096,490",300.21,308.8,299.97
2022-02-07,300.95,"28,533,290",306.17,307.84,299.9
2022-02-08,304.56,"32,421,190",301.25,305.561,299.95
2022-02-09,311.21,"31,284,670",309.865,311.93,307.39
2022-02-10,302.38,"45,386,200",304.04,309.12,300.7
2022-02-11,295.04,"39,175,620",303.19,304.29,294.22
2022-02-14,295.0,"36,359,490",293.77,296.76,291.35
2022-02-15,300.47,"27,379,490",300.008,300.8,297.02
2022-02-16,299.5,"29,982,120",298.365,300.87,293.68
2022-02-17,290.73,"32,461,580",296.36,296.8,290.0
2022-02-18,287.93,"34,264,010",293.05,293.86,286.305
2022-02-22,287.72,"41,736,120",285.0,291.54,284.5
2022-02-23,280.27,"37,811,170",290.18,291.7,280.1
2022-02-24,294.59,"56,989,690",272.51,295.16,271.52
2022-02-25,297.31,"32,546,720",295.14,297.63,291.655
2022-02-28,298.79,"34,627,460",294.31,299.14,293.0
2022-03-01,294.95,"31,217,780",296.4,299.97,292.15
2022-03-02,300.19,"31,873,010",295.36,301.47,293.698
2022-03-03,295.92,"27,314,470",302.89,303.13,294.05
2022-03-04,289.86,"32,369,660",294.29,295.66,287.165
2022-03-07,278.91,"43,157,180",288.53,289.69,278.53
2022-03-08,275.85,"48,159,480",277.8,283.96,270.0
2022-03-09,288.5,"35,204,480",283.44,289.6,280.78
2022-03-10,285.59,"30,628,010",283.02,286.6,280.58
2022-03-11,280.07,"27,209,330",287.96,289.51,279.43
2022-03-14,276.44,"30,660,750",280.34,285.3992,275.82
2022-03-15,287.15,"34,245,090",280.35,287.82,278.725
2022-03-16,294.39,"37,826,330",289.11,294.57,283.2
2022-03-17,295.22,"30,816,630",293.29,295.61,289.37
2022-03-18,300.43,"43,390,630",295.37,301.0,292.73
2022-03-21,299.16,"28,351,250",298.89,300.14,294.9
2022-03-22,304.06,"27,599,690",299.8,305.0,298.77
2022-03-23,299.49,"25,715,380",300.51,303.23,297.7201
2022-03-24,304.1,"24,484,460",299.14,304.2,298.315
2022-03-25,303.68,"22,566,450",305.23,305.5,299.2855
2022-03-28,310.7,"29,578,190",304.33,310.8,304.33
2022-03-29,315.41,"30,393,400",313.91,315.82,309.05
2022-03-30,313.86,"28,163,560",313.76,315.95,311.58
2022-03-31,308.31,"33,422,070",313.9,315.14,307.89
2022-04-01,309.42,"27,110,530",309.37,310.13,305.54
2022-04-04,314.97,"24,335,870",310.09,315.11,309.71
2022-04-05,310.88,"23,156,720",313.27,314.865,309.87
2022-04-06,299.5,"40,110,370",305.19,307.0,296.71
2022-04-07,301.37,"31,411,160",296.66,303.65,296.35
2022-04-08,296.97,"24,361,920",300.44,301.12,296.28
2022-04-11,285.26,"34,569,260",291.79,292.61,285.0
2022-04-12,282.06,"30,966,720",289.235,290.739,280.49
2022-04-13,287.62,"21,907,180",282.73,288.58,281.3
2022-04-14,279.83,"28,221,610",288.09,288.305,279.32
2022-04-18,280.52,"20,778,000",278.91,282.46,278.34
2022-04-19,285.3,"22,297,720",279.38,286.17,278.41
2022-04-20,286.36,"22,906,670",289.4,289.7,285.3702
2022-04-21,280.81,"29,454,590",288.58,293.3,280.06
2022-04-22,274.03,"29,405,800",281.68,283.2,273.38
2022-04-25,280.72,"35,678,850",273.29,281.11,270.77
2022-04-26,270.22,"46,518,450",277.5,278.3599,270.0
2022-04-27,283.22,"63,477,690",282.1,290.97,279.16
2022-04-28,289.63,"33,646,570",285.185,290.98,281.4562
2022-04-29,277.52,"37,073,920",288.61,289.88,276.5
2022-05-02,284.47,"35,151,110",277.71,284.94,276.22
2022-05-03,281.78,"25,978,610",283.96,284.13,280.15
2022-05-04,289.98,"33,599,320",282.59,290.88,276.73
2022-05-05,277.35,"43,260,390",285.54,286.35,274.34
2022-05-06,274.73,"37,780,320",274.805,279.25,271.27
2022-05-09,264.58,"47,725,950",270.06,272.36,263.32
2022-05-10,269.5,"39,336,420",271.69,273.75,265.07
2022-05-11,260.55,"48,975,900",265.68,271.36,259.3
2022-05-12,255.35,"51,033,800",257.69,259.88,250.02
2022-05-13,261.12,"34,925,090",257.35,263.04,255.35
2022-05-16,261.5,"32,550,930",259.955,265.82,255.78
2022-05-17,266.82,"28,828,800",266.11,268.33,262.46
2022-05-18,254.08,"31,355,990",263.0,263.6,252.77
2022-05-19,253.14,"32,692,290",253.9,257.67,251.88
2022-05-20,252.56,"39,199,280",257.24,258.54,246.44
2022-05-23,260.65,"33,175,380",255.49,261.5,253.43
2022-05-24,259.62,"29,043,900",257.89,261.33,253.5
2022-05-25,262.52,"28,547,950",258.14,264.58,257.125
2022-05-26,265.9,"25,002,110",262.27,267.11,261.4294
2022-05-27,273.24,"26,910,810",268.48,273.34,267.56
2022-05-31,271.87,"37,827,700",272.53,274.77,268.93
2022-06-01,272.42,"25,292,170",275.195,277.69,270.04
2022-06-02,274.58,"44,008,210",264.45,274.65,261.6
2022-06-03,270.02,"28,058,960",270.31,273.45,268.41
2022-06-06,268.75,"22,400,340",272.06,274.18,267.22
2022-06-07,272.5,"22,860,680",266.635,273.13,265.94
2022-06-08,270.41,"17,372,340",271.71,273.0,269.61
2022-06-09,264.79,"26,439,730",267.78,272.7081,264.63
2022-06-10,252.99,"31,445,840",260.58,260.58,252.53
2022-06-13,242.26,"46,135,790",245.11,249.0242,241.53
2022-06-14,244.49,"28,651,490",243.86,245.74,241.51
2022-06-15,251.76,"33,111,730",248.31,255.3,246.42
2022-06-16,244.97,"33,169,160",245.98,247.4174,243.02
2022-06-17,247.65,"43,084,780",244.7,250.5,244.03
2022-06-21,253.74,"29,928,300",250.255,254.75,249.51
2022-06-22,253.13,"25,961,220",251.89,257.17,250.37
2022-06-23,258.86,"25,861,450",255.57,259.37,253.63
2022-06-24,267.7,"33,923,230",261.808,267.98,261.72
2022-06-27,264.89,"24,615,110",268.205,268.3,263.28
2022-06-28,256.48,"27,380,250",263.98,266.91,256.32
2022-06-29,260.26,"20,069,840",257.59,261.97,255.76
2022-06-30,256.83,"31,730,870",257.05,259.53,252.9
2022-07-01,259.58,"22,837,690",256.39,259.77,254.61
2022-07-05,262.85,"22,971,630",256.16,262.98,254.74
2022-07-06,266.21,"23,824,420",263.75,267.99,262.4
2022-07-07,268.4,"20,859,870",265.12,269.055,265.02
2022-07-08,267.66,"19,658,750",264.79,268.1,263.285
2022-07-11,264.51,"19,519,110",265.65,266.53,262.18
2022-07-12,253.67,"35,868,450",265.88,265.94,252.04
2022-07-13,252.72,"29,497,420",250.19,253.55,248.11
2022-07-14,254.08,"25,102,820",250.57,255.1374,245.94
2022-07-15,256.72,"29,774,050",255.72,260.3699,254.7727
2022-07-18,254.25,"20,975,030",259.75,260.84,253.3
2022-07-19,259.53,"25,012,560",257.575,259.72,253.68
2022-07-20,262.27,"22,788,280",259.9,264.87,258.91
2022-07-21,264.84,"22,404,680",259.79,264.89,257.03
2022-07-22,260.36,"21,881,290",265.24,265.33,259.07
2022-07-25,258.83,"21,056,000",260.995,261.5,256.81
2022-07-26,251.9,"39,347,960",259.86,259.88,249.57
2022-07-27,268.74,"45,994,050",261.16,270.05,258.85
