Date,Close,Volume,Open,High,Low
2021-12-08,90.32,"5,356,519",90.7,90.92,89.59
2021-12-09,89.91,"5,731,213",90.5,90.5,89.51
2021-12-10,90.28,"4,996,753",90.01,90.9,89.8
2021-12-13,91.74,"6,446,514",90.26,92.115,90.14
2021-12-14,90.03,"11,022,620",91.23,91.65,89.45
2021-12-15,92.0,"9,590,049",90.29,92.06,89.58
2021-12-16,92.23,"7,623,333",91.62,92.7,91.52
2021-12-17,90.94,"15,343,330",92.0,92.36,90.74
2021-12-20,89.94,"10,167,720",89.8,90.08,88.505
2021-12-21,90.45,"6,287,882",90.65,91.3391,89.36
2021-12-22,90.8,"4,143,104",90.24,90.88,89.89
2021-12-23,90.7,"5,845,630",90.68,91.31,90.4
2021-12-27,91.32,"5,410,410",90.85,91.35,90.63
2021-12-28,91.88,"3,097,581",91.66,92.1899,91.51
2021-12-29,91.99,"2,945,412",91.95,92.26,91.59
2021-12-30,92.77,"3,716,396",92.23,92.91,91.8125
2021-12-31,93.36,"4,811,867",92.58,93.73,92.5
2022-01-03,91.66,"7,865,567",93.42,93.65,90.54
2022-01-04,90.68,"8,379,249",91.65,91.93,90.62
2022-01-05,89.73,"6,722,525",90.28,91.4953,89.68
2022-01-06,85.77,"12,658,590",89.09,89.36,85.65
2022-01-07,86.41,"13,359,260",85.77,86.865,84.51
2022-01-10,84.29,"11,378,660",85.8,86.36,83.74
2022-01-11,84.79,"8,395,893",83.83,85.01,83.68
2022-01-12,85.09,"6,484,042",84.28,85.81,84.1
2022-01-13,84.9,"7,203,060",85.58,85.81,84.72
2022-01-14,83.2,"11,084,270",84.88,85.145,82.67
2022-01-18,81.25,"10,848,140",82.0,82.17,80.7
2022-01-19,82.59,"9,673,853",81.04,83.351,81.0
2022-01-20,83.51,"12,028,920",83.32,85.275,83.15
2022-01-21,82.6,"12,809,060",83.7,83.93,81.835
2022-01-24,81.92,"14,694,980",81.65,82.045,79.24
2022-01-25,75.1,"22,925,030",78.2,80.19,74.79
2022-01-26,72.64,"24,721,670",76.5,76.5294,72.36
2022-01-27,72.51,"21,252,750",73.3,74.39,72.41
2022-01-28,72.5,"25,537,080",72.32,72.95,69.79
2022-01-31,78.12,"21,787,790",72.91,78.3,72.75
2022-02-01,77.23,"12,082,920",78.04,79.47,76.0265
2022-02-02,77.73,"8,397,670",77.42,78.005,76.83
2022-02-03,75.77,"7,960,725",76.56,77.29,75.43
2022-02-04,76.01,"12,132,130",75.1,76.84,74.54
2022-02-07,75.68,"8,184,500",76.0,76.12,75.3
2022-02-08,75.46,"6,758,461",75.75,76.75,75.22
2022-02-09,76.66,"7,390,923",76.61,77.27,76.32
2022-02-10,75.45,"9,673,297",74.91,76.85,74.7
2022-02-11,74.96,"8,999,327",75.9,76.7,74.67
2022-02-14,74.92,"8,329,188",74.95,75.31,73.875
2022-02-15,75.09,"9,102,501",75.73,76.47,74.74
2022-02-16,75.23,"7,505,070",75.13,75.64,74.48
2022-02-17,75.38,"10,093,090",74.72,75.84,74.485
2022-02-18,74.15,"9,558,597",74.96,75.81,73.815
2022-02-22,73.78,"8,233,368",73.93,74.46,73.27
2022-02-23,72.32,"7,837,056",74.22,74.42,72.22
2022-02-24,75.44,"15,750,420",71.0,75.78,70.7402
2022-02-25,77.16,"12,609,480",76.12,77.24,75.22
2022-02-28,78.27,"16,345,680",77.09,78.87,76.8
2022-03-01,77.44,"13,930,440",78.07,78.83,76.54
2022-03-02,77.55,"6,988,696",77.29,77.81,76.49
2022-03-03,78.79,"10,075,520",77.85,79.355,77.66
2022-03-04,80.21,"8,996,514",78.93,80.45,78.48
2022-03-07,84.18,"19,948,910",80.96,84.39,80.72
2022-03-08,81.95,"14,717,620",84.31,85.4,81.74
2022-03-09,80.32,"12,710,000",82.38,82.48,80.11
2022-03-10,80.16,"9,554,345",79.56,80.46,78.44
2022-03-11,79.3,"7,230,646",80.3,81.09,79.235
2022-03-14,79.28,"7,133,771",79.68,80.6406,78.7
2022-03-15,81.98,"9,567,041",80.2,82.255,80.1
2022-03-16,82.51,"8,261,224",81.85,82.7429,80.84
2022-03-17,82.69,"6,341,919",82.56,83.24,82.42
2022-03-18,82.37,"13,470,790",82.92,83.49,82.24
2022-03-21,81.8,"7,181,684",82.0,82.76,81.485
2022-03-22,82.85,"8,516,858",81.87,82.955,81.42
2022-03-23,82.57,"6,125,879",82.48,83.1,82.01
2022-03-24,83.7,"5,498,108",82.91,83.79,82.76
2022-03-25,83.94,"5,482,368",84.09,84.24,83.21
2022-03-28,84.43,"6,177,702",84.05,84.72,83.675
2022-03-29,84.62,"8,954,273",85.0,85.04,83.65
2022-03-30,85.5,"6,829,267",85.13,85.775,84.63
2022-03-31,84.71,"10,082,910",85.06,86.28,84.71
2022-04-01,85.71,"6,453,765",84.49,85.795,84.125
2022-04-04,85.62,"6,465,738",85.64,85.91,84.64
2022-04-05,86.33,"7,203,263",85.86,87.45,85.72
2022-04-06,86.49,"7,621,879",86.17,86.52,85.4324
2022-04-07,87.08,"7,817,509",86.3,87.29,85.7
2022-04-08,86.09,"5,731,579",87.16,87.52,85.9605
2022-04-11,84.58,"6,745,351",86.15,86.22,84.351
2022-04-12,83.89,"8,714,757",84.45,84.84,83.38
2022-04-13,83.55,"7,858,452",84.37,84.48,83.08
2022-04-14,82.81,"7,164,130",83.55,83.89,82.78
2022-04-18,81.71,"6,279,188",83.0,83.61,81.06
2022-04-19,81.83,"8,104,770",81.76,82.1,81.11
2022-04-20,81.51,"8,457,127",83.03,83.03,81.32
