Date,Close,Volume,Open,High,Low
2014-12-09,49.1114,"17,989,102",47.82,49.3371,47.0028
2014-12-10,47.76,"12,662,332",49.0214,49.2471,47.6657
2014-12-11,47.8043,"11,769,419",48.0128,48.7,47.6557
2014-12-12,47.7828,"13,562,938",47.4171,48.3228,46.98
2014-12-15,46.72,"12,020,243",48.0557,48.4186,46.6186
2014-12-16,45.2057,"16,964,491",46.4271,47.07,45.1428
2014-12-17,47.6643,"20,182,574",45.3757,47.8671,45.0772
2014-12-18,47.7743,"15,621,387",48.4,48.9286,47.2328
2014-12-19,48.5886,"14,943,149",47.9,48.72,47.6214
2014-12-22,48.0971,"8,002,584",48.5428,49.24,47.7486
2014-12-23,48.0614,"8,307,966",48.2871,48.4279,47.4728
2014-12-24,48.8714,"5,412,409",48.0728,49.07,47.9986
2014-12-26,48.5786,"8,843,278",48.8443,49.4842,48.5343
2014-12-29,48.8471,"8,589,290",47.97,49.1043,47.6528
2014-12-30,49.0328,"7,007,541",48.7143,49.14,48.5388
2014-12-31,48.8014,"8,582,717",49.0328,49.3914,48.7871
2015-01-02,49.8486,"13,322,173",49.1514,50.3314,48.7314
2015-01-05,47.3114,"18,107,696",49.2586,49.2586,47.1472
2015-01-06,46.5014,"15,984,680",47.3471,47.64,45.6614
2015-01-07,46.7428,"9,832,490",47.3471,47.4214,46.2714
2015-01-08,47.7793,"9,622,448",47.12,47.8357,46.4786
2015-01-09,47.0414,"9,574,337",47.6314,48.02,46.8986
2015-01-12,45.5471,"12,940,624",47.09,47.1986,45.2643
2015-01-13,46.2557,"18,725,580",46.0214,47.0482,45.9
2015-01-14,46.32,"19,878,095",47.0714,47.37,45.68
2015-01-15,46.2514,"11,674,072",46.5471,46.7857,45.8443
2015-01-16,48.1914,"19,689,956",46.8571,48.25,46.3814
2015-01-20,49.8286,"38,322,981",48.5714,50.0,47.7143
2015-01-21,58.4686,"66,857,545",59.2343,59.24,57.41
2015-01-22,61.2057,"33,276,323",58.5714,61.3743,57.8286
2015-01-23,62.4936,"26,763,437",60.9886,62.7428,60.8814
2015-01-26,63.7943,"21,250,620",62.5714,63.8986,61.9571
