Date,Close,Volume,Open,High,Low
2021-12-08,170.25,"5,614,587",171.22,171.7899,169.84
2021-12-09,168.1,"5,171,776",169.29,171.165,167.99
2021-12-10,169.06,"4,791,125",168.5,170.24,167.33
2021-12-13,166.84,"5,972,321",168.81,169.39,165.26
2021-12-14,165.4,"4,872,209",166.29,167.08,164.21
2021-12-15,163.9,"7,144,617",165.0,165.67,161.82
2021-12-16,162.72,"7,138,109",162.7,165.94,162.53
2021-12-17,161.36,"7,720,005",161.63,162.86,160.55
2021-12-20,156.98,"8,411,896",159.34,159.6,155.47
2021-12-21,166.63,"13,862,890",166.69,171.19,164.71
2021-12-22,165.44,"5,811,307",167.24,169.0,164.09
2021-12-23,165.67,"3,876,949",166.25,167.16,165.44
2021-12-27,167.58,"3,771,988",166.52,167.69,165.48
2021-12-28,166.42,"2,658,714",167.8,168.25,166.3
2021-12-29,168.78,"3,830,888",167.07,169.8,166.6
2021-12-30,167.49,"2,666,993",168.31,170.12,167.2
2021-12-31,166.67,"2,751,992",167.56,167.72,166.21
2022-01-03,164.67,"5,671,928",167.53,167.91,163.31
2022-01-04,166.39,"6,064,160",165.88,167.18,165.0
2022-01-05,162.25,"5,020,982",166.49,167.01,162.095
2022-01-06,161.04,"4,144,691",162.09,163.19,159.06
2022-01-07,156.97,"5,107,978",160.77,161.14,156.86
2022-01-10,150.44,"10,439,020",150.52,151.33,148.775
2022-01-11,150.3,"8,175,396",150.48,150.84,147.6
2022-01-12,152.21,"6,351,196",152.13,153.46,150.74
2022-01-13,149.59,"4,990,890",153.2,153.6,149.02
2022-01-14,148.18,"6,030,546",148.39,148.84,146.8538
2022-01-18,146.95,"6,931,656",148.06,148.83,146.3
2022-01-19,145.11,"4,823,829",147.76,149.1,145.02
2022-01-20,142.73,"5,366,458",145.46,147.3802,142.5
2022-01-21,142.95,"7,553,373",144.32,146.359,142.85
2022-01-24,146.0,"9,757,308",140.81,146.31,139.56
2022-01-25,145.48,"8,195,354",144.97,147.96,142.515
2022-01-26,143.99,"7,444,563",147.78,148.97,142.73
2022-01-27,144.64,"6,397,336",144.99,147.35,143.58
2022-01-28,145.91,"6,130,224",144.12,146.03,140.61
2022-01-31,148.07,"6,932,237",146.27,148.18,145.22
2022-02-01,148.22,"6,694,995",149.5,149.68,146.8
2022-02-02,148.71,"5,491,706",148.35,149.46,147.53
2022-02-03,145.31,"5,240,222",147.4,148.46,144.9701
2022-02-04,145.39,"4,313,382",145.37,146.48,143.64
2022-02-07,145.14,"3,877,540",145.3,146.12,144.215
2022-02-08,143.53,"5,829,362",144.74,145.5,142.3
2022-02-09,146.26,"4,551,008",146.11,147.36,145.67
2022-02-10,144.82,"5,142,578",143.96,147.54,143.85
2022-02-11,140.18,"6,710,525",144.76,145.055,139.56
2022-02-14,141.59,"6,841,153",140.08,143.21,139.79
2022-02-15,145.58,"7,820,539",144.22,146.32,144.1
2022-02-16,146.49,"4,817,452",145.024,146.95,144.61
2022-02-17,142.8,"5,202,282",145.54,146.91,142.6401
2022-02-18,142.95,"5,177,403",143.37,143.94,141.81
2022-02-22,138.19,"9,604,537",141.59,141.64,136.16
2022-02-23,136.83,"7,636,623",139.66,140.97,136.51
2022-02-24,137.17,"8,417,400",133.0,137.42,130.932
2022-02-25,138.8,"5,424,604",138.13,139.22,136.19
2022-02-28,136.55,"6,613,321",137.06,138.38,135.04
2022-03-01,132.22,"6,534,047",136.72,136.75,131.15
2022-03-02,135.68,"7,743,861",132.98,136.61,132.77
2022-03-03,133.97,"4,576,504",136.74,136.8,133.45
2022-03-04,131.18,"7,085,912",132.51,133.62,130.7
2022-03-07,124.44,"11,383,410",131.0,131.03,124.17
2022-03-08,121.21,"9,089,353",125.24,125.47,120.8
2022-03-09,126.95,"8,845,072",127.38,129.65,126.63
2022-03-10,126.03,"7,167,615",124.02,126.6,124.0
2022-03-11,122.63,"5,882,024",127.01,127.8692,122.51
2022-03-14,117.57,"13,884,870",121.525,122.445,116.75
2022-03-15,119.4,"10,431,260",119.84,120.42,117.75
2022-03-16,125.19,"11,100,450",122.85,126.11,121.93
2022-03-17,127.41,"6,845,323",124.94,127.41,123.7
2022-03-18,131.24,"10,350,900",126.85,131.46,126.7
2022-03-21,130.19,"14,388,530",129.72,132.31,128.62
2022-03-22,133.09,"19,731,210",137.28,139.0,132.985
2022-03-23,133.0,"8,068,788",132.64,135.4,131.2
2022-03-24,132.08,"5,853,825",133.75,134.19,131.2
2022-03-25,133.7,"6,287,777",133.05,133.87,131.71
2022-03-28,134.81,"5,804,051",133.76,134.86,132.1709
