Date,Close,Volume,Open,High,Low
2014-12-09,0.5182,"239,447,520",0.5168,0.5195,0.509
2014-12-10,0.5068,"204,703,320",0.5168,0.5188,0.5061
2014-12-11,0.5065,"135,652,080",0.5098,0.5133,0.5055
2014-12-12,0.4908,"324,138,480",0.4997,0.5043,0.4903
2014-12-15,0.4893,"253,379,560",0.4965,0.5055,0.4878
2014-12-16,0.4836,"185,289,040",0.4888,0.4965,0.4835
2014-12-17,0.5035,"345,597,400",0.4935,0.5043,0.4775
2014-12-18,0.5055,"225,326,280",0.5098,0.5158,0.5008
2014-12-19,0.5105,"325,140,840",0.509,0.5125,0.5043
2014-12-22,0.5195,"148,974,280",0.51,0.5195,0.5082
2014-12-23,0.5162,"109,279,320",0.5235,0.526,0.5156
2014-12-24,0.5142,"45,645,120",0.5175,0.5181,0.5138
2014-12-26,0.5148,"52,644,000",0.5142,0.5175,0.513
2014-12-29,0.514,"83,321,120",0.5133,0.5175,0.5108
2014-12-30,0.5093,"112,112,400",0.5105,0.513,0.5085
2014-12-31,0.5013,"166,318,320",0.51,0.5128,0.4997
2015-01-02,0.5032,"113,660,480",0.5032,0.507,0.4953
2015-01-05,0.4948,"196,877,960",0.5032,0.5048,0.4925
2015-01-06,0.4798,"197,762,440",0.4955,0.496,0.4793
2015-01-07,0.4784,"321,799,440",0.4832,0.4875,0.477
2015-01-08,0.4965,"283,781,360",0.484,0.4995,0.4838
2015-01-09,0.4985,"209,540,040",0.4983,0.5022,0.4914
2015-01-12,0.4923,"190,732,280",0.4997,0.4999,0.4878
2015-01-13,0.4914,"236,718,400",0.496,0.506,0.4881
2015-01-14,0.4935,"155,261,240",0.4863,0.495,0.485
2015-01-15,0.49,"188,932,480",0.497,0.5,0.4898
2015-01-16,0.499,"181,512,000",0.4893,0.4995,0.4878
2015-01-20,0.5005,"140,306,760",0.5025,0.5053,0.4943
2015-01-21,0.5075,"144,779,760",0.4978,0.5088,0.4943
2015-01-22,0.5162,"159,712,400",0.5085,0.5176,0.5032
2015-01-23,0.5178,"120,410,600",0.5168,0.5186,0.5125
2015-01-26,0.5154,"133,222,320",0.5155,0.518,0.5122
2015-01-27,0.4908,"357,884,840",0.5075,0.508,0.4898
2015-01-28,0.4828,"272,706,560",0.4968,0.4988,0.4825
2015-01-29,0.4945,"235,341,240",0.483,0.4973,0.4808
2015-01-30,0.4801,"298,190,720",0.491,0.4967,0.4793
2015-02-02,0.4905,"259,603,560",0.483,0.4925,0.4735
2015-02-03,0.5028,"183,466,800",0.494,0.5032,0.4915
2015-02-04,0.504,"181,494,880",0.5013,0.5096,0.4996
2015-02-05,0.5121,"140,437,400",0.5045,0.5125,0.504
2015-02-06,0.51,"210,522,920",0.5118,0.5178,0.5078
2015-02-09,0.5095,"273,967,720",0.507,0.511,0.5038
2015-02-10,0.5238,"226,196,640",0.51,0.524,0.5078
2015-02-11,0.5202,"319,807,280",0.525,0.525,0.5168
2015-02-12,0.5575,"676,881,600",0.55,0.5625,0.5468
2015-02-13,0.5577,"310,085,960",0.5563,0.5585,0.5478
2015-02-17,0.5594,"203,334,640",0.5567,0.5623,0.5533
2015-02-18,0.553,"170,948,160",0.5588,0.5598,0.552
2015-02-19,0.5544,"169,414,360",0.56,0.561,0.552
2015-02-20,0.5584,"157,688,720",0.554,0.5588,0.55
2015-02-23,0.554,"125,009,320",0.5583,0.5583,0.5513
2015-02-24,0.5577,"149,330,720",0.554,0.5577,0.549
2015-02-25,0.5535,"123,789,040",0.5555,0.558,0.5509
2015-02-26,0.555,"152,835,880",0.554,0.5581,0.5505
2015-02-27,0.5515,"157,490,920",0.5535,0.5548,0.5495
2015-03-02,0.5649,"301,461,240",0.55,0.568,0.5493
2015-03-03,0.5545,"160,345,520",0.5607,0.5635,0.5527
2015-03-04,0.5607,"226,837,880",0.5525,0.562,0.5503
2015-03-05,0.5715,"323,054,520",0.5607,0.5725,0.5593
2015-03-06,0.5638,"257,312,280",0.5683,0.571,0.5631
2015-03-09,0.5653,"222,387,720",0.564,0.5695,0.5628
2015-03-10,0.5749,"527,190,800",0.5678,0.5787,0.5668
2015-03-11,0.572,"262,118,600",0.575,0.5825,0.5704
2015-03-12,0.5668,"406,932,800",0.5665,0.5707,0.556
2015-03-13,0.5675,"359,287,520",0.564,0.569,0.5563
2015-03-16,0.5743,"236,949,320",0.572,0.5777,0.5683
2015-03-17,0.5813,"299,939,920",0.573,0.5815,0.569
2015-03-18,0.5718,"413,822,800",0.5813,0.5843,0.5665
