Date,Close,Volume,Open,High,Low
2021-12-08,166.52,"3,891,904",166.14,166.69,164.03
2021-12-09,166.31,"3,644,496",165.92,166.88,164.85
2021-12-10,168.97,"5,025,801",167.54,169.12,166.9
2021-12-13,169.81,"5,411,817",168.93,171.255,168.05
2021-12-14,169.39,"4,984,951",169.35,170.39,168.3
2021-12-15,171.57,"5,507,820",169.77,171.78,169.46
2021-12-16,171.82,"6,909,923",171.57,173.56,171.02
2021-12-17,168.3,"10,181,240",171.11,172.38,168.05
2021-12-20,169.42,"5,263,606",167.158,169.5,166.75
2021-12-21,168.92,"3,401,433",169.23,169.6025,167.775
2021-12-22,169.97,"4,362,937",168.96,169.99,168.27
2021-12-23,169.78,"3,241,793",169.978,170.63,169.25
2021-12-27,171.47,"2,868,961",169.985,171.56,169.765
2021-12-28,172.36,"2,333,095",171.46,172.79,171.2
2021-12-29,172.97,"2,299,691",172.79,173.46,171.93
2021-12-30,172.67,"1,988,984",173.54,173.62,172.23
2021-12-31,173.71,"2,914,941",172.46,174.015,172.11
2022-01-03,172.98,"5,489,586",172.2,173.19,170.565
2022-01-04,173.23,"4,717,843",172.66,174.45,172.2
2022-01-05,173.82,"6,564,551",173.355,175.36,173.23
2022-01-06,173.86,"4,288,788",173.91,175.6,173.2275
2022-01-07,174.08,"4,916,044",174.09,174.69,172.61
2022-01-10,174.17,"5,056,068",174.436,175.84,173.62
2022-01-11,174.09,"6,452,499",173.684,174.23,171.62
2022-01-12,173.9,"5,267,988",173.9,174.33,172.95
2022-01-13,174.18,"4,310,283",173.71,174.6861,173.24
2022-01-14,175.64,"4,474,579",174.57,175.94,173.4
2022-01-18,173.96,"5,790,386",173.62,174.76,173.15
2022-01-19,175.21,"6,424,470",173.96,175.96,173.57
2022-01-20,173.94,"6,284,161",175.41,176.88,173.84
2022-01-21,174.22,"6,753,166",175.327,177.24,174.11
2022-01-24,173.33,"9,272,361",175.49,176.5,168.96
2022-01-25,171.34,"6,536,944",172.08,172.48,169.74
2022-01-26,169.53,"6,841,794",169.36,171.81,166.45
2022-01-27,169.37,"6,545,927",170.78,173.28,168.78
2022-01-28,172.67,"5,796,013",168.51,172.73,167.21
2022-01-31,173.52,"5,908,136",170.77,174.11,170.59
2022-02-01,172.34,"5,952,749",173.15,173.43,169.56
2022-02-02,175.47,"5,766,988",172.76,175.64,172.57
2022-02-03,175.37,"4,632,699",175.27,176.66,173.83
2022-02-04,172.49,"4,592,442",173.1,174.89,171.19
2022-02-07,171.81,"4,813,468",172.74,172.99,171.21
2022-02-08,172.02,"3,957,685",172.63,172.64,170.31
2022-02-09,171.94,"6,780,166",172.5,172.78,171.01
2022-02-10,168.37,"7,899,839",168.655,171.45,167.3
2022-02-11,168.58,"7,299,574",168.06,170.31,167.6901
2022-02-14,166.7,"6,822,570",169.415,169.675,165.1
2022-02-15,165.96,"4,943,851",167.217,168.25,165.261
2022-02-16,166.3,"4,161,755",165.63,167.195,164.54
2022-02-17,166.75,"5,156,836",166.01,167.9523,165.0
2022-02-18,167.71,"5,181,629",167.11,168.235,166.22
2022-02-22,168.35,"7,734,132",168.57,168.94,166.23
2022-02-23,166.69,"5,813,018",169.12,169.12,166.52
2022-02-24,163.79,"8,888,796",165.71,166.34,160.285
2022-02-25,168.38,"6,535,637",164.42,168.46,164.26
2022-02-28,163.74,"7,676,988",164.04,165.21,161.405
2022-03-01,162.27,"5,108,127",163.07,164.4,161.3
2022-03-02,164.52,"5,452,091",162.98,165.82,162.49
2022-03-03,163.27,"5,352,221",163.97,165.19,162.8
2022-03-04,165.75,"6,341,095",162.0,166.5,160.92
2022-03-07,162.45,"6,319,483",164.07,165.15,162.13
2022-03-08,157.87,"6,163,724",162.38,163.97,157.69
2022-03-09,157.4,"5,764,927",159.81,160.06,156.4
2022-03-10,154.51,"6,103,671",155.79,156.25,153.37
2022-03-11,153.73,"4,762,675",155.45,156.885,153.48
2022-03-14,155.89,"6,075,566",155.15,157.8,154.5
2022-03-15,159.0,"6,203,356",157.32,159.5,156.83
2022-03-16,159.7,"6,299,191",158.41,159.99,157.04
2022-03-17,160.94,"3,587,628",159.83,161.63,159.3
2022-03-18,162.79,"12,123,180",161.38,162.93,160.06
2022-03-21,162.56,"5,122,570",162.27,163.81,161.075
2022-03-22,164.34,"5,779,187",162.84,164.77,162.23
2022-03-23,163.48,"4,533,800",164.248,165.275,162.63
2022-03-24,164.47,"3,160,320",164.06,164.73,163.27
2022-03-25,165.24,"4,147,791",164.43,165.9,164.43
2022-03-28,165.73,"4,308,007",165.1,165.77,163.71
2022-03-29,168.19,"4,440,480",167.29,168.58,166.37
2022-03-30,167.96,"3,871,556",168.1,168.24,166.115
2022-03-31,167.38,"6,076,177",168.37,169.3,167.27
2022-04-01,169.76,"3,239,641",167.89,169.93,167.37
2022-04-04,169.32,"3,759,985",169.11,169.39,167.45
2022-04-05,169.5,"4,480,879",168.32,171.38,168.32
2022-04-06,172.39,"4,294,868",169.92,172.7,169.485
2022-04-07,172.55,"5,041,686",172.03,173.28,170.78
2022-04-08,173.13,"3,883,183",172.99,173.69,171.59
2022-04-11,172.6,"3,825,328",173.61,174.97,172.32
2022-04-12,173.3,"3,924,333",173.78,174.65,172.63
2022-04-13,173.0,"4,394,054",173.58,173.82,171.73
2022-04-14,171.9,"4,834,298",173.48,174.26,171.76
2022-04-18,170.42,"3,086,009",171.22,172.31,169.96
2022-04-19,172.9,"3,641,992",169.84,173.165,169.84
2022-04-20,175.47,"4,197,764",173.72,175.97,173.72
2022-04-21,174.84,"3,701,297",175.76,177.24,174.65
2022-04-22,172.15,"5,864,027",174.99,175.27,171.94
2022-04-25,173.74,"7,369,911",173.21,173.92,171.0
2022-04-26,173.3,"7,386,563",173.97,175.3486,172.73
2022-04-27,174.85,"5,180,479",173.42,176.69,173.19
2022-04-28,177.5,"5,235,831",174.53,177.62,173.82
2022-04-29,171.71,"6,505,570",177.41,177.41,171.41
2022-05-02,167.76,"7,692,131",172.995,173.46,165.27
2022-05-03,167.99,"5,564,864",169.14,169.31,166.58
2022-05-04,173.86,"6,231,681",167.61,174.12,167.61
2022-05-05,170.39,"6,534,321",173.1,173.32,169.08
2022-05-06,170.41,"5,824,752",169.24,170.8,168.72
2022-05-09,171.7,"7,269,081",169.66,172.885,168.76
2022-05-10,171.49,"5,936,727",173.12,174.54,170.75
2022-05-11,170.66,"5,376,851",170.82,172.41,169.92
2022-05-12,170.4,"6,473,535",171.25,171.99,168.16
2022-05-13,173.72,"4,714,614",170.7,174.16,169.46
2022-05-16,175.47,"5,317,216",173.71,176.3,173.4201
2022-05-17,174.46,"5,012,159",175.31,175.68,172.58
2022-05-18,163.65,"8,875,409",173.686,173.87,162.92
2022-05-19,161.2,"6,423,817",162.5,162.78,159.6656
2022-05-20,162.21,"5,768,823",162.24,163.06,159.62
2022-05-23,165.6,"4,657,761",164.21,166.95,163.57
2022-05-24,167.82,"6,327,782",166.02,168.255,165.1555
2022-05-25,168.97,"5,781,034",167.85,169.49,166.96
2022-05-26,170.11,"5,193,863",168.96,171.09,168.96
2022-05-27,171.77,"6,713,600",171.26,171.81,170.2
2022-05-31,167.75,"13,609,990",170.98,170.98,165.37
2022-06-01,166.49,"5,613,940",168.18,168.38,163.82
2022-06-02,166.68,"4,677,458",165.62,166.75,162.645
2022-06-03,164.85,"4,222,131",165.859,166.59,164.36
2022-06-06,165.54,"3,447,947",166.46,167.62,164.725
2022-06-07,166.56,"4,168,296",165.68,166.86,164.22
2022-06-08,165.73,"2,646,900",165.74,166.81,165.11
2022-06-09,162.78,"3,522,973",165.19,166.93,162.67
2022-06-10,162.52,"5,204,718",160.97,163.918,159.45
2022-06-13,159.74,"6,300,708",160.53,162.87,159.06
2022-06-14,156.12,"6,159,174",160.0,160.05,154.8576
2022-06-15,157.79,"5,940,075",157.92,159.84,155.93
2022-06-16,157.03,"7,207,930",156.63,158.46,155.11
2022-06-17,157.06,"9,881,835",157.03,158.99,156.165
