Date,Close,Volume,Open,High,Low
2021-12-08,51.4,"37,429,200",52.75,53.08,51.03
2021-12-09,52.08,"38,325,660",51.51,52.845,51.51
2021-12-10,52.78,"26,079,360",51.2,52.85,51.11
2021-12-13,55.2,"54,923,240",53.44,55.73,53.44
2021-12-14,55.54,"48,685,670",54.77,55.95,54.316
2021-12-15,58.8,"75,202,910",56.11,58.915,55.89
2021-12-16,61.25,"75,183,650",58.36,61.43,57.75
2021-12-17,59.48,"104,320,200",59.93,61.19,58.7
2021-12-20,61.02,"55,712,220",60.6,61.71,59.83
2021-12-21,58.95,"63,877,880",60.01,60.04,57.16
2021-12-22,59.55,"62,594,920",59.25,60.585,58.22
2021-12-23,58.71,"39,203,200",59.82,60.08,58.31
2021-12-27,59.2,"27,362,580",58.85,59.38,58.231
2021-12-28,58.01,"36,901,700",59.05,59.45,57.08
2021-12-29,57.58,"26,170,220",57.31,58.03,57.07
2021-12-30,58.4,"24,559,000",57.75,58.74,57.53
2021-12-31,59.05,"28,579,620",58.53,59.8,58.44
2022-01-03,56.65,"57,253,150",58.5,58.55,56.34
2022-01-04,54.53,"66,993,080",56.22,56.43,53.94
2022-01-05,55.63,"52,956,420",55.84,56.44,55.37
2022-01-06,54.84,"37,000,390",55.16,55.63,54.49
2022-01-07,55.72,"27,703,370",55.36,55.77,54.63
2022-01-10,56.24,"34,044,650",55.71,56.26,54.74
2022-01-11,56.69,"33,576,630",56.75,57.43,55.81
2022-01-12,56.65,"27,608,530",56.34,57.16,55.9
2022-01-13,55.54,"28,117,940",56.53,56.75,55.22
2022-01-14,54.95,"27,072,550",54.98,55.38,54.51
2022-01-18,54.11,"35,607,020",54.5,54.55,53.43
2022-01-19,53.54,"27,300,370",53.65,54.49,53.45
2022-01-20,54.05,"35,105,320",53.96,54.515,53.07
2022-01-21,52.79,"41,058,970",54.42,54.865,52.4637
2022-01-24,51.54,"59,080,740",51.75,52.06,49.815
2022-01-25,52.54,"43,983,170",51.36,52.835,51.24
2022-01-26,53.01,"39,644,850",52.57,53.62,52.455
2022-01-27,53.37,"36,957,200",53.02,54.58,53.0
2022-01-28,54.33,"28,590,400",53.77,54.67,53.1
2022-01-31,52.69,"38,644,580",54.0,54.14,52.385
2022-02-01,53.07,"27,883,330",52.74,53.16,52.39
2022-02-02,53.86,"32,039,350",52.84,54.13,52.45
2022-02-03,53.38,"22,635,800",53.325,53.89,53.09
2022-02-04,53.0,"24,932,160",53.02,53.43,52.63
2022-02-07,53.21,"32,358,540",53.3,53.5776,52.24
2022-02-08,51.7,"67,921,970",50.64,51.8,49.69
2022-02-09,51.47,"38,522,210",51.64,51.715,50.9
2022-02-10,50.6,"34,200,600",51.04,51.37,50.39
2022-02-11,50.78,"34,997,790",50.33,51.24,50.075
2022-02-14,49.8,"42,973,120",49.82,50.5,48.48
2022-02-15,49.79,"29,161,060",49.8,50.0399,49.21
2022-02-16,49.68,"27,672,590",49.59,50.775,49.43
2022-02-17,48.9,"21,231,670",49.81,49.96,48.75
2022-02-18,48.53,"26,955,310",48.78,49.515,48.2
2022-02-22,47.53,"34,814,810",47.54,48.31,47.345
2022-02-23,46.87,"25,792,980",47.59,48.16,46.78
2022-02-24,45.96,"44,227,350",45.86,46.755,45.4
2022-02-25,47.72,"31,199,190",45.81,48.03,45.74
2022-02-28,46.94,"35,296,050",46.82,47.17,46.34
2022-03-01,45.75,"29,854,510",46.69,47.1368,45.44
2022-03-02,47.7,"36,516,150",46.11,47.93,46.0
2022-03-03,47.83,"30,553,340",47.68,48.585,47.48
2022-03-04,48.65,"33,222,900",47.5,48.77,47.41
2022-03-07,47.98,"33,171,300",48.25,48.84,47.515
2022-03-08,47.44,"32,913,300",47.58,48.4182,46.465
2022-03-09,48.75,"24,718,920",48.13,49.22,48.0
2022-03-10,49.2,"24,542,340",48.305,49.29,48.05
2022-03-11,50.27,"33,701,930",49.14,50.9,48.9425
2022-03-14,52.25,"42,314,540",50.72,52.91,50.39
2022-03-15,52.21,"30,172,130",52.62,52.92,51.18
2022-03-16,52.92,"29,891,420",52.54,53.27,52.18
2022-03-17,54.24,"30,598,580",52.92,54.25,52.79
2022-03-18,54.51,"51,814,970",54.38,55.0,53.705
2022-03-21,54.19,"34,592,460",54.24,55.3,53.9
2022-03-22,53.04,"32,253,610",54.2,54.32,52.495
2022-03-23,52.19,"29,183,690",53.02,53.5,52.155
2022-03-24,52.59,"25,177,480",52.54,52.845,52.29
2022-03-25,52.78,"17,435,470",52.74,53.25,52.51
2022-03-28,53.28,"21,863,710",52.53,53.56,52.5
2022-03-29,52.74,"39,970,030",54.0,54.08,52.62
2022-03-30,52.44,"27,599,650",53.2,53.7199,51.9701
2022-03-31,51.77,"26,055,230",52.0,52.875,51.74
2022-04-01,51.57,"19,073,140",52.12,52.16,51.1
2022-04-04,50.94,"20,491,540",51.78,51.87,50.37
2022-04-05,51.24,"21,176,710",50.81,52.15,50.75
2022-04-06,52.87,"31,717,520",51.16,53.09,51.16
2022-04-07,55.16,"36,305,670",52.5,55.41,52.5
2022-04-08,55.17,"24,612,250",54.85,55.58,54.46
2022-04-11,53.93,"22,054,310",55.46,56.32,53.775
2022-04-12,53.11,"22,810,730",53.3,53.93,52.645
2022-04-13,53.1,"15,777,810",53.13,53.82,52.7
2022-04-14,53.12,"17,240,120",53.4,53.9094,53.04
2022-04-18,51.84,"17,065,050",52.83,53.11,51.63
2022-04-19,50.18,"33,441,510",51.66,51.88,49.37
2022-04-20,49.75,"24,751,800",50.0,50.16,49.21
2022-04-21,49.11,"19,105,580",49.93,50.01,48.92
2022-04-22,48.13,"22,156,800",48.95,49.1,47.9
2022-04-25,48.95,"27,390,590",47.85,49.19,47.12
2022-04-26,49.03,"25,366,480",48.99,50.25,48.92
2022-04-27,49.74,"25,819,240",49.11,49.91,48.21
2022-04-28,50.51,"28,227,720",50.44,50.7699,49.485
2022-04-29,49.07,"28,343,300",49.87,50.335,49.0
2022-05-02,48.34,"36,228,410",47.68,48.76,47.46
2022-05-03,49.29,"33,716,940",48.87,50.04,47.7
2022-05-04,49.66,"28,613,660",48.89,49.87,47.91
2022-05-05,48.45,"28,333,000",49.46,49.55,47.55
2022-05-06,49.04,"19,891,430",48.09,49.215,48.04
2022-05-09,48.64,"25,012,350",48.38,49.17,47.77
2022-05-10,49.49,"27,335,890",49.04,49.9,48.685
2022-05-11,49.45,"29,699,500",49.07,50.235,49.03
2022-05-12,50.39,"33,468,440",49.0,50.43,48.72
2022-05-13,49.92,"22,423,690",50.38,50.79,49.68
2022-05-16,50.67,"19,435,570",49.87,51.05,49.87
2022-05-17,51.34,"19,918,200",50.95,51.52,50.18
2022-05-18,50.4,"22,275,990",51.22,51.42,50.16
2022-05-19,50.65,"19,865,520",50.0,50.885,49.59
2022-05-20,52.47,"31,250,360",51.265,52.6999,51.13
2022-05-23,52.88,"24,035,840",52.58,53.695,52.48
2022-05-24,53.41,"26,729,780",52.71,53.608,52.71
2022-05-25,53.71,"24,003,920",53.2,54.05,53.045
2022-05-26,53.99,"23,516,310",54.06,54.92,53.88
2022-05-27,53.91,"21,407,510",53.92,54.405,53.515
2022-05-31,53.04,"66,058,200",53.32,53.495,51.94
2022-06-01,52.37,"17,430,570",53.25,53.28,51.835
2022-06-02,52.68,"21,903,360",52.37,52.74,51.0415
2022-06-03,53.2,"18,124,960",52.46,53.53,52.46
2022-06-06,53.26,"16,544,400",53.19,53.715,53.0
2022-06-07,53.96,"15,091,190",53.28,53.97,53.01
2022-06-08,53.47,"12,789,800",54.06,54.56,53.41
2022-06-09,51.78,"17,578,110",53.265,53.65,51.7
2022-06-10,49.97,"23,832,190",51.31,51.37,49.95
2022-06-13,47.91,"26,988,990",48.82,49.28,47.71
2022-06-14,47.92,"23,290,330",47.75,48.465,47.22
2022-06-15,48.51,"25,748,000",47.88,48.98,47.18
2022-06-16,47.48,"20,424,510",47.69,48.0,47.055
2022-06-17,46.53,"45,047,690",47.38,48.03,46.28
2022-06-21,48.11,"19,622,150",47.32,48.44,46.954
2022-06-22,49.07,"20,384,880",48.03,49.579,47.7708
2022-06-23,50.09,"20,061,650",49.23,50.17,48.98
2022-06-24,51.59,"24,343,180",50.65,51.64,50.3
2022-06-27,51.88,"16,154,270",51.48,52.225,51.26
2022-06-28,50.66,"16,458,770",51.83,51.97,50.41
2022-06-29,50.94,"13,925,670",50.73,51.44,50.66
2022-06-30,52.43,"33,495,730",51.69,52.885,51.085
2022-07-01,52.31,"16,143,270",52.04,52.37,51.25
2022-07-05,51.64,"18,407,850",51.75,51.89,50.4
2022-07-06,52.75,"21,305,530",51.64,52.96,51.58
2022-07-07,53.42,"17,847,630",52.95,53.54,52.79
2022-07-08,53.17,"11,322,700",53.05,53.92,52.76
2022-07-11,52.89,"12,924,940",53.0,53.74,52.75
2022-07-12,52.04,"14,633,530",52.69,52.78,51.705
2022-07-13,51.79,"12,927,320",51.86,52.31,51.51
2022-07-14,51.39,"14,023,840",50.75,51.59,50.63
2022-07-15,51.75,"19,885,710",51.04,51.91,50.43
2022-07-18,50.75,"15,742,860",51.96,51.97,50.52
