Date,Close,Volume,Open,High,Low
2021-12-08,152.43,"8,329,342",151.67,152.66,150.28
2021-12-09,153.32,"8,334,318",152.31,154.19,151.6
2021-12-10,155.46,"7,172,321",153.855,155.8,153.43
2021-12-13,157.67,"8,944,147",155.3,158.33,154.91
2021-12-14,158.25,"8,677,544",157.9,158.6284,156.66
2021-12-15,158.86,"9,152,566",157.64,159.64,157.64
2021-12-16,161.11,"10,852,860",158.73,161.32,158.42
2021-12-17,157.46,"24,352,820",160.66,161.72,157.31
2021-12-20,157.86,"9,202,608",156.6,158.46,156.568
2021-12-21,157.76,"6,946,009",157.65,158.15,156.79
2021-12-22,159.32,"6,626,414",157.77,159.58,157.27
2021-12-23,160.1,"5,640,972",159.5,160.92,159.44
2021-12-27,161.97,"4,548,828",160.67,161.99,160.61
2021-12-28,162.84,"5,929,835",161.96,163.38,161.94
2021-12-29,164.19,"5,346,427",163.21,164.98,163.08
2021-12-30,162.77,"5,911,500",164.4,164.59,162.61
2021-12-31,163.58,"5,327,027",162.86,163.73,162.46
2022-01-03,162.9,"9,317,892",161.69,162.94,159.88
2022-01-04,163.47,"9,253,754",162.29,164.39,162.18
2022-01-05,164.21,"9,330,245",163.44,165.32,163.4
2022-01-06,162.83,"7,555,999",164.34,165.2,162.61
2022-01-07,162.74,"6,098,455",163.13,163.53,161.95
2022-01-10,160.52,"8,054,984",162.51,163.12,160.17
2022-01-11,158.66,"11,957,890",160.22,160.22,156.91
2022-01-12,159.01,"7,126,650",158.26,159.36,157.83
2022-01-13,158.29,"6,551,083",159.31,159.45,157.7819
2022-01-14,159.81,"10,708,200",158.07,160.49,157.56
2022-01-18,156.73,"10,991,410",158.53,158.53,156.04
2022-01-19,162.0,"14,088,280",157.61,164.19,156.97
2022-01-20,162.0,"10,799,070",160.12,164.33,160.12
2022-01-21,162.62,"10,900,400",163.0,165.35,162.1
2022-01-24,161.3,"14,846,690",163.43,164.12,158.72
2022-01-25,159.54,"9,369,589",160.45,161.3,157.885
2022-01-26,158.15,"10,707,110",157.34,159.57,156.38
2022-01-27,159.13,"9,084,347",158.73,161.345,158.58
2022-01-28,160.5,"9,494,403",158.61,160.95,157.32
2022-01-31,160.45,"8,950,094",159.35,160.65,158.87
2022-02-01,159.74,"6,284,069",160.79,161.3,157.73
2022-02-02,162.6,"7,558,750",160.14,162.84,159.47
