Date,Close,Volume,Open,High,Low
2021-12-08,89.89,"5,111,119",90.82,91.025,89.55
2021-12-09,89.5,"4,594,053",89.54,90.17,89.21
2021-12-10,90.04,"4,886,134",89.85,90.57,89.85
2021-12-13,91.67,"8,055,657",89.86,92.31,89.67
2021-12-14,91.92,"10,371,670",91.43,92.6,90.75
2021-12-15,92.73,"6,460,817",92.0,93.2,91.8065
2021-12-16,94.38,"6,832,450",92.83,94.57,92.75
2021-12-17,93.45,"10,281,290",93.92,94.65,92.95
2021-12-20,92.86,"4,284,486",92.81,92.97,91.77
2021-12-21,93.04,"4,583,522",93.51,93.78,92.88
2021-12-22,92.91,"4,877,602",91.61,92.95,91.4163
2021-12-23,92.93,"2,926,795",93.0,93.5,92.64
2021-12-27,93.54,"2,036,604",92.87,93.56,92.61
2021-12-28,93.86,"2,622,446",93.39,94.15,93.29
2021-12-29,94.3,"3,238,647",93.95,94.69,93.75
2021-12-30,94.26,"2,973,831",94.46,94.72,94.21
2021-12-31,95.0,"3,219,472",94.21,95.185,94.05
2022-01-03,95.73,"4,790,351",94.89,95.8,94.44
2022-01-04,96.34,"5,372,424",95.77,96.94,95.53
2022-01-05,95.95,"7,180,704",96.0,97.07,95.4857
2022-01-06,97.41,"6,279,573",96.97,97.64,96.12
2022-01-07,99.14,"4,764,557",97.39,99.73,97.07
2022-01-10,100.28,"7,067,358",99.7,100.4,98.742
2022-01-11,100.99,"6,473,462",100.12,101.02,99.085
2022-01-12,101.44,"4,812,218",100.96,101.91,100.16
2022-01-13,102.1,"6,696,796",101.33,102.13,100.8
2022-01-14,103.38,"5,576,146",102.1,103.54,101.44
2022-01-18,101.73,"7,123,466",103.22,103.6,101.4669
2022-01-19,101.49,"6,510,625",101.81,102.33,101.42
2022-01-20,102.02,"5,589,711",101.06,102.78,100.68
2022-01-21,102.92,"5,423,683",102.64,103.7493,102.326
2022-01-24,100.58,"8,985,617",102.48,102.99,98.81
2022-01-25,102.14,"6,006,394",99.68,102.64,98.27
2022-01-26,101.38,"6,340,280",101.81,102.85,100.57
2022-01-27,102.25,"7,345,939",102.1,103.3,101.41
2022-01-28,103.52,"5,520,338",102.0,103.69,101.39
2022-01-31,102.85,"8,025,751",102.47,103.64,102.33
2022-02-01,103.25,"8,047,785",102.9,103.65,102.02
2022-02-02,103.9,"7,527,665",103.0,104.17,102.91
2022-02-03,103.81,"3,815,518",104.1,104.18,103.04
2022-02-04,103.59,"6,374,667",103.42,104.36,102.7
2022-02-07,103.58,"5,195,735",103.59,104.1,102.7
2022-02-08,103.85,"5,953,126",104.09,104.26,103.425
2022-02-09,104.1,"4,226,048",104.24,104.54,103.75
2022-02-10,105.07,"7,008,271",104.605,106.44,103.96
2022-02-11,107.96,"8,674,290",105.05,108.57,104.911
2022-02-14,109.24,"9,409,866",108.0,109.42,107.77
2022-02-15,109.67,"6,564,541",109.35,110.63,109.07
2022-02-16,111.57,"8,577,209",109.67,111.97,109.3
2022-02-17,111.9,"6,320,545",110.69,112.3307,110.65
2022-02-18,111.61,"7,870,543",111.5,112.48,111.1753
2022-02-22,108.59,"7,944,510",110.92,111.17,107.54
2022-02-23,108.59,"5,268,226",109.17,109.38,108.01
2022-02-24,102.79,"10,354,990",106.11,106.33,101.18
2022-02-25,105.24,"6,634,518",103.8,105.975,103.53
2022-02-28,101.07,"10,381,640",102.08,102.77,100.07
2022-03-01,101.44,"5,000,511",101.07,102.16,100.44
2022-03-02,102.54,"5,426,278",101.44,103.49,101.01
2022-03-03,102.48,"4,584,606",101.63,103.09,101.63
2022-03-04,99.8,"7,054,888",101.04,101.0617,99.25
2022-03-07,93.2,"14,334,100",97.35,97.59,92.45
2022-03-08,93.97,"11,529,270",94.19,96.36,92.7
2022-03-09,93.81,"6,427,306",95.22,96.07,93.35
2022-03-10,91.89,"8,099,488",92.93,93.83,91.6
2022-03-11,88.87,"8,629,831",92.27,92.42,88.76
2022-03-14,89.59,"16,030,340",89.89,90.58,88.37
2022-03-15,92.66,"8,224,694",91.33,92.945,90.61
2022-03-16,93.77,"6,299,249",93.0,94.5,92.83
2022-03-17,93.33,"6,728,843",93.5,93.85,92.93
2022-03-18,93.9,"9,667,846",94.19,94.7,93.215
2022-03-21,94.14,"4,593,838",94.55,95.0,93.39
2022-03-22,93.65,"5,860,217",94.29,95.42,93.51
2022-03-23,91.25,"5,038,798",92.72,93.135,91.16
2022-03-24,92.58,"4,587,080",91.45,93.08,91.33
2022-03-25,93.45,"3,162,573",92.25,93.48,92.04
2022-03-28,92.07,"4,097,256",92.82,93.2,91.0
2022-03-29,93.63,"6,964,579",92.16,93.63,92.11
2022-03-30,93.94,"3,935,187",93.69,93.975,92.8
2022-03-31,93.94,"6,599,298",93.78,94.58,93.51
2022-04-01,96.78,"5,686,989",94.96,96.95,94.59
2022-04-04,96.28,"5,176,743",95.99,96.57,95.4
2022-04-05,95.66,"3,623,574",95.41,97.0295,95.41
2022-04-06,99.02,"7,381,596",96.78,99.11,95.51
2022-04-07,99.67,"8,385,548",98.05,100.13,97.98
2022-04-08,100.07,"5,086,322",100.09,100.95,99.87
2022-04-11,101.24,"7,200,278",100.88,101.66,99.58
2022-04-12,100.49,"5,320,225",101.04,101.15,99.83
2022-04-13,101.2,"6,708,262",100.32,101.585,100.32
2022-04-14,101.77,"4,370,045",101.0,102.04,100.76
2022-04-18,101.05,"7,424,849",101.49,102.25,100.88
2022-04-19,102.58,"6,603,888",101.155,102.69,100.67
2022-04-20,103.05,"5,796,836",102.29,103.88,102.29
2022-04-21,105.06,"5,835,639",103.37,105.74,101.93
2022-04-22,102.69,"4,139,888",105.17,105.195,102.59
2022-04-25,102.53,"4,580,339",101.93,102.7,100.24
2022-04-26,102.77,"4,614,710",102.56,103.3036,102.12
2022-04-27,101.69,"4,259,584",103.1,103.27,101.61
2022-04-28,102.41,"4,399,779",102.0,103.12,100.95
2022-04-29,100.0,"4,911,250",102.62,102.96,99.79
2022-05-02,98.57,"7,263,640",101.39,101.39,96.49
2022-05-03,98.99,"3,839,630",98.89,99.57,97.425
2022-05-04,100.56,"3,562,201",98.69,100.64,98.42
2022-05-05,99.77,"4,072,571",99.78,101.55,99.135
2022-05-06,98.94,"3,384,446",98.99,99.63,97.98
2022-05-09,99.87,"7,282,315",98.47,102.0,97.34
2022-05-10,98.88,"7,091,580",99.6,100.58,98.13
2022-05-11,103.62,"8,132,131",99.55,104.73,99.5
2022-05-12,103.37,"7,908,601",104.06,105.19,101.78
2022-05-13,104.43,"2,816,147",103.79,104.82,102.945
2022-05-16,105.91,"5,423,685",104.36,106.63,104.12
2022-05-17,106.3,"4,199,260",106.82,106.97,105.51
2022-05-18,106.18,"5,819,708",107.0,107.01,105.2
2022-05-19,100.5,"9,297,710",105.0,105.18,99.855
2022-05-20,101.15,"5,077,019",100.68,101.75,99.63
2022-05-23,102.91,"6,296,659",103.1,105.74,101.6
2022-05-24,106.62,"6,116,867",102.78,106.73,102.78
2022-05-25,108.57,"6,839,947",107.07,109.81,106.105
