Date,Close,Volume,Open,High,Low
2014-12-09,73.005,"7,536,753",71.96,73.205,71.86
2014-12-10,71.5,"9,056,290",72.82,73.0,71.21
2014-12-11,71.99,"9,487,315",71.73,72.77,71.565
2014-12-12,70.585,"8,345,728",71.63,71.81,70.58
2014-12-15,70.37,"10,978,600",70.85,71.42,69.59
2014-12-16,70.31,"11,487,500",70.21,71.78,70.08
2014-12-17,72.21,"11,394,110",70.42,72.37,70.14
2014-12-18,73.36,"8,795,558",73.28,73.36,72.61
2014-12-19,73.43,"16,166,810",73.29,73.73,73.17
2014-12-22,74.56,"7,516,324",73.58,74.655,73.45
2014-12-23,74.6,"6,405,557",74.61,75.12,74.48
2014-12-24,74.66,"3,801,420",74.69,75.15,74.64
2014-12-26,75.62,"4,986,401",75.09,75.72,75.0
2014-12-29,74.985,"5,945,737",75.0,75.6,74.83
2014-12-30,75.02,"6,085,976",74.75,75.37,74.7
2014-12-31,74.33,"7,737,299",75.21,75.41,74.31
2015-01-02,74.28,"6,666,213",74.51,74.8699,73.75
2015-01-05,73.93,"12,027,610",73.71,74.5,73.63
2015-01-06,72.88,"11,080,410",73.86,74.61,72.74
2015-01-07,73.73,"10,025,470",73.37,74.47,72.96
2015-01-08,74.505,"10,926,270",74.3,75.3,74.14
2015-01-09,74.42,"9,030,850",74.57,74.87,73.64
2015-01-12,73.57,"8,711,581",74.14,74.3799,72.88
2015-01-13,72.97,"12,584,490",73.96,75.05,72.55
2015-01-14,72.22,"13,203,500",72.46,73.0,71.44
2015-01-15,71.38,"10,467,040",72.26,72.59,71.045
2015-01-16,71.29,"12,372,290",70.85,71.43,70.12
2015-01-20,72.48,"11,725,560",71.75,73.21,71.18
2015-01-21,71.59,"16,990,240",70.28,72.61,69.95
2015-01-22,71.905,"10,435,740",71.86,72.09,70.84
2015-01-23,72.175,"8,137,785",72.01,72.35,71.43
2015-01-26,72.61,"9,201,773",72.17,72.9,71.715
2015-01-27,71.77,"11,391,330",71.9,72.495,70.945
2015-01-28,70.99,"15,578,410",72.5,72.5,70.85
2015-01-29,63.69,"47,077,720",65.51,65.69,62.47
2015-01-30,62.46,"26,395,180",63.04,64.01,62.39
2015-02-02,65.53,"21,115,370",62.49,65.9299,62.26
2015-02-03,66.96,"16,352,040",65.78,67.04,65.48
2015-02-04,66.96,"13,078,750",66.59,67.71,66.12
2015-02-05,67.95,"10,570,060",67.17,67.99,66.79
2015-02-06,66.35,"11,756,820",67.81,67.95,66.07
2015-02-09,67.11,"15,540,660",68.16,68.96,66.96
2015-02-10,70.26,"35,862,930",69.09,70.455,68.83
2015-02-11,70.21,"13,433,610",70.57,70.9518,70.0
2015-02-12,70.39,"12,793,990",69.58,70.39,69.56
2015-02-13,70.88,"8,045,777",70.49,70.93,70.27
2015-02-17,70.8,"8,761,537",70.76,70.91,70.46
2015-02-18,70.54,"7,797,382",70.34,70.88,70.11
2015-02-19,70.98,"9,770,274",70.23,71.27,70.21
2015-02-20,71.52,"8,651,745",70.83,71.72,70.59
2015-02-23,70.94,"8,612,407",71.26,71.55,70.36
2015-02-24,71.37,"10,131,800",70.74,71.47,70.37
2015-02-25,71.68,"10,565,690",71.01,72.23,71.01
2015-02-26,72.01,"8,523,940",71.87,72.2699,71.61
2015-02-27,72.51,"10,289,630",71.81,72.57,71.2
2015-03-02,72.655,"8,979,078",71.8,72.9,71.61
2015-03-03,71.405,"9,235,714",72.01,72.49,71.35
2015-03-04,70.845,"8,461,205",71.1,71.5,70.561
2015-03-05,70.93,"6,941,674",71.2,71.27,70.685
2015-03-06,71.505,"12,022,020",70.56,71.69,70.51
2015-03-09,72.705,"12,667,120",71.64,72.87,71.64
2015-03-10,71.885,"29,092,160",73.87,74.09,71.86
2015-03-11,70.27,"21,656,590",71.52,71.7199,70.24
2015-03-12,69.37,"16,003,460",70.0,70.55,69.2
2015-03-13,68.64,"13,940,170",69.012,69.64,68.32
2015-03-16,70.0,"11,624,900",69.14,70.03,68.91
2015-03-17,69.815,"11,538,700",69.44,70.17,69.21
2015-03-18,70.23,"10,239,970",69.6,70.49,69.06
2015-03-19,69.83,"6,943,680",70.23,70.59,69.78
2015-03-20,70.04,"22,634,090",70.2,70.61,69.79
2015-03-23,70.065,"7,691,448",69.92,70.585,69.81
2015-03-24,68.975,"9,932,529",69.99,70.2299,68.97
2015-03-25,67.21,"11,955,690",68.86,68.87,67.2
2015-03-26,67.155,"13,831,060",66.54,67.45,65.68
2015-03-27,67.025,"8,555,421",67.22,67.93,66.75
2015-03-30,68.88,"11,394,460",67.74,69.0,67.46
2015-03-31,69.34,"13,034,890",68.16,69.54,68.16
2015-04-01,69.43,"10,441,870",68.47,69.47,68.4505
2015-04-02,67.97,"14,197,090",69.52,69.61,67.76
2015-04-06,67.76,"11,883,220",66.19,67.96,66.18
2015-04-07,67.315,"13,939,790",67.72,68.12,67.26
2015-04-08,67.26,"15,783,000",66.94,67.59,66.93
2015-04-09,68.81,"14,124,570",67.42,69.09,67.31
2015-04-10,69.16,"10,171,590",68.67,69.2,68.47
2015-04-13,68.73,"28,488,230",71.23,71.9,68.64
2015-04-14,68.97,"12,301,100",69.16,69.2,68.6
2015-04-15,68.46,"11,903,010",69.29,69.5,68.19
2015-04-16,67.91,"10,615,620",68.16,68.25,67.73
2015-04-17,67.115,"13,976,610",67.49,67.95,66.96
2015-04-20,68.64,"12,878,520",67.25,68.8,67.19
2015-04-21,68.57,"7,839,149",68.84,68.94,68.38
2015-04-22,68.94,"13,194,770",68.76,69.205,68.25
2015-04-23,68.34,"18,330,980",67.35,68.43,66.96
2015-04-24,68.24,"8,752,158",68.03,68.32,67.67
2015-04-27,69.23,"11,817,740",68.77,69.68,68.61
2015-04-28,69.65,"8,272,764",69.04,69.82,69.01
2015-04-29,68.67,"7,622,310",69.19,69.34,68.0
2015-04-30,68.0,"8,267,381",68.33,68.59,67.61
2015-05-01,68.42,"7,156,881",68.31,68.5402,67.955
2015-05-04,69.055,"7,006,367",68.45,69.36,68.22
2015-05-05,68.37,"8,646,561",68.85,69.0,68.1295
2015-05-06,67.81,"7,849,666",68.2,68.85,67.5
2015-05-07,68.43,"6,513,846",67.8,68.45,67.79
2015-05-08,69.41,"7,393,092",68.85,69.41,68.55
2015-05-11,69.05,"6,373,458",69.17,69.35,68.82
2015-05-12,68.785,"8,063,670",68.7,69.02,68.1001
2015-05-13,69.73,"12,015,870",69.23,70.5,69.0
2015-05-14,70.52,"10,945,510",69.99,70.66,69.8101
2015-05-15,71.06,"9,848,990",70.61,71.09,70.43
2015-05-18,70.42,"5,334,691",70.99,71.13,70.25
2015-05-19,69.62,"7,608,793",70.33,70.42,69.47
2015-05-20,69.28,"7,346,952",69.8,69.84,69.22
2015-05-21,70.09,"27,528,970",69.63,70.95,69.03
2015-05-22,69.51,"13,176,930",69.57,69.9399,69.44
2015-05-26,69.36,"14,767,570",69.53,69.62,68.75
2015-05-27,71.02,"17,541,800",69.4,71.14,69.1
2015-05-28,70.6,"11,929,040",70.95,71.318,70.51
2015-05-29,69.68,"18,227,290",70.69,70.9,69.6
2015-06-01,69.415,"8,593,352",69.51,69.9,69.11
2015-06-02,69.35,"12,051,310",69.36,69.66,69.06
2015-06-03,69.86,"6,532,912",69.8,70.05,69.45
2015-06-04,68.9,"9,909,195",69.36,69.51,68.76
2015-06-05,68.255,"8,059,565",68.96,68.96,68.22
2015-06-08,67.275,"9,151,149",68.03,68.2,67.25
2015-06-09,66.84,"7,606,580",67.38,67.47,66.77
2015-06-10,67.31,"12,814,520",66.91,67.69,66.91
2015-06-11,67.6,"10,594,460",67.59,67.81,67.385
2015-06-12,67.025,"6,855,597",67.06,67.55,66.79
2015-06-15,66.625,"6,817,541",66.54,66.845,66.06
2015-06-16,66.46,"6,671,481",66.45,66.63,65.93
2015-06-17,66.55,"9,563,556",66.69,67.08,66.08
2015-06-18,67.36,"10,439,140",66.72,67.665,66.67
2015-06-19,66.88,"13,226,020",67.41,67.51,66.64
2015-06-22,67.365,"11,754,680",67.04,67.63,67.0
2015-06-23,66.98,"11,791,140",67.54,67.62,66.76
2015-06-24,65.35,"15,273,210",67.08,67.13,65.29
2015-06-25,65.26,"9,838,064",65.51,65.87,65.024
2015-06-26,64.67,"34,793,500",65.38,65.56,64.6
2015-06-29,62.62,"16,453,860",63.4,64.03,62.58
2015-06-30,62.63,"12,686,720",62.75,63.15,62.45
2015-07-01,62.9,"12,642,340",63.1,63.28,62.01
2015-07-02,63.11,"11,301,900",63.01,63.65,62.99
2015-07-06,63.11,"10,068,240",62.66,63.5498,62.65
2015-07-07,62.8,"13,577,260",63.27,63.38,61.48
2015-07-08,61.91,"13,827,500",62.45,62.6,61.7
2015-07-09,61.86,"12,235,730",62.85,63.43,61.85
2015-07-10,62.73,"12,906,080",62.41,63.07,61.86
2015-07-13,63.43,"11,426,620",63.0,63.7,63.0
2015-07-14,63.94,"10,281,690",63.62,64.2799,63.45
2015-07-15,63.88,"8,491,973",63.31,64.2,63.3
2015-07-16,64.55,"10,385,510",63.45,64.68,63.38
2015-07-17,64.34,"8,940,864",64.11,64.65,64.01
2015-07-20,63.79,"11,336,200",64.63,64.63,63.74
2015-07-21,65.14,"17,759,170",64.61,66.05,64.45
2015-07-22,64.19,"22,443,990",64.5,64.97,64.05
2015-07-23,61.78,"37,861,210",62.57,62.78,60.83
2015-07-24,61.64,"18,518,320",61.86,62.2,61.31
2015-07-27,61.98,"14,749,230",61.98,62.5,61.51
2015-07-28,63.1,"14,081,690",62.34,63.41,62.215
2015-07-29,63.17,"9,779,029",63.08,63.56,62.745
2015-07-30,64.41,"12,697,130",62.99,64.78,62.8
2015-07-31,64.39,"9,611,998",64.66,64.95,64.23
2015-08-03,64.43,"9,770,111",64.35,64.71,64.08
2015-08-04,63.45,"11,991,460",64.41,64.82,63.22
2015-08-05,63.88,"9,451,272",63.66,64.49,63.5
2015-08-06,62.84,"12,263,520",63.75,64.11,62.65
2015-08-07,63.02,"17,435,080",62.76,63.425,62.6
2015-08-10,63.15,"17,635,970",62.5,63.33,62.5
2015-08-11,62.55,"13,643,490",62.57,63.06,62.34
2015-08-12,62.58,"12,672,320",62.4,62.67,61.602
2015-08-13,62.03,"9,388,801",62.5,62.6,61.95
2015-08-14,61.91,"9,196,044",61.79,62.55,61.79
2015-08-17,62.07,"11,542,570",61.5,62.11,61.48
2015-08-18,61.32,"10,626,330",61.57,61.8458,61.3
2015-08-19,61.18,"11,560,030",60.89,61.62,60.71
2015-08-20,60.15,"13,092,300",60.85,61.34,60.15
2015-08-21,57.61,"19,631,350",59.69,60.1,57.56
2015-08-24,55.28,"29,359,120",54.18,57.805,52.59
2015-08-25,53.88,"21,809,280",56.62,56.9185,53.74
2015-08-26,56.66,"21,966,980",55.5,56.74,54.85
2015-08-27,57.36,"18,180,710",57.07,57.4498,56.17
2015-08-28,57.45,"12,657,650",57.15,57.76,57.03
2015-08-31,56.58,"9,888,548",56.57,57.26,56.35
2015-09-01,55.02,"13,123,390",55.25,55.911,54.69
2015-09-02,55.86,"11,605,380",55.63,55.88,55.009
2015-09-03,55.55,"10,696,050",56.22,56.76,55.47
2015-09-04,54.29,"11,396,470",54.94,55.1,54.14
2015-09-08,55.2,"10,920,190",55.11,55.35,54.77
2015-09-09,54.32,"12,561,160",55.85,55.89,54.16
2015-09-10,55.33,"13,978,120",54.5,55.81,54.28
2015-09-11,54.66,"10,793,100",55.05,55.155,54.35
2015-09-14,54.31,"9,719,425",54.75,54.98,54.07
2015-09-15,54.87,"9,239,448",54.82,55.165,54.355
2015-09-16,55.2,"8,071,480",54.81,55.5253,54.68
2015-09-17,54.98,"9,614,441",55.19,55.91,54.85
2015-09-18,54.45,"26,527,010",54.25,54.96,54.02
2015-09-21,54.39,"9,269,299",54.63,54.73,54.0
2015-09-22,53.94,"9,903,877",53.78,54.23,53.58
2015-09-23,53.56,"7,236,988",54.15,54.15,53.37
2015-09-24,53.27,"13,501,990",53.18,53.53,52.39
2015-09-25,53.22,"11,650,500",53.95,54.0,52.96
2015-09-28,52.54,"11,662,800",53.05,53.27,52.52
2015-09-29,52.43,"9,781,664",52.5,52.91,52.17
2015-09-30,53.73,"12,836,850",52.99,53.81,52.895
2015-10-01,53.18,"9,497,291",53.6,53.82,53.0
2015-10-02,55.07,"13,177,900",53.07,55.15,53.0
2015-10-05,56.23,"9,925,691",55.58,56.49,55.57
2015-10-06,56.32,"10,428,570",56.0,56.52,55.42
2015-10-07,56.61,"8,952,076",56.56,57.35,56.04
2015-10-08,57.66,"8,621,759",56.49,57.675,56.32
2015-10-09,57.78,"8,871,418",57.87,58.12,57.37
2015-10-12,57.79,"6,888,774",57.63,58.08,57.47
2015-10-13,57.51,"7,365,873",57.19,58.08,57.02
2015-10-14,58.63,"12,471,530",57.52,59.14,57.51
2015-10-15,59.26,"9,039,991",59.0,59.91,58.655
2015-10-16,59.91,"8,919,306",59.48,60.0,58.91
2015-10-19,59.1,"10,974,930",59.46,59.63,58.61
2015-10-20,59.0,"9,102,198",58.68,59.205,58.68
2015-10-21,58.97,"6,923,766",59.28,59.77,58.89
2015-10-22,60.43,"10,902,950",59.49,60.64,59.49
2015-10-23,60.725,"9,175,321",60.63,61.19,60.49
2015-10-26,59.21,"13,332,960",60.91,60.91,58.7
2015-10-27,59.28,"9,485,856",58.91,59.35,58.77
2015-10-28,60.265,"7,722,374",59.33,60.3,59.23
2015-10-29,60.0,"5,432,387",59.67,60.23,59.58
2015-10-30,59.42,"8,613,301",60.12,60.2,59.42
2015-11-02,60.64,"8,557,094",59.7,60.76,59.51
2015-11-03,60.87,"7,703,679",60.4,61.18,60.26
2015-11-04,60.26,"10,752,050",60.89,61.01,60.07
2015-11-05,51.07,"65,827,250",56.73,56.81,49.92
2015-11-06,53.42,"31,238,750",51.63,53.7,51.625
2015-11-09,52.94,"15,091,790",52.88,53.35,52.62
2015-11-10,52.27,"13,477,710",52.53,52.99,51.95
2015-11-11,52.85,"11,026,860",52.6,53.24,52.37
2015-11-12,52.58,"10,806,600",52.75,53.19,52.52
