Date,Close,Volume,Open,High,Low
2021-12-08,638.15,"1,267,454",631.0,638.68,627.895
2021-12-09,637.07,"1,029,293",638.11,642.33,635.07
2021-12-10,642.51,"989,666",636.96,644.7844,636.96
2021-12-13,646.01,"1,181,900",642.5,649.39,640.45
2021-12-14,632.11,"1,491,614",640.0,643.33,624.38
2021-12-15,655.74,"1,422,813",636.75,656.73,633.22
2021-12-16,661.25,"1,625,127",655.5,664.17,651.02
2021-12-17,651.07,"2,479,232",655.47,660.33,647.51
2021-12-20,649.32,"1,001,344",650.45,656.36,640.38
2021-12-21,645.34,"1,201,003",648.64,650.0,635.69
2021-12-22,651.7,"918,586",648.72,653.47,645.41
2021-12-23,650.7,"839,970",653.26,656.23,649.04
2021-12-27,662.21,"531,368",656.91,662.75,652.82
2021-12-28,655.38,"818,185",665.5,666.66,653.23
2021-12-29,662.73,"644,147",660.13,665.17,654.21
2021-12-30,665.45,"555,652",664.69,668.94,662.38
2021-12-31,667.24,"778,774",665.0,672.34,663.33
2022-01-03,644.92,"1,890,029",662.99,664.27,640.18
2022-01-04,618.0,"2,598,032",637.3,638.025,612.59
2022-01-05,618.52,"1,915,352",618.0,628.76,615.79
2022-01-06,620.4,"1,686,017",618.0,626.82,609.61
2022-01-07,607.07,"1,741,875",621.0,621.475,606.1902
2022-01-10,625.04,"2,095,707",599.84,625.42,598.92
2022-01-11,620.5,"2,474,792",625.0,627.28,611.99
2022-01-12,625.2,"1,554,207",618.68,631.89,618.68
2022-01-13,600.89,"2,018,085",624.71,625.9,599.85
2022-01-14,594.8,"2,426,246",597.93,602.24,588.19
2022-01-18,590.1,"1,849,584",586.14,594.8,584.18
2022-01-19,593.37,"1,876,039",593.71,602.59,592.25
2022-01-20,588.16,"1,530,383",595.06,602.48,586.78
2022-01-21,580.33,"2,095,535",587.89,590.53,578.28
2022-01-24,575.8,"2,587,688",570.85,576.21,552.37
2022-01-25,567.75,"1,864,688",568.59,576.97,560.72
2022-01-26,562.9,"1,892,871",575.25,575.61,558.38
