Date,Close,Volume,Open,High,Low
2014-12-09,14.4593,"141,405,904",13.956,14.5153,13.618
2014-12-10,13.9893,"109,622,540",14.2753,14.4513,13.8467
2014-12-11,13.9253,"100,266,835",14.0353,14.362,13.882
2014-12-12,13.8,"107,507,556",13.6547,14.112,13.6333
2014-12-15,13.6027,"77,934,666",13.9527,13.9867,13.5113
2014-12-16,13.1873,"126,242,622",13.3927,13.5787,13.0247
2014-12-17,13.7213,"110,445,485",12.8707,13.7767,12.8433
2014-12-18,14.5507,"111,976,774",14.1587,14.5627,14.12
2014-12-19,14.6193,"103,530,863",14.6793,14.6933,14.3
2014-12-22,14.84,"72,038,169",14.6667,14.9373,14.5507
2014-12-23,14.7313,"67,643,141",14.9207,14.9543,14.635
2014-12-24,14.8173,"20,002,760",14.6513,14.8333,14.6167
2014-12-26,15.188,"49,866,530",14.7673,15.2333,14.7667
2014-12-29,15.0473,"42,044,709",15.1267,15.194,14.9347
2014-12-30,14.8153,"43,474,058",14.9327,15.0436,14.76
2014-12-31,14.8273,"35,894,187",14.8727,15.0453,14.8167
2015-01-02,14.6207,"71,298,549",14.858,14.8833,14.2173
2015-01-05,14.006,"80,332,235",14.3033,14.4333,13.8108
2015-01-06,14.0853,"93,864,718",14.004,14.28,13.614
2015-01-07,14.0633,"44,479,928",14.2233,14.3187,13.9853
2015-01-08,14.041,"51,523,489",14.1873,14.2533,14.0007
2015-01-09,13.7773,"68,869,616",13.928,13.9987,13.664
2015-01-12,13.4807,"89,184,060",13.5367,13.6313,13.2833
2015-01-13,13.6167,"63,715,528",13.5547,13.8407,13.3941
2015-01-14,12.846,"172,745,014",12.3887,13.0133,12.3333
2015-01-15,12.7913,"78,071,616",12.966,13.05,12.6667
2015-01-16,12.8713,"53,862,798",12.7133,12.966,12.6433
2015-01-20,12.7953,"67,360,181",12.9247,12.9413,12.4693
2015-01-21,13.1047,"62,161,784",12.6367,13.2453,12.634
2015-01-22,13.4413,"61,556,264",13.1333,13.5493,13.0133
2015-01-23,13.4193,"51,615,754",13.3527,13.5667,13.222
2015-01-26,13.77,"48,466,791",13.4553,13.908,13.4033
2015-01-27,13.732,"41,668,869",13.628,13.8687,13.5533
2015-01-28,13.2913,"47,092,191",13.7407,13.7579,13.228
2015-01-29,13.68,"53,138,628",13.4047,13.732,13.1
2015-01-30,13.5733,"45,018,997",13.5973,13.8313,13.5333
2015-02-02,14.0627,"62,157,719",13.598,14.13,13.5533
2015-02-03,14.5573,"72,237,474",14.2147,14.6913,14.0847
2015-02-04,14.57,"49,566,230",14.5527,14.7653,14.4533
2015-02-05,14.7327,"52,774,714",14.6587,15.032,14.6425
2015-02-06,14.4907,"48,537,816",14.8,14.8933,14.4333
2015-02-09,14.4987,"52,046,614",14.3587,14.5287,14.1327
2015-02-10,14.4193,"80,232,890",14.5033,14.7,14.3333
2015-02-11,14.1867,"135,796,177",14.1473,14.316,13.8187
2015-02-12,13.5253,"234,402,333",12.9047,13.5392,12.8853
2015-02-13,13.5847,"92,223,059",13.5267,13.7327,13.394
2015-02-17,13.6233,"59,468,295",13.7133,13.7133,13.4333
2015-02-18,13.6307,"40,663,450",13.6113,13.7447,13.5067
2015-02-19,14.1137,"77,058,006",13.6667,14.1627,13.5833
2015-02-20,14.474,"89,675,595",14.052,14.5067,13.9873
2015-02-23,13.8223,"127,306,901",14.3773,14.5467,13.7553
2015-02-24,13.6073,"98,809,421",13.8193,13.8193,13.4467
2015-02-25,13.584,"58,612,546",13.6627,13.8093,13.5053
2015-02-26,13.8127,"97,020,251",13.6,14.0727,13.4813
2015-02-27,13.556,"58,070,926",13.7933,13.9033,13.52
2015-03-02,13.155,"118,655,971",13.5133,13.556,13.055
2015-03-03,13.304,"66,461,967",13.1207,13.3496,13.0213
2015-03-04,13.4957,"63,228,793",13.2833,13.5013,13.1473
2015-03-05,13.3753,"73,051,928",13.5233,13.746,13.3433
2015-03-06,12.9253,"100,581,715",13.2807,13.3833,12.8101
2015-03-09,12.7253,"100,987,615",12.9593,12.966,12.55
2015-03-10,12.688,"83,085,573",12.564,12.9,12.5067
2015-03-11,12.916,"74,526,053",12.7433,13.0787,12.734
2015-03-12,12.738,"62,096,504",12.9167,12.9633,12.65
2015-03-13,12.5787,"81,319,354",12.5967,12.7833,12.488
2015-03-16,13.0467,"84,255,378",12.8,13.0607,12.6533
2015-03-17,12.982,"73,353,938",13.0287,13.2473,12.9293
2015-03-18,13.3807,"71,953,059",12.9973,13.392,12.874
2015-03-19,13.0433,"127,032,626",13.4667,13.6393,12.9687
2015-03-20,13.2053,"63,751,108",13.1633,13.266,13.0414
2015-03-23,13.3087,"39,337,360",13.2333,13.3667,13.1647
2015-03-24,13.448,"54,612,963",13.4387,13.586,13.3167
