Date,Close,Volume,Open,High,Low
2014-12-09,55.01,"8,379,211",54.54,55.41,54.31
2014-12-10,54.095,"5,837,070",54.92,55.2,54.03
2014-12-11,54.485,"6,516,017",54.29,54.855,54.15
2014-12-12,53.11,"8,428,044",53.94,54.595,52.945
2014-12-15,53.065,"7,469,426",53.64,53.99,52.775
2014-12-16,52.47,"7,170,830",53.0,53.76,52.42
2014-12-17,53.5,"8,881,438",52.45,53.665,51.96
2014-12-18,54.47,"8,113,260",54.51,54.53,54.0
2014-12-19,54.23,"10,568,760",54.95,54.95,54.02
2014-12-22,54.82,"4,285,270",54.49,54.95,54.33
2014-12-23,54.78,"3,436,936",54.96,55.34,54.725
2014-12-24,54.86,"1,442,861",54.99,55.09,54.84
2014-12-26,54.745,"1,839,128",54.91,55.02,54.7001
2014-12-29,54.455,"2,381,024",54.7,54.81,54.38
2014-12-30,53.93,"2,626,882",54.37,54.37,53.91
2014-12-31,53.465,"4,068,470",54.2,54.25,53.44
2015-01-02,53.48,"4,025,175",53.56,54.08,53.011
2015-01-05,52.645,"5,574,294",53.19,53.49,52.6
2015-01-06,51.78,"5,468,293",52.89,53.02,51.72
2015-01-07,52.71,"4,576,916",52.01,52.87,51.79
2015-01-08,53.57,"6,295,206",53.13,53.95,53.01
2015-01-09,53.6,"3,913,678",53.48,53.98,53.09
2015-01-12,53.12,"4,266,424",53.74,53.75,52.9
2015-01-13,52.79,"5,013,889",53.57,54.28,52.46
2015-01-14,52.71,"5,191,399",52.55,53.31,52.24
2015-01-15,52.385,"5,796,291",52.91,53.24,52.2
2015-01-16,53.285,"4,988,703",52.48,53.42,52.12
2015-01-20,53.805,"7,213,420",53.49,54.145,53.19
2015-01-21,54.28,"5,368,974",53.3,54.47,53.2
2015-01-22,54.97,"5,484,241",54.32,54.98,53.34
2015-01-23,55.06,"4,856,477",54.96,55.29,54.54
2015-01-26,55.05,"6,125,335",54.7,55.3,54.359
2015-01-27,54.83,"8,532,688",54.53,55.46,54.21
2015-01-28,53.935,"7,393,500",54.75,55.251,53.85
2015-01-29,54.67,"5,043,705",53.72,54.86,53.41
2015-01-30,53.45,"12,515,290",53.98,54.6,53.35
2015-02-02,53.49,"8,385,502",53.5,53.76,52.4099
2015-02-03,54.44,"6,017,439",53.71,54.48,53.61
2015-02-04,54.615,"7,963,038",54.01,54.9,54.01
2015-02-05,55.31,"5,059,986",54.64,55.34,54.48
2015-02-06,54.36,"7,715,910",55.29,55.45,54.27
2015-02-09,54.27,"5,146,442",54.31,54.76,54.03
