Date,Close,Volume,Open,High,Low
2014-12-09,101.02,"3,754,179",99.04,101.09,98.75
2014-12-10,99.09,"3,908,657",100.77,101.02,99.0071
2014-12-11,99.73,"2,940,571",99.39,100.67,99.24
2014-12-12,98.76,"3,081,273",99.58,100.41,98.69
2014-12-15,98.27,"3,624,338",98.8,99.75,97.41
2014-12-16,95.85,"4,835,291",97.65,98.78,95.75
2014-12-17,99.14,"6,222,287",96.55,99.75,96.17
2014-12-18,102.24,"4,623,105",100.28,102.26,99.91
2014-12-19,102.49,"7,981,992",102.0,104.0,102.0
2014-12-22,103.04,"2,385,715",102.58,103.24,102.47
2014-12-23,102.85,"3,030,141",103.72,103.93,102.44
2014-12-24,102.68,"951,739",103.0,103.32,102.54
2014-12-26,102.55,"2,019,906",102.59,103.0,102.16
2014-12-29,102.33,"1,708,073",102.38,103.01,101.83
2014-12-30,102.85,"1,767,578",102.25,103.06,102.25
2014-12-31,101.09,"2,313,774",103.12,103.68,101.03
2015-01-02,100.78,"3,069,280",101.5,102.62,100.0089
2015-01-05,99.12,"4,679,020",100.3,100.45,98.745
2015-01-06,98.92,"3,465,725",99.83,100.14,98.46
2015-01-07,99.93,"3,225,785",98.96,100.3,98.92
2015-01-08,104.7,"5,346,134",101.57,104.9825,100.72
2015-01-09,103.72,"3,396,502",104.42,104.63,102.9
2015-01-12,102.55,"3,051,543",103.83,104.0,101.91
2015-01-13,103.07,"3,853,328",103.94,105.6,101.84
2015-01-14,103.33,"4,725,564",101.61,103.48,101.18
2015-01-15,104.46,"5,811,913",103.56,104.59,103.13
2015-01-16,105.77,"6,045,046",104.5,106.0,103.65
2015-01-20,105.62,"6,525,963",106.2,106.38,104.495
2015-01-21,109.32,"8,293,427",106.52,109.45,105.62
2015-01-22,113.85,"8,041,737",109.75,114.12,109.33
2015-01-23,112.0,"5,255,467",113.64,114.32,112.0
2015-01-26,111.61,"4,203,270",112.0,112.0,110.76
2015-01-27,110.01,"4,718,269",110.95,111.25,109.92
2015-01-28,108.46,"6,585,577",110.57,110.88,108.45
2015-01-29,109.39,"4,910,962",108.15,109.58,106.74
2015-01-30,106.25,"5,397,460",108.62,109.39,106.14
2015-02-02,107.29,"4,656,862",106.73,107.34,105.07
2015-02-03,107.81,"4,192,622",107.35,108.0,106.52
2015-02-04,107.92,"4,768,658",106.83,108.74,106.75
2015-02-05,108.82,"3,291,482",108.32,109.81,108.32
2015-02-06,107.6,"3,661,402",108.59,109.4,107.19
2015-02-09,106.49,"3,891,936",106.93,107.24,106.28
2015-02-10,108.97,"5,437,375",107.26,109.46,107.13
2015-02-11,109.85,"3,798,353",108.73,110.06,108.38
2015-02-12,109.84,"3,377,914",110.7,110.78,108.83
2015-02-13,109.44,"3,727,565",109.69,109.8399,108.68
2015-02-17,109.76,"3,430,174",109.34,109.76,108.52
2015-02-18,109.77,"2,958,530",109.0,110.22,108.95
2015-02-19,110.03,"2,674,720",109.54,110.36,109.44
2015-02-20,112.62,"4,645,220",109.96,112.82,109.44
2015-02-23,116.4,"7,059,978",112.99,116.49,112.85
2015-02-24,115.43,"3,582,523",116.26,116.58,115.32
2015-02-25,114.05,"3,845,916",115.82,115.82,113.72
2015-02-26,113.66,"3,126,721",114.41,114.62,113.37
2015-02-27,113.63,"4,016,356",113.77,114.25,113.41
2015-03-02,114.4,"2,941,356",113.77,114.85,113.75
2015-03-03,112.86,"3,163,749",113.95,114.49,112.36
2015-03-04,113.82,"3,180,832",112.25,113.965,111.65
2015-03-05,114.79,"2,941,413",114.07,115.72,114.07
2015-03-06,112.88,"3,196,510",115.16,115.16,112.609
2015-03-09,114.9,"3,942,031",112.97,114.96,112.87
2015-03-10,112.46,"3,956,866",114.26,114.41,112.46
2015-03-11,112.72,"2,593,663",112.9,113.59,112.64
2015-03-12,114.88,"3,258,580",113.32,115.05,113.15
2015-03-13,115.25,"3,066,826",114.44,115.39,113.53
2015-03-16,118.52,"4,692,162",116.0,118.69,115.82
2015-03-17,117.6,"3,303,498",118.08,118.13,116.9164
2015-03-18,119.96,"5,533,218",117.43,120.52,116.73
2015-03-19,120.76,"4,027,447",120.0,121.1,119.82
2015-03-20,119.14,"7,180,809",121.35,121.53,119.0
2015-03-23,119.04,"4,576,531",119.48,120.48,118.59
2015-03-24,118.12,"3,049,248",118.9,119.64,118.08
2015-03-25,116.54,"3,385,395",118.85,119.75,116.51
2015-03-26,116.25,"2,856,404",116.07,117.21,114.6
2015-03-27,118.01,"2,608,415",116.06,118.22,116.02
2015-03-30,121.0,"5,178,247",122.32,123.76,120.5301
2015-03-31,118.29,"4,572,933",120.8,120.93,118.22
2015-04-01,117.45,"4,825,729",119.52,119.52,116.54
2015-04-02,117.36,"2,497,135",117.6,118.38,116.87
2015-04-06,117.7,"2,540,262",116.02,118.52,115.95
2015-04-07,117.35,"2,523,403",119.45,119.829,117.27
2015-04-08,118.19,"2,626,960",117.78,118.833,117.47
2015-04-09,118.55,"2,247,178",117.83,118.76,117.6
2015-04-10,119.0,"2,230,081",118.55,119.098,117.97
2015-04-13,119.37,"3,960,489",121.0,121.31,119.13
2015-04-14,119.92,"3,208,053",119.34,120.18,118.52
2015-04-15,117.32,"7,308,144",120.38,120.74,116.55
2015-04-16,121.6,"7,067,090",121.93,122.32,120.52
2015-04-17,118.71,"4,355,944",121.0,121.05,117.7401
2015-04-20,118.58,"4,650,953",119.85,120.33,118.07
2015-04-21,119.28,"3,379,785",119.0,119.63,118.76
2015-04-22,117.81,"3,845,874",119.54,119.94,117.17
2015-04-23,118.26,"3,237,094",117.48,118.58,116.96
2015-04-24,118.69,"3,139,176",118.28,119.09,118.02
2015-04-27,116.24,"5,080,398",119.18,119.41,116.07
2015-04-28,117.59,"4,144,340",116.89,117.74,114.28
2015-04-29,113.61,"7,094,003",116.22,117.32,112.04
2015-04-30,111.4,"6,678,754",113.53,114.33,111.12
2015-05-01,113.2,"5,776,305",112.29,113.66,111.74
2015-05-04,114.56,"3,529,403",113.7,114.925,113.45
2015-05-05,113.37,"3,929,297",113.94,114.28,113.01
2015-05-06,113.49,"3,366,086",114.0,114.4899,112.66
2015-05-07,114.76,"3,299,965",113.15,115.14,113.11
2015-05-08,115.68,"3,065,739",115.925,116.59,115.05
2015-05-11,114.77,"3,365,729",115.61,115.79,114.72
2015-05-12,114.64,"3,840,918",114.23,115.08,113.83
2015-05-13,115.86,"3,667,675",114.62,116.3,114.62
2015-05-14,118.53,"4,771,211",117.18,118.62,116.21
