Date,Close,Volume,Open,High,Low
2021-12-08,247.6,"1,814,501",247.3,248.68,245.2
2021-12-09,247.25,"1,983,082",247.06,249.3912,246.06
2021-12-10,248.46,"1,937,841",248.64,249.7,247.07
2021-12-13,245.74,"2,548,387",247.57,248.47,244.39
2021-12-14,244.61,"2,682,228",245.51,247.0,243.28
2021-12-15,247.12,"2,517,671",246.08,247.36,244.01
2021-12-16,248.35,"2,297,296",247.91,249.9,246.29
2021-12-17,242.69,"4,937,192",246.59,247.32,242.23
2021-12-20,240.64,"2,769,931",239.98,240.9,238.07
2021-12-21,242.22,"2,746,210",242.7,244.39,240.77
2021-12-22,242.89,"1,623,041",242.0,243.61,241.09
2021-12-23,245.64,"1,655,749",243.27,246.81,243.145
2021-12-27,247.95,"1,176,607",246.21,248.25,245.42
2021-12-28,249.23,"1,119,794",247.86,250.33,247.34
2021-12-29,251.03,"1,106,453",250.01,251.77,249.44
2021-12-30,249.54,"1,163,360",251.27,251.655,248.58
2021-12-31,251.93,"1,516,780",249.54,253.33,249.14
2022-01-03,247.77,"2,450,175",253.25,253.5,246.5
2022-01-04,252.03,"2,647,674",250.0,254.4,249.36
2022-01-05,252.79,"3,651,332",252.85,254.709,251.66
2022-01-06,253.49,"2,342,344",254.0,254.7,251.88
2022-01-07,254.78,"2,346,792",252.79,256.105,251.57
2022-01-10,250.28,"3,341,428",254.53,254.53,248.4
2022-01-11,246.42,"3,087,165",250.75,251.19,245.071
2022-01-12,247.0,"2,480,967",247.61,248.96,246.035
2022-01-13,247.62,"2,615,278",247.5,248.77,246.69
2022-01-14,246.27,"2,525,518",245.27,248.23,244.53
2022-01-18,238.04,"5,752,268",244.8,245.54,236.8
2022-01-19,239.49,"4,911,114",240.0,241.695,237.03
2022-01-20,242.07,"4,256,111",237.22,245.66,237.0
2022-01-21,246.33,"4,932,491",244.66,250.53,242.24
2022-01-24,245.1,"5,095,221",242.92,245.92,239.13
2022-01-25,244.12,"3,325,365",242.64,245.67,239.1932
2022-01-26,244.88,"3,529,141",246.59,250.15,242.36
2022-01-27,244.59,"3,045,849",247.33,248.67,242.72
2022-01-28,245.93,"2,660,048",245.0,246.08,239.6
2022-01-31,244.55,"3,522,010",245.0,245.39,242.81
2022-02-01,246.71,"2,438,695",244.81,248.38,243.82
2022-02-02,251.26,"2,640,209",246.03,251.7989,246.03
2022-02-03,244.35,"3,666,671",250.3,251.69,243.54
2022-02-04,242.39,"3,603,530",244.64,246.09,241.16
2022-02-07,241.15,"3,067,483",244.16,244.975,240.15
2022-02-08,242.95,"3,027,688",243.2,245.17,242.05
2022-02-09,246.49,"3,135,172",245.17,246.62,243.72
2022-02-10,242.12,"2,034,787",243.55,246.1,240.935
2022-02-11,238.81,"2,379,131",241.34,244.49,237.71
2022-02-14,242.55,"2,429,423",240.13,243.75,238.38
2022-02-15,249.32,"3,248,798",245.0,249.98,244.48
2022-02-16,253.81,"3,493,078",248.45,254.8481,248.45
2022-02-17,250.99,"2,697,469",252.31,253.3,249.56
2022-02-18,251.19,"3,319,323",251.46,254.48,250.33
2022-02-22,246.27,"4,360,339",251.0,252.28,245.27
2022-02-23,244.82,"3,346,884",248.04,251.59,244.31
2022-02-24,242.09,"3,944,312",240.41,242.8,236.81
2022-02-25,246.41,"2,548,120",242.26,248.35,241.56
2022-02-28,245.95,"3,358,097",240.53,246.49,239.6405
2022-03-01,242.43,"3,327,038",244.86,246.55,240.98
2022-03-02,252.37,"3,528,986",243.22,253.38,242.95
2022-03-03,255.46,"7,218,033",253.93,263.59,253.33
2022-03-04,264.63,"5,926,221",254.68,264.79,253.63
2022-03-07,261.46,"5,794,047",264.0,270.14,261.28
2022-03-08,253.47,"6,229,956",261.5,263.25,253.1
2022-03-09,253.67,"6,204,384",257.35,259.35,251.54
2022-03-10,259.65,"4,501,234",252.0,259.91,249.56
2022-03-11,261.52,"3,873,780",259.01,263.4,259.01
2022-03-14,257.66,"3,839,221",263.36,263.87,255.65
2022-03-15,260.13,"2,913,846",261.55,262.29,256.795
2022-03-16,264.15,"3,958,646",262.1,264.93,260.26
2022-03-17,263.56,"3,761,454",260.92,264.42,258.44
2022-03-18,261.32,"6,342,912",264.0,264.16,259.65
2022-03-21,264.51,"5,158,399",260.85,265.44,260.24
2022-03-22,265.86,"3,704,768",266.0,267.2,263.79
2022-03-23,267.68,"2,877,134",265.06,269.77,264.52
2022-03-24,270.21,"3,400,248",269.0,272.77,268.27
