Date,Close,Volume,Open,High,Low
2014-12-09,66.035,"10,426,788",64.875,66.1825,64.875
2014-12-10,65.43,"8,550,452",65.945,66.21,65.25
2014-12-11,65.78,"13,383,756",65.7375,66.395,65.6275
2014-12-12,64.195,"15,327,668",65.1325,66.1125,64.195
2014-12-15,64.175,"12,830,244",64.5425,64.7125,63.2725
2014-12-16,63.3525,"12,041,904",63.23,64.6125,63.0875
2014-12-17,64.77,"9,715,680",63.53,64.89,63.425
2014-12-18,66.04,"10,294,884",65.46,66.1125,65.285
2014-12-19,65.4175,"15,561,236",65.84,66.145,65.345
2014-12-22,66.0525,"5,700,456",65.605,66.0775,65.5075
2014-12-23,66.315,"5,537,892",66.2525,66.605,66.015
2014-12-24,66.9075,"5,237,588",66.3725,67.2125,66.345
2014-12-26,66.655,"4,767,156",66.9075,67.33,66.655
2014-12-29,66.3575,"5,262,004",66.62,66.925,66.2625
2014-12-30,66.1375,"4,781,380",66.275,66.345,65.7705
2014-12-31,65.55,"6,014,936",66.37,66.8125,65.545
2015-01-02,66.255,"8,392,380",65.845,66.6875,65.6225
2015-01-05,64.7925,"12,750,712",65.8725,65.875,64.7163
2015-01-06,64.375,"11,070,092",64.9475,65.195,63.7137
2015-01-07,65.2375,"9,334,236",64.61,65.285,64.3625
2015-01-08,66.1125,"10,443,356",65.8,66.28,65.6575
2015-01-09,65.1325,"10,509,132",65.9025,66.117,64.9426
2015-01-12,65.005,"6,423,856",65.26,65.5,64.785
2015-01-13,65.195,"10,281,472",65.505,66.4525,64.7775
2015-01-14,63.89,"12,222,424",64.16,64.65,63.53
2015-01-15,63.2825,"10,579,592",64.1775,64.3675,63.09
2015-01-16,63.7375,"11,134,780",62.975,63.775,62.875
2015-01-20,64.21,"14,933,464",64.055,64.9225,63.565
2015-01-21,64.32,"9,783,844",64.04,64.9075,63.625
2015-01-22,64.4,"11,551,252",63.8625,64.75,63.3425
2015-01-23,64.5725,"6,158,124",64.63,65.1625,64.545
2015-01-26,64.1325,"8,552,380",64.235,64.3225,63.45
2015-01-27,62.7475,"11,025,676",63.4475,63.4475,62.145
2015-01-28,61.59,"11,423,664",63.1325,63.2525,61.575
2015-01-29,62.0,"15,572,964",61.8825,62.2,61.2925
2015-01-30,63.7275,"22,136,108",65.1,65.9046,63.7275
2015-02-02,63.835,"13,666,564",64.0775,64.0775,62.425
2015-02-03,64.9475,"15,064,796",64.1775,65.1125,63.685
2015-02-04,66.2225,"22,164,872",64.8975,66.6825,64.775
2015-02-05,67.95,"16,560,936",66.8125,67.95,66.475
2015-02-06,66.855,"11,239,312",67.9375,68.1125,66.51
2015-02-09,66.365,"7,370,672",66.8525,67.085,66.32
2015-02-10,66.1375,"9,388,808",66.6875,66.9675,65.9067
2015-02-11,66.4975,"8,793,896",66.245,66.575,66.0625
2015-02-12,67.7275,"11,634,212",66.905,67.7275,66.765
2015-02-13,67.4075,"8,476,876",68.1875,68.1875,67.195
2015-02-17,67.7175,"6,811,388",67.87,67.9975,67.4675
2015-02-18,67.28,"6,418,824",67.7175,67.75,67.0375
2015-02-19,67.275,"5,654,404",67.5175,67.5175,67.0
2015-02-20,68.25,"9,010,164",67.26,68.25,66.765
2015-02-23,68.2525,"6,653,068",68.24,68.33,67.5625
2015-02-24,68.1175,"9,046,972",68.4525,68.4525,67.7925
2015-02-25,68.2525,"6,842,576",67.815,68.5575,67.815
2015-02-26,68.4375,"13,457,108",68.3,68.625,68.005
2015-02-27,67.8275,"7,956,320",68.3675,68.5475,67.8275
2015-03-02,69.5725,"11,642,816",69.1775,69.5725,68.61
2015-03-03,68.825,"8,801,256",69.6625,69.6625,68.375
2015-03-04,68.4375,"7,995,208",68.7875,68.7875,68.0625
2015-03-05,68.5325,"6,743,324",68.75,68.785,68.4375
2015-03-06,67.335,"11,587,724",68.35,68.62,67.3125
2015-03-09,67.855,"8,902,332",67.63,68.0525,67.27
2015-03-10,66.3,"11,111,184",67.41,67.465,66.3
2015-03-11,66.1875,"12,098,864",66.4075,66.845,65.7625
2015-03-12,67.395,"9,518,092",66.6,67.5,66.575
2015-03-13,66.2575,"12,581,752",67.21,67.21,66.125
2015-03-16,67.255,"9,846,700",66.7225,67.5125,66.6575
2015-03-17,66.125,"14,282,524",67.015,67.09,66.035
2015-03-18,66.9175,"49,105,480",66.0225,66.995,64.7525
2015-03-19,66.81,"15,313,060",66.83,67.19,65.75
2015-03-20,67.41,"15,362,830",67.25,67.7,66.78
2015-03-23,67.08,"8,121,926",68.03,68.21,67.07
2015-03-24,67.1,"6,515,936",67.1,67.69,66.84
2015-03-25,65.73,"13,046,780",67.1,67.43,65.73
2015-03-26,65.59,"9,484,495",65.25,66.3,65.02
2015-03-27,65.54,"6,519,381",65.52,65.81,65.15
2015-03-30,65.66,"11,235,700",66.02,66.32,65.5
2015-03-31,65.41,"7,397,082",65.47,66.205,65.39
2015-04-01,65.18,"7,628,297",65.45,65.5195,64.45
2015-04-02,65.29,"5,082,635",64.99,65.62,64.81
2015-04-06,65.2,"8,348,874",64.73,65.64,64.4105
2015-04-07,65.8,"6,658,119",65.38,66.19,65.31
2015-04-08,66.5,"6,602,761",65.89,66.84,65.8
2015-04-09,66.44,"5,407,327",66.57,66.82,65.76
2015-04-10,66.34,"4,628,505",66.69,66.69,65.93
2015-04-13,65.61,"5,057,470",66.22,66.8,65.51
2015-04-14,65.53,"5,612,853",65.52,65.94,64.88
2015-04-15,65.68,"5,335,147",65.6,65.91,65.3
2015-04-16,65.65,"4,120,607",65.53,66.01,65.35
2015-04-17,64.52,"11,207,280",65.1,65.5,64.35
2015-04-20,64.72,"5,947,165",65.0,65.21,64.58
2015-04-21,65.35,"9,619,719",65.03,65.83,64.99
2015-04-22,68.01,"20,904,400",65.82,69.98,65.79
2015-04-23,67.72,"7,190,525",68.2,68.2199,67.52
2015-04-24,67.48,"6,219,805",68.13,68.18,67.31
2015-04-27,67.1,"7,119,795",68.39,68.61,66.9301
2015-04-28,66.77,"6,293,606",67.31,67.5,66.41
2015-04-29,67.34,"9,793,475",66.86,68.46,66.78
2015-04-30,66.05,"11,735,780",67.18,67.5,65.42
2015-05-01,65.77,"10,140,200",65.22,66.66,65.15
2015-05-04,65.58,"7,426,037",66.05,66.14,65.47
2015-05-05,65.96,"8,098,288",65.77,66.39,65.6
2015-05-06,65.67,"7,080,760",66.15,66.65,65.23
2015-05-07,66.58,"6,658,960",65.58,66.78,65.5375
2015-05-08,69.47,"18,355,700",67.14,70.1599,67.01
2015-05-11,69.02,"10,996,460",69.3,69.7,68.79
2015-05-12,68.69,"7,438,038",68.55,69.0,67.97
2015-05-13,68.65,"5,130,089",68.75,68.88,68.19
2015-05-14,70.0,"6,485,435",68.96,70.03,68.85
2015-05-15,69.57,"7,113,672",70.1,70.69,69.311
2015-05-18,70.0,"5,554,233",69.74,70.24,69.13
2015-05-19,70.16,"4,350,905",70.14,70.5625,70.0
2015-05-20,69.78,"4,869,226",70.25,70.32,69.48
2015-05-21,69.37,"6,480,103",69.55,69.87,69.28
2015-05-22,69.62,"4,511,099",69.3,69.85,69.3
2015-05-26,68.54,"6,221,584",69.31,69.499,68.31
2015-05-27,69.49,"7,063,624",68.85,69.74,68.5
2015-05-28,69.56,"3,893,955",69.48,69.78,68.8
2015-05-29,68.68,"6,666,046",69.33,69.6043,68.5151
2015-06-01,69.11,"6,306,879",69.13,69.45,68.43
2015-06-02,69.04,"4,457,718",68.73,69.46,68.01
2015-06-03,68.95,"4,906,337",69.26,69.5,68.89
2015-06-04,68.21,"6,459,498",68.63,69.145,68.025
2015-06-05,68.37,"4,412,851",68.29,68.6998,68.0
2015-06-08,67.68,"4,863,019",68.19,68.29,67.62
2015-06-09,67.95,"4,439,048",67.67,68.09,67.5283
2015-06-10,69.63,"6,800,900",68.22,69.67,68.11
2015-06-11,69.64,"5,232,206",69.7,70.02,69.4152
2015-06-12,69.33,"4,900,541",69.43,69.7383,69.02
2015-06-15,68.57,"5,989,656",68.72,68.99,68.17
