Date,Close,Volume,Open,High,Low
2021-12-08,50.49,"20,452,740",50.72,50.85,50.15
2021-12-09,50.16,"23,628,310",50.4,50.4,49.865
2021-12-10,50.19,"18,498,730",50.33,50.33,49.99
2021-12-13,50.28,"27,618,840",50.1,50.539,49.685
2021-12-14,50.65,"31,555,920",50.37,51.145,50.18
2021-12-15,50.55,"24,115,730",50.83,51.04,50.48
2021-12-16,52.75,"40,091,270",50.66,52.915,50.55
2021-12-17,53.17,"54,604,900",53.05,53.22,52.3604
2021-12-20,53.09,"23,418,010",52.73,53.34,52.685
2021-12-21,52.78,"23,905,320",53.26,53.33,52.65
2021-12-22,52.77,"16,486,470",52.58,52.9,52.055
2021-12-23,52.68,"14,921,400",52.85,53.09,52.67
2021-12-27,52.68,"19,710,750",52.69,52.821,52.45
2021-12-28,52.72,"12,129,050",52.63,53.0915,52.61
2021-12-29,52.36,"15,109,500",52.77,52.875,52.34
2021-12-30,52.25,"15,615,510",52.38,52.57,52.08
2021-12-31,51.96,"15,911,390",52.2,52.31,51.8801
2022-01-03,52.44,"18,243,160",52.07,52.56,51.98
2022-01-04,53.47,"26,376,760",52.64,53.71,52.55
2022-01-05,54.02,"28,697,300",53.84,54.64,53.51
2022-01-06,53.76,"21,563,760",54.48,54.55,53.66
2022-01-07,54.24,"26,512,540",53.26,54.36,53.26
2022-01-10,53.87,"24,929,410",54.49,54.83,53.81
2022-01-11,53.59,"18,598,500",53.92,54.08,53.16
2022-01-12,53.45,"12,778,490",53.39,53.66,53.09
2022-01-13,53.52,"18,178,180",53.515,54.03,53.175
2022-01-14,53.28,"18,695,780",53.59,53.7,53.075
2022-01-18,53.43,"21,572,440",53.1,53.57,52.58
2022-01-19,53.5,"18,374,190",53.47,53.68,52.87
2022-01-20,53.4,"24,297,090",53.49,53.94,53.08
2022-01-21,53.16,"25,294,820",53.73,53.9,53.07
2022-01-24,52.96,"32,535,050",53.11,53.71,52.2
2022-01-25,52.9,"32,075,940",53.13,53.85,52.2619
2022-01-26,51.02,"41,504,690",52.62,52.86,50.81
2022-01-27,51.19,"35,346,510",50.91,52.07,50.81
2022-01-28,52.9,"29,490,770",51.44,52.93,51.185
2022-01-31,53.23,"25,182,370",52.52,53.32,52.21
2022-02-01,53.2,"33,045,580",53.4,53.6,52.21
2022-02-02,53.8,"24,160,190",53.56,54.28,53.3
2022-02-03,53.79,"21,219,830",54.0,54.57,53.7
2022-02-04,53.31,"16,199,780",53.52,53.83,53.225
2022-02-07,53.0,"15,438,920",53.23,53.36,52.51
2022-02-08,52.82,"13,911,680",53.01,53.17,52.575
2022-02-09,53.5,"16,449,310",53.15,53.66,52.88
2022-02-10,53.04,"18,644,430",53.34,53.54,52.9
2022-02-11,53.32,"18,833,150",52.95,53.46,52.7
2022-02-14,53.27,"16,081,700",53.25,53.45,52.5
2022-02-15,53.36,"12,827,960",53.3,53.59,53.15
2022-02-16,53.4,"17,277,880",53.19,53.7975,53.09
2022-02-17,53.58,"17,462,470",53.1,53.59,52.78
2022-02-18,53.83,"20,298,510",53.56,53.96,53.28
2022-02-22,53.9,"19,858,390",54.0,54.03,53.59
2022-02-23,53.41,"17,841,860",53.9,53.93,53.24
2022-02-24,52.59,"30,079,680",52.97,53.16,51.71
2022-02-25,54.12,"31,444,250",53.08,54.54,53.08
2022-02-28,53.67,"30,593,850",53.8,54.1,53.4
2022-03-01,53.61,"24,693,080",53.5,54.19,53.26
2022-03-02,54.14,"20,712,860",53.67,54.41,53.53
2022-03-03,54.66,"27,577,670",54.38,55.145,54.175
2022-03-04,55.11,"26,917,790",54.43,55.39,54.255
2022-03-07,54.68,"24,962,850",54.75,55.24,54.5
2022-03-08,53.25,"36,526,710",54.96,55.3399,53.19
2022-03-09,53.08,"23,049,830",53.72,53.81,53.01
2022-03-10,53.23,"17,501,820",53.0,53.34,52.78
2022-03-11,53.04,"20,838,500",53.36,53.58,53.01
2022-03-14,52.5,"23,124,140",53.43,53.67,52.4401
2022-03-15,52.76,"20,477,590",52.69,53.0,52.21
2022-03-16,52.49,"28,500,740",52.87,53.0,51.95
2022-03-17,52.36,"22,931,520",52.48,52.54,51.995
2022-03-18,50.8,"70,390,620",52.12,52.29,50.8
2022-03-21,51.1,"39,892,830",51.37,51.81,50.97
2022-03-22,51.0,"28,676,580",51.19,51.4597,50.95
2022-03-23,50.97,"25,988,810",51.05,51.4563,50.96
2022-03-24,51.0,"21,087,320",51.04,51.19,50.9254
2022-03-25,51.28,"18,771,990",51.06,51.4577,50.97
2022-03-28,51.17,"21,688,600",51.36,51.39,50.95
2022-03-29,51.25,"28,193,430",51.32,51.34,50.96
2022-03-30,51.61,"23,821,190",51.22,51.63,51.08
2022-03-31,50.94,"31,027,610",51.66,51.7492,50.93
2022-04-01,52.12,"30,550,320",51.02,52.185,50.815
2022-04-04,52.46,"25,800,850",52.02,52.5,51.635
2022-04-05,52.78,"23,150,620",52.2,52.9,52.13
2022-04-06,53.2,"28,661,720",52.81,53.43,52.565
2022-04-07,52.67,"22,790,550",52.45,52.98,52.04
2022-04-08,53.53,"24,852,230",52.73,53.68,52.5
2022-04-11,53.9,"33,614,950",53.87,54.7,53.71
2022-04-12,53.67,"21,136,410",53.87,54.05,53.4222
2022-04-13,54.14,"19,797,980",53.59,54.37,53.59
2022-04-14,53.83,"16,915,090",54.0,54.19,53.78
2022-04-18,53.39,"14,394,310",53.76,54.28,53.22
2022-04-19,53.75,"12,890,020",53.58,53.905,53.46
2022-04-20,54.41,"19,563,380",53.76,54.49,53.7
2022-04-21,55.01,"32,821,140",54.61,55.51,54.47
2022-04-22,51.91,"44,958,420",53.44,53.54,51.46
2022-04-25,50.28,"46,028,360",51.34,51.44,49.54
2022-04-26,49.41,"29,507,710",50.26,50.65,49.37
2022-04-27,48.46,"30,582,040",49.51,49.51,48.42
2022-04-28,48.4,"33,011,680",48.69,49.17,48.3
2022-04-29,46.3,"41,014,200",48.16,48.2,46.17
2022-05-02,46.23,"33,309,410",46.51,47.055,45.5489
2022-05-03,47.17,"33,263,060",46.39,47.41,46.06
2022-05-04,48.37,"29,564,580",47.24,48.415,47.0
2022-05-05,47.84,"20,664,330",48.03,48.33,47.41
2022-05-06,48.27,"19,322,030",47.6,48.44,47.521
2022-05-09,48.62,"24,391,310",48.13,48.86,47.75
2022-05-10,48.13,"23,007,260",48.9,49.44,47.77
2022-05-11,47.88,"20,133,180",48.18,48.52,47.6209
2022-05-12,48.06,"21,623,920",47.81,48.18,47.41
2022-05-13,48.18,"21,080,480",48.25,48.45,47.61
2022-05-16,49.04,"22,754,650",47.98,49.2,47.76
2022-05-17,48.94,"22,043,060",48.95,49.205,48.53
2022-05-18,48.89,"22,365,080",48.95,49.46,48.63
2022-05-19,49.1,"23,186,390",48.46,49.18,48.13
2022-05-20,49.53,"24,181,820",49.04,49.6,48.92
2022-05-23,49.67,"16,761,780",49.79,50.27,49.495
2022-05-24,50.68,"25,414,670",49.69,50.82,48.86
2022-05-25,51.24,"19,831,480",50.5,51.27,50.39
2022-05-26,50.99,"15,500,360",51.31,51.605,50.9099
2022-05-27,51.4,"13,347,350",50.75,51.43,50.53
2022-05-31,51.29,"25,016,560",51.26,51.56,50.851
2022-06-01,51.4,"15,358,130",51.44,51.63,51.045
2022-06-02,51.29,"13,527,850",51.55,51.59,50.39
2022-06-03,50.81,"10,819,820",50.94,51.25,50.69
2022-06-06,51.24,"12,898,060",50.93,51.3499,50.715
2022-06-07,51.65,"15,382,980",51.15,51.7,50.93
2022-06-08,51.55,"13,249,740",51.73,51.96,51.4407
2022-06-09,50.94,"12,079,270",51.62,51.77,50.92
2022-06-10,50.82,"19,871,440",50.65,51.4,50.47
2022-06-13,49.59,"23,762,460",50.62,50.79,49.4
2022-06-14,49.16,"20,278,710",49.59,49.835,48.895
2022-06-15,49.15,"22,005,590",49.23,49.83,48.595
2022-06-16,48.84,"22,029,330",48.52,48.97,48.01
2022-06-17,49.03,"36,469,520",48.61,49.485,48.53
2022-06-21,50.65,"34,258,510",49.31,50.91,49.22
2022-06-22,50.79,"23,651,570",50.26,51.17,50.21
2022-06-23,52.09,"21,736,430",51.03,52.18,51.03
2022-06-24,50.96,"28,490,740",52.03,52.15,50.57
2022-06-27,50.96,"16,974,910",51.29,51.49,50.6533
2022-06-28,50.46,"16,616,610",51.07,51.3,50.43
2022-06-29,50.94,"13,901,450",50.48,51.0,50.32
2022-06-30,50.75,"18,880,500",50.67,51.215,50.46
2022-07-01,51.64,"14,189,320",50.96,51.77,50.58
2022-07-05,51.42,"19,687,280",51.42,51.46,50.48
2022-07-06,51.51,"14,938,950",51.42,51.885,51.13
2022-07-07,50.71,"13,617,050",50.96,51.055,50.36
2022-07-08,50.49,"13,959,150",50.52,50.92,50.41
2022-07-11,50.5,"12,261,840",50.37,50.735,50.26
2022-07-12,50.78,"20,528,740",50.65,51.36,50.28
2022-07-13,50.51,"13,362,450",50.44,51.09,50.2
2022-07-14,50.49,"10,271,680",49.92,50.56,49.73
2022-07-15,51.02,"13,021,340",51.0,51.04,50.35
2022-07-18,50.28,"16,173,080",51.06,51.17,50.17
2022-07-19,50.45,"14,638,480",50.48,50.56,50.24
2022-07-20,49.07,"29,611,360",50.47,50.545,49.01
2022-07-21,47.66,"32,320,980",47.63,47.88,46.68
2022-07-22,44.45,"58,265,020",45.95,46.18,43.765
2022-07-25,44.76,"27,180,710",44.38,44.8,44.05
2022-07-26,44.92,"20,571,800",44.5,45.165,44.27
2022-07-27,44.91,"21,560,480",44.81,45.0891,44.45
2022-07-28,45.55,"22,051,870",44.84,45.72,44.75
2022-07-29,46.19,"23,129,840",45.71,46.495,45.58
2022-08-01,46.26,"18,612,100",46.29,46.5,45.92
2022-08-02,45.34,"18,710,320",46.25,46.43,45.31
2022-08-03,45.33,"17,314,110",45.46,45.605,45.18
2022-08-04,44.43,"29,704,280",45.22,45.22,44.36
2022-08-05,44.95,"17,297,480",44.48,44.98,44.36
2022-08-08,44.54,"20,601,700",44.95,45.01,44.35
2022-08-09,44.68,"14,554,020",44.61,44.85,44.39
2022-08-10,44.84,"16,402,720",45.01,45.06,44.65
2022-08-11,44.78,"15,407,260",44.96,45.26,44.735
2022-08-12,45.15,"15,090,890",44.95,45.26,44.81
2022-08-15,45.56,"15,713,640",45.03,45.64,44.94
2022-08-16,45.8,"14,112,760",45.5,46.05,45.375
2022-08-17,45.34,"11,294,440",45.43,45.715,45.26
2022-08-18,44.19,"25,957,370",44.42,44.53,43.91
2022-08-19,44.42,"19,485,360",44.1,44.49,43.96
2022-08-22,44.17,"15,031,370",44.4,44.47,44.09
2022-08-23,43.47,"19,014,210",44.0,44.13,43.42
2022-08-24,43.55,"17,384,400",43.55,43.63,43.22
2022-08-25,43.74,"14,327,640",43.65,43.822,43.42
2022-08-26,43.25,"16,795,670",43.59,43.7,43.24
2022-08-29,43.33,"15,039,490",43.015,43.565,43.015
2022-08-30,42.53,"20,705,140",43.38,43.38,42.5
2022-08-31,41.81,"28,368,160",42.47,42.585,41.76
2022-09-01,41.81,"21,641,700",41.64,42.0462,41.64
2022-09-02,41.3,"21,155,670",42.0,42.21,41.15
2022-09-06,41.1,"23,898,620",41.35,41.69,41.09
2022-09-07,41.08,"25,548,330",41.14,41.65,41.0
2022-09-08,41.32,"28,753,210",41.0,41.72,40.71
2022-09-09,42.24,"20,264,010",41.68,42.32,41.47
2022-09-12,42.76,"18,553,230",42.59,42.85,42.41
2022-09-13,41.75,"21,284,540",42.4,42.61,41.57
2022-09-14,41.28,"23,152,190",41.75,41.93,40.98
2022-09-15,41.03,"22,763,390",41.03,41.27,40.705
2022-09-16,41.25,"45,069,320",40.98,41.54,40.66
2022-09-19,41.24,"18,960,850",41.06,41.25,40.69
2022-09-20,40.59,"15,561,210",40.99,40.99,40.47
2022-09-21,39.48,"25,612,130",40.69,40.9,39.47
2022-09-22,39.93,"19,806,380",39.47,40.395,39.26
2022-09-23,39.52,"19,439,740",39.56,39.87,39.1101
2022-09-26,38.93,"21,345,730",39.23,39.38,38.63
2022-09-27,38.89,"20,357,670",39.2,39.7,38.78
2022-09-28,39.39,"20,567,390",39.06,39.51,39.01
2022-09-29,38.64,"17,806,890",39.11,39.2,38.45
2022-09-30,37.97,"23,523,580",38.54,38.79,37.95
2022-10-03,39.16,"21,495,260",38.5,39.37,38.385
2022-10-04,39.81,"25,922,460",39.5,39.85,39.25
2022-10-05,39.4,"17,797,910",39.34,39.62,38.8735
2022-10-06,37.84,"36,663,250",39.47,39.6556,37.77
2022-10-07,36.85,"31,838,660",37.63,37.7,36.81
2022-10-10,36.62,"21,622,180",37.13,37.315,36.37
2022-10-11,35.94,"27,708,920",36.56,36.69,35.93
2022-10-12,35.68,"23,336,830",35.9,36.195,35.6
2022-10-13,36.4,"33,118,130",35.12,36.59,35.04
2022-10-14,36.38,"26,026,320",36.8,36.91,36.34
2022-10-17,37.18,"21,962,930",36.72,37.295,36.59
2022-10-18,37.07,"27,488,570",37.67,37.7,36.83
2022-10-19,36.57,"29,563,610",36.57,37.37,36.56
2022-10-20,37.0,"35,523,690",36.57,37.535,36.55
2022-10-21,35.35,"51,671,130",35.52,35.7,34.55
2022-10-24,35.97,"28,844,840",35.66,36.39,35.57
2022-10-25,36.43,"25,496,450",35.91,36.475,35.8
2022-10-26,36.43,"20,336,110",36.38,36.71,36.2
2022-10-27,36.18,"20,268,030",36.69,36.72,36.13
2022-10-28,37.67,"31,824,350",36.8,38.04,36.57
2022-10-31,37.37,"26,630,590",37.51,37.54,37.02
2022-11-01,37.37,"22,968,930",37.98,38.09,37.3
2022-11-02,37.71,"30,648,860",37.25,38.345,37.16
2022-11-03,37.15,"22,329,780",37.36,37.54,37.12
2022-11-04,37.24,"17,599,450",37.35,37.37,36.8
2022-11-07,37.19,"19,697,590",37.32,37.445,36.98
2022-11-08,37.87,"17,392,700",37.2,37.99,37.16
2022-11-09,37.62,"17,574,620",37.92,38.13,37.59
2022-11-10,38.52,"23,049,020",38.3,38.55,37.815
2022-11-11,38.3,"22,980,970",38.55,38.69,37.81
2022-11-14,38.31,"22,703,200",38.45,38.99,38.3
2022-11-15,37.7,"25,074,060",38.49,38.83,37.46
2022-11-16,37.88,"18,962,150",37.66,38.07,37.63
2022-11-17,38.16,"18,788,610",37.55,38.18,37.29
2022-11-18,38.55,"17,821,690",38.29,38.77,38.29
2022-11-21,38.62,"19,184,220",38.6,39.13,38.52
2022-11-22,39.2,"19,809,520",38.84,39.32,38.84
2022-11-23,38.92,"14,170,010",39.03,39.2,38.61
2022-11-25,39.02,"7,725,741",39.1,39.3585,38.97
2022-11-28,38.24,"21,563,590",39.01,39.09,38.13
2022-11-29,38.34,"14,008,830",38.02,38.37,37.945
2022-11-30,38.98,"31,358,760",38.21,39.14,38.15
2022-12-01,38.33,"26,276,610",39.18,39.23,37.81
2022-12-02,38.18,"21,677,140",37.93,38.3,37.7
2022-12-05,37.07,"27,561,040",37.98,38.11,36.9
2022-12-06,36.89,"26,293,700",36.99,37.07,36.625
2022-12-07,37.17,"23,065,920",36.74,37.305,36.665
2022-12-08,37.1,"19,549,080",37.11,37.24,36.8731
2022-12-09,37.4,"20,671,250",37.21,37.63,36.9601
2022-12-12,37.95,"19,629,620",37.69,37.96,37.28
2022-12-13,37.86,"30,176,840",38.39,38.62,37.84
2022-12-14,37.45,"23,329,800",37.87,38.09,37.24
2022-12-15,37.77,"33,012,530",37.75,38.339,37.66
2022-12-16,37.12,"62,763,820",37.51,37.57,36.67
2022-12-19,37.03,"26,127,160",37.33,37.47,36.575
2022-12-20,36.99,"24,147,310",36.99,37.21,36.62
2022-12-21,37.78,"24,504,280",37.27,37.85,37.24
2022-12-22,38.31,"26,870,190",37.68,38.32,37.37
2022-12-23,38.41,"16,918,340",38.31,38.5399,37.925
2022-12-27,39.25,"25,315,930",38.49,39.4,38.32
2022-12-28,38.81,"21,793,180",39.19,39.66,38.585
2022-12-29,39.26,"17,347,000",38.9,39.535,38.81
2022-12-30,39.4,"44,007,200",39.31,39.69,39.07
2023-01-03,40.12,"31,330,680",39.77,40.23,39.38
2023-01-04,41.13,"28,779,470",40.54,41.42,40.26
2023-01-05,41.7,"29,987,160",41.2,41.945,40.82
2023-01-06,42.19,"26,010,390",41.92,42.578,41.88
2023-01-09,41.37,"23,062,220",41.38,41.67,41.3123
2023-01-10,41.95,"16,695,310",41.36,41.975,41.17
2023-01-11,41.18,"20,674,840",42.14,42.18,41.02
2023-01-12,41.81,"16,980,290",41.38,41.95,41.123
2023-01-13,41.86,"17,229,810",41.65,41.915,41.37
2023-01-17,40.85,"28,696,960",41.85,41.92,40.79
2023-01-18,39.97,"22,976,470",40.86,40.86,39.8241
2023-01-19,40.06,"24,812,610",39.71,40.275,39.4715
2023-01-20,40.0,"23,377,870",40.04,40.12,39.46
2023-01-23,39.63,"34,249,320",39.99,40.34,39.42
2023-01-24,40.42,"32,143,920",38.69,44.73,32.79
2023-01-25,40.33,"26,526,960",40.54,41.09,39.91
2023-01-26,40.27,"19,568,140",40.38,40.57,39.93
2023-01-27,40.64,"17,254,040",40.22,40.68,39.77
2023-01-30,41.05,"22,272,550",40.84,41.26,40.7
2023-01-31,41.57,"18,665,170",41.08,41.58,41.01
2023-02-01,41.69,"19,542,040",41.99,42.0,41.125
2023-02-02,41.83,"18,443,770",41.74,41.93,41.2
2023-02-03,41.51,"18,314,420",41.78,41.97,41.14
2023-02-06,41.28,"15,530,720",41.51,41.59,40.895
2023-02-07,40.55,"21,668,550",40.99,41.21,40.12
2023-02-08,40.52,"14,080,250",40.53,40.7,40.1234
2023-02-09,39.81,"17,485,660",40.62,40.66,39.75
2023-02-10,40.01,"15,398,540",40.0,40.065,39.715
2023-02-13,40.32,"14,486,020",40.01,40.47,39.88
2023-02-14,40.33,"12,292,360",40.46,40.58,39.91
2023-02-15,40.38,"11,270,430",40.23,40.4,40.095
2023-02-16,39.84,"16,625,880",40.06,40.21,39.7
2023-02-17,40.22,"15,029,170",39.84,40.39,39.66
2023-02-21,39.2,"17,805,490",39.9,39.98,39.16
2023-02-22,39.28,"15,086,760",39.38,39.59,39.025
2023-02-23,38.53,"16,738,180",39.12,39.32,38.52
2023-02-24,38.74,"16,431,540",38.23,38.76,38.09
2023-02-27,38.88,"14,210,850",38.99,39.145,38.63
2023-02-28,38.81,"16,685,260",38.7,38.97,38.55
2023-03-01,38.3,"18,411,710",38.71,38.71,38.15
2023-03-02,38.41,"18,821,080",38.1,38.46,37.94
2023-03-03,38.26,"23,407,510",38.44,38.51,38.06
2023-03-06,38.15,"22,925,650",38.37,38.63,38.05
2023-03-07,37.91,"23,713,460",38.1,38.15,37.43
2023-03-08,37.53,"20,295,630",37.8,37.81,37.35
2023-03-09,36.55,"26,506,920",37.6,37.645,36.52
2023-03-10,36.68,"23,940,700",36.64,36.92,36.414
2023-03-13,36.54,"21,834,460",36.54,37.33,36.39
2023-03-14,36.88,"22,433,210",36.66,36.94,36.5038
2023-03-15,37.06,"21,722,230",36.69,37.255,36.515
2023-03-16,36.58,"29,182,220",36.82,36.88,36.44
2023-03-17,36.79,"47,352,510",36.55,36.83,36.16
2023-03-20,37.43,"19,247,810",36.96,37.71,36.93
2023-03-21,37.74,"16,648,150",37.72,37.77,37.36
2023-03-22,37.31,"15,321,810",37.79,37.95,37.29
2023-03-23,37.37,"15,799,040",37.3,37.63,37.16
2023-03-24,37.66,"14,960,050",37.53,37.7,37.25
2023-03-27,38.05,"14,472,800",37.99,38.22,37.7
2023-03-28,38.0,"13,092,600",38.02,38.31,37.92
2023-03-29,38.48,"12,308,930",38.31,38.51,38.16
2023-03-30,38.66,"13,918,670",38.55,38.75,38.44
2023-03-31,38.89,"22,801,450",38.79,39.0499,38.55
2023-04-03,39.22,"19,354,860",39.05,39.575,39.015
2023-04-04,39.65,"18,577,090",39.29,39.65,39.21
2023-04-05,40.11,"23,561,320",39.725,40.245,39.565
2023-04-06,39.48,"21,546,620",39.5,39.78,39.16
2023-04-10,39.35,"16,114,340",39.21,39.35,38.99
2023-04-11,39.45,"12,539,690",39.33,39.7,39.27
2023-04-12,39.2,"13,095,200",39.365,39.625,39.1
2023-04-13,39.32,"13,515,820",39.19,39.32,38.915
2023-04-14,39.22,"11,008,440",39.37,39.42,38.89
2023-04-17,39.46,"11,572,850",39.22,39.51,39.1408
2023-04-18,38.94,"16,588,500",39.47,39.49,38.9
2023-04-19,38.6,"17,701,200",38.92,38.99,38.52
2023-04-20,37.19,"31,521,280",37.66,37.8,36.975
2023-04-21,37.32,"23,823,780",37.43,37.43,37.05
2023-04-24,37.1,"20,362,500",37.19,37.49,36.98
2023-04-25,37.3,"24,959,420",36.71,37.36,36.57
2023-04-26,36.92,"21,499,270",37.1,37.44,36.82
2023-04-27,38.79,"28,840,970",37.2,38.81,37.13
2023-04-28,38.83,"19,197,490",38.56,39.0,38.46
2023-05-01,38.71,"17,043,550",39.17,39.18,38.68
2023-05-02,37.67,"17,268,750",38.47,38.51,37.49
2023-05-03,37.98,"16,703,180",37.96,38.3,37.61
2023-05-04,37.35,"16,163,100",37.86,37.96,37.29
2023-05-05,37.83,"15,817,360",37.52,37.84,37.155
2023-05-08,37.83,"10,672,390",37.68,37.905,37.44
2023-05-09,37.57,"12,226,840",37.82,37.82,37.43
2023-05-10,37.63,"14,427,500",37.81,37.83,37.29
2023-05-11,37.6,"11,068,670",37.41,37.64,37.32
2023-05-12,37.59,"10,670,710",37.64,37.745,37.41
2023-05-15,36.77,"20,408,710",37.63,37.63,36.715
2023-05-16,36.05,"20,254,130",36.62,36.78,36.04
2023-05-17,36.18,"16,741,080",36.22,36.34,36.0425
2023-05-18,36.13,"20,365,880",36.01,36.17,35.72
2023-05-19,36.05,"16,829,230",36.22,36.52,36.03
2023-05-22,35.96,"16,634,310",36.25,36.33,35.9138
2023-05-23,36.24,"21,539,660",35.94,36.91,35.8
2023-05-24,35.87,"16,044,200",36.225,36.25,35.85
2023-05-25,34.82,"32,465,950",35.54,35.56,34.74
2023-05-26,35.0,"18,216,700",34.84,35.055,34.67
2023-05-30,34.9,"19,353,270",34.97,35.13,34.78
2023-05-31,35.63,"53,756,680",34.86,35.975,34.86
2023-06-01,35.72,"20,565,290",35.6,35.9,35.415
2023-06-02,34.58,"61,527,920",34.4,34.9,33.72
2023-06-05,34.46,"30,125,570",34.78,35.15,34.45
2023-06-06,34.7,"18,406,650",34.5,34.74,34.33
2023-06-07,35.26,"25,494,090",34.72,35.28,34.63
2023-06-08,35.43,"17,749,670",35.24,35.435,34.98
2023-06-09,35.47,"14,956,840",35.46,35.62,35.26
2023-06-12,35.61,"14,052,160",35.66,35.78,35.36
2023-06-13,35.48,"17,706,670",35.5,35.79,35.42
2023-06-14,35.73,"16,538,710",35.63,35.98,35.62
2023-06-15,36.44,"18,890,910",35.76,36.47,35.68
2023-06-16,36.46,"36,102,140",36.52,36.685,36.165
2023-06-20,35.81,"17,695,800",36.08,36.17,35.78
2023-06-21,35.83,"17,121,230",35.7,35.97,35.5
2023-06-22,35.85,"12,431,180",35.82,35.925,35.57
2023-06-23,35.51,"18,991,490",35.95,36.075,35.48
2023-06-26,36.11,"15,839,990",35.66,36.14,35.5
2023-06-27,36.55,"17,757,840",36.37,36.68,36.22
2023-06-28,36.82,"16,756,410",36.5,36.86,36.24
2023-06-29,36.99,"16,740,830",36.79,37.02,36.655
2023-06-30,37.19,"19,098,330",37.0,37.25,36.845
2023-07-03,37.28,"10,367,140",37.17,37.3789,36.96
2023-07-05,37.48,"19,876,790",37.28,37.68,37.23
2023-07-06,37.13,"21,566,840",37.4,37.41,37.06
2023-07-07,35.9,"20,482,680",36.22,36.35,35.87
2023-07-10,35.14,"30,326,450",35.92,35.96,35.0
2023-07-11,34.99,"28,340,300",35.12,35.22,34.71
2023-07-12,34.86,"27,299,610",35.105,35.24,34.71
2023-07-13,34.64,"25,641,880",34.82,34.86,34.42
2023-07-14,34.01,"31,576,020",34.43,34.5,33.945
2023-07-17,31.46,"97,510,640",33.65,33.65,31.25
2023-07-18,32.27,"79,722,190",32.015,33.15,31.965
2023-07-19,33.97,"61,880,970",33.71,34.16,33.16
2023-07-20,33.64,"32,839,930",33.9,34.0,33.51
2023-07-21,33.88,"25,179,370",33.51,33.94,33.36
2023-07-24,33.98,"30,784,160",33.88,34.6,33.71
2023-07-25,34.24,"35,719,480",34.64,34.95,33.72
2023-07-26,34.34,"27,916,030",33.855,34.61,33.765
2023-07-27,33.55,"28,097,530",34.23,34.61,33.54
2023-07-28,34.03,"30,651,130",33.67,34.32,33.66
2023-07-31,34.08,"24,509,890",34.0,34.12,33.84
2023-08-01,33.43,"27,302,970",34.29,34.3,33.315
2023-08-02,33.32,"20,481,590",33.47,33.7,33.22
2023-08-03,33.06,"20,469,770",33.05,33.25,32.73
2023-08-04,32.62,"24,583,960",33.0,33.03,32.53
2023-08-07,32.53,"24,314,030",32.65,32.83,32.18
2023-08-08,32.57,"22,178,900",32.45,32.81,32.43
2023-08-09,32.71,"20,798,520",32.51,32.83,32.34
2023-08-10,33.02,"19,031,590",32.85,33.32,32.82
2023-08-11,33.36,"15,271,420",32.96,33.42,32.945
2023-08-14,33.56,"17,934,000",33.19,33.59,33.14
2023-08-15,33.26,"15,528,560",33.35,33.51,33.21
2023-08-16,33.27,"17,395,150",33.3,33.64,33.14
2023-08-17,33.06,"19,127,980",33.36,33.48,32.85
2023-08-18,33.18,"21,722,670",32.86,33.42,32.86
2023-08-21,33.0,"27,074,370",33.15,33.219,32.77
2023-08-22,33.2,"21,730,330",33.08,33.32,32.89
2023-08-23,33.19,"15,766,360",33.2,33.37,33.01
2023-08-24,33.38,"18,561,370",33.01,33.58,33.0
2023-08-25,33.35,"14,912,090",33.33,33.52,33.02
2023-08-28,33.55,"16,050,360",33.48,33.62,33.255
2023-08-29,34.69,"28,782,810",33.99,34.75,33.95
2023-08-30,34.64,"15,021,400",34.89,34.95,34.55
2023-08-31,34.98,"24,333,180",34.85,35.14,34.76
2023-09-01,34.86,"14,748,680",34.99,35.145,34.835
