Date,Close,Volume,Open,High,Low
2021-12-08,45.7167,"34,496,253",46.02,46.1667,45.3367
2021-12-09,46.1667,"32,351,703",45.5433,46.19,45.2367
2021-12-10,47.01,"38,575,624",46.1133,47.1,45.8567
2021-12-13,47.8567,"54,039,365",46.7467,47.9166,46.67
2021-12-14,48.3133,"46,721,285",47.7667,48.4267,47.3834
2021-12-15,48.59,"33,489,933",48.4033,48.8233,47.8
2021-12-16,47.78,"39,069,484",48.59,48.842,47.63
2021-12-17,46.25,"78,711,818",47.5833,47.9833,46.13
2021-12-20,46.4,"31,017,873",46.04,46.5833,45.8667
2021-12-21,46.54,"24,620,438",46.3,46.62,46.0033
2021-12-22,46.6,"17,027,852",46.6333,46.6633,46.1767
2021-12-23,46.4967,"17,592,650",46.6,46.72,46.2833
2021-12-27,46.92,"16,053,377",46.5333,46.9567,46.5233
2021-12-28,47.5933,"15,789,050",46.8667,47.6567,46.8667
2021-12-29,47.57,"13,045,261",47.5533,47.8433,47.44
2021-12-30,47.7233,"14,948,992",47.7533,47.8983,47.4933
2021-12-31,48.23,"17,947,787",47.7333,48.3483,47.64
2022-01-03,48.2167,"20,709,788",48.0,48.2633,47.67
2022-01-04,47.3333,"33,930,033",48.0133,48.38,47.2533
2022-01-05,47.9733,"35,417,914",47.6167,48.65,47.58
2022-01-06,47.84,"21,828,833",47.8733,48.2133,47.4667
2022-01-07,48.2967,"19,723,592",47.8333,48.4533,47.6533
2022-01-10,48.2033,"22,731,569",48.48,48.53,47.7067
2022-01-11,48.0667,"21,668,717",48.07,48.2067,47.725
2022-01-12,47.8133,"18,946,817",47.8933,47.9867,47.6667
2022-01-13,48.49,"24,252,596",47.81,48.56,47.7033
2022-01-14,48.3533,"26,867,361",48.0733,48.8767,48.0733
2022-01-18,47.5067,"21,134,756",48.1367,48.2333,47.3767
2022-01-19,47.98,"22,673,984",47.5133,48.33,47.3067
2022-01-20,47.0733,"22,387,127",47.45,48.1533,47.0233
2022-01-21,46.73,"27,508,179",47.0733,47.4205,46.6867
2022-01-24,46.7333,"28,711,377",46.3567,46.8443,45.77
2022-01-25,45.7167,"29,479,437",46.6633,46.79,45.6033
2022-01-26,45.25,"26,185,494",45.78,46.2633,45.0533
2022-01-27,45.28,"27,783,801",45.64,46.36,45.1233
2022-01-28,45.84,"25,132,026",45.3333,45.8567,44.65
2022-01-31,46.6033,"20,193,476",45.6967,46.68,45.5667
2022-02-01,46.97,"20,323,100",46.4033,47.05,46.33
2022-02-02,46.95,"18,149,783",47.0,47.2133,46.7167
2022-02-03,46.9967,"20,741,204",46.7533,47.33,46.59
2022-02-04,46.4433,"22,036,523",46.9633,47.0,46.1167
2022-02-07,45.9867,"20,010,362",46.6867,46.69,45.87
2022-02-08,45.9967,"19,458,881",46.1067,46.4133,45.8367
2022-02-09,45.8967,"21,473,771",46.1667,46.2633,45.8233
2022-02-10,45.36,"27,810,600",45.5167,45.6717,45.1533
2022-02-11,45.11,"23,733,407",45.6067,45.7267,44.7217
2022-02-14,44.65,"29,363,511",45.11,45.32,44.2367
2022-02-15,44.79,"21,848,549",44.9133,45.2233,44.5967
2022-02-16,44.51,"28,490,589",44.7767,44.96,44.2333
2022-02-17,46.2933,"53,831,555",44.6667,46.49,44.5933
2022-02-18,45.9967,"31,103,463",46.0333,46.53,45.7202
2022-02-22,45.4833,"25,380,930",45.9233,46.08,45.3133
2022-02-23,45.0167,"21,030,941",45.62,45.73,44.9467
2022-02-24,44.8433,"31,717,443",44.6367,45.0033,44.0033
2022-02-25,45.46,"24,997,772",44.9367,45.5933,44.6967
2022-02-28,45.0533,"26,286,684",45.0,45.3567,44.59
2022-03-01,45.33,"24,025,043",45.29,45.9633,45.0067
2022-03-02,45.3867,"23,864,255",45.22,45.61,45.06
2022-03-03,46.43,"29,885,211",45.7633,46.8233,45.5167
2022-03-04,47.6067,"35,580,664",45.9367,47.6467,45.8633
2022-03-07,47.2233,"45,870,095",47.1,47.8767,46.8167
2022-03-08,46.2467,"28,305,531",47.1667,47.4867,46.1933
2022-03-09,46.4867,"22,122,938",46.6667,46.7467,46.0467
2022-03-10,47.5433,"27,512,790",46.4967,47.6667,46.3367
2022-03-11,47.3567,"19,162,262",47.4333,48.0167,47.2933
2022-03-14,48.0167,"22,646,297",47.34,48.2833,47.33
2022-03-15,48.5933,"22,872,485",48.1767,48.7167,47.95
2022-03-16,48.45,"24,615,959",48.4633,48.98,47.9
2022-03-17,48.3367,"19,023,020",48.15,48.4333,47.55
2022-03-18,48.48,"31,233,423",48.3933,48.5233,48.036
2022-03-21,48.0767,"21,350,630",48.4767,49.0967,47.8733
2022-03-22,47.9333,"20,235,125",48.2033,48.3233,47.66
2022-03-23,47.3167,"19,625,537",47.7133,47.91,47.1733
2022-03-24,47.61,"13,440,886",47.4633,47.97,47.2917
2022-03-25,47.8167,"14,088,247",47.8167,47.9767,47.4217
2022-03-28,48.6667,"20,105,645",47.8333,48.6867,47.7667
2022-03-29,49.0767,"19,934,441",48.8667,49.3667,48.75
2022-03-30,49.9567,"24,991,574",49.0433,50.06,49.0133
2022-03-31,49.64,"27,163,881",49.5967,50.18,49.3933
2022-04-01,50.3367,"20,939,801",49.8867,50.4233,49.6132
2022-04-04,50.3467,"25,337,490",50.3033,51.0667,50.0267
2022-04-05,50.49,"18,657,809",50.2933,51.11,50.2933
