Date,Close,Volume,Open,High,Low
2021-12-08,62.45,"18,214,420",62.61,63.19,62.34
2021-12-09,62.61,"16,910,330",62.05,62.7684,61.81
2021-12-10,63.01,"17,942,380",63.27,63.35,62.225
2021-12-13,61.63,"17,793,710",62.47,62.72,61.35
2021-12-14,61.54,"22,551,150",61.26,62.465,61.22
2021-12-15,61.27,"19,961,860",61.19,61.5,60.01
2021-12-16,61.37,"21,187,780",61.44,62.45,61.3
2021-12-17,60.03,"44,454,950",60.95,61.275,59.69
2021-12-20,59.16,"21,819,310",58.79,59.25,57.96
2021-12-21,60.5,"19,798,890",59.75,60.6808,59.72
2021-12-22,60.99,"14,058,340",60.34,61.365,59.97
2021-12-23,61.02,"13,543,290",61.17,61.84,61.0
2021-12-27,61.89,"12,596,340",60.93,61.95,60.42
2021-12-28,61.69,"12,786,870",61.91,62.31,61.4
2021-12-29,61.15,"12,733,600",61.48,61.5983,60.915
2021-12-30,60.79,"11,940,290",61.22,61.6,60.765
2021-12-31,61.19,"14,071,970",60.74,61.47,60.7
2022-01-03,63.54,"24,290,190",61.24,63.6,61.21
2022-01-04,65.93,"38,584,050",64.13,66.185,64.1
2022-01-05,66.75,"34,033,280",66.5,67.61,66.48
2022-01-06,68.32,"30,668,510",68.0,68.48,67.07
2022-01-07,68.88,"23,985,400",68.52,69.18,67.98
2022-01-10,68.47,"22,760,320",68.97,69.17,67.95
2022-01-11,71.35,"32,936,140",68.89,71.4,68.58
2022-01-12,71.14,"23,045,050",71.14,71.81,70.64
2022-01-13,70.63,"21,043,180",71.12,71.58,70.31
2022-01-14,71.87,"23,012,870",70.65,72.145,70.6
2022-01-18,73.08,"32,862,820",72.82,73.88,72.01
2022-01-19,73.11,"26,431,640",73.75,73.86,72.55
2022-01-20,73.27,"26,774,550",72.5,74.37,72.26
2022-01-21,72.17,"35,120,460",73.18,73.18,71.04
2022-01-24,72.79,"41,576,130",70.88,73.08,69.805
2022-01-25,74.93,"39,278,420",72.59,75.235,71.39
2022-01-26,74.17,"35,252,390",75.43,76.0,73.49
2022-01-27,75.12,"29,174,690",75.46,76.01,73.985
2022-01-28,75.28,"30,595,660",74.97,75.62,73.95
2022-01-31,75.96,"36,085,480",74.97,76.42,74.265
2022-02-01,80.83,"61,033,080",76.45,81.51,76.27
2022-02-02,80.62,"30,299,320",80.06,80.81,79.15
2022-02-03,79.68,"28,529,400",80.09,80.31,79.02
2022-02-04,81.41,"32,197,540",80.87,82.53,80.87
2022-02-07,82.39,"34,949,220",81.14,83.08,80.64
2022-02-08,80.26,"34,356,260",82.27,82.4962,79.92
2022-02-09,79.0,"40,106,120",79.58,80.03,78.7051
2022-02-10,78.24,"28,527,660",78.72,79.68,77.792
2022-02-11,80.21,"42,002,090",78.62,80.32,78.23
2022-02-14,78.98,"34,652,780",79.58,79.84,77.05
2022-02-15,77.99,"25,089,510",76.9,78.19,76.42
2022-02-16,78.35,"21,733,750",78.79,79.73,78.04
2022-02-17,78.23,"23,738,820",78.48,79.12,77.95
2022-02-18,77.36,"23,394,780",77.16,78.17,76.89
2022-02-22,76.46,"35,947,770",79.67,79.79,75.31
2022-02-23,76.77,"25,385,010",76.46,77.47,76.13
2022-02-24,75.8,"46,199,850",79.0,79.03,74.03
2022-02-25,77.84,"28,310,260",76.69,77.99,76.26
2022-02-28,78.42,"32,204,640",76.51,78.93,76.2
2022-03-01,79.17,"40,002,340",78.77,80.65,78.33
2022-03-02,80.53,"44,321,370",80.6,82.15,79.82
2022-03-03,81.04,"30,196,610",79.86,81.77,79.63
2022-03-04,84.09,"42,844,530",81.05,84.275,80.66
2022-03-07,87.12,"55,207,910",84.92,87.23,83.9
2022-03-08,87.78,"72,082,260",89.05,91.505,85.43
2022-03-09,82.79,"65,466,650",84.03,86.57,81.6
2022-03-10,85.36,"44,644,240",84.01,85.68,82.9
2022-03-11,84.92,"35,303,370",84.07,86.23,83.97
2022-03-14,81.88,"37,462,620",83.06,83.45,80.5
2022-03-15,77.22,"47,957,900",78.82,79.17,76.37
2022-03-16,76.93,"37,812,300",77.81,78.62,76.25
2022-03-17,78.98,"34,041,920",78.18,79.15,77.07
2022-03-18,78.67,"41,461,480",79.06,79.3898,78.1
2022-03-21,82.2,"33,089,290",80.12,82.515,79.74
2022-03-22,81.84,"23,132,200",81.63,82.2,80.79
2022-03-23,83.13,"27,716,310",83.34,84.27,83.05
2022-03-24,83.38,"19,871,630",83.46,84.6499,82.75
2022-03-25,85.2,"22,408,180",82.92,85.49,82.79
2022-03-28,82.81,"21,552,380",83.17,83.31,82.02
2022-03-29,82.37,"27,036,250",80.81,82.49,79.76
2022-03-30,83.78,"22,079,010",83.06,84.01,82.71
2022-03-31,82.59,"27,861,460",82.87,84.4,82.55
2022-04-01,83.12,"18,671,080",81.99,84.14,81.99
2022-04-04,83.16,"20,880,040",83.56,83.66,82.05
2022-04-05,82.73,"21,753,100",83.5,85.07,82.555
2022-04-06,83.65,"24,768,200",83.42,84.7,82.94
2022-04-07,85.05,"26,121,980",83.83,85.44,82.71
2022-04-08,86.84,"24,866,510",85.17,87.21,85.17
2022-04-11,83.85,"21,800,100",85.78,85.93,83.5
2022-04-12,85.6,"22,444,180",85.71,86.82,85.375
2022-04-13,86.81,"19,306,830",86.61,87.11,85.19
2022-04-14,87.83,"24,566,440",86.67,88.46,86.2323
2022-04-18,88.55,"19,032,300",88.5,88.89,87.75
2022-04-19,87.76,"20,382,630",88.01,88.66,87.27
2022-04-20,87.96,"20,689,410",87.97,88.5,87.3
2022-04-21,87.03,"29,010,860",88.95,89.8,86.79
2022-04-22,85.13,"23,591,600",86.66,88.12,85.0
2022-04-25,82.26,"37,698,260",82.37,82.655,79.29
2022-04-26,82.29,"28,941,490",82.73,84.72,82.18
2022-04-27,84.64,"32,773,020",83.39,85.475,82.28
2022-04-28,87.2,"33,683,760",84.88,88.135,84.07
2022-04-29,85.25,"34,656,460",88.14,88.14,84.7
2022-05-02,86.41,"36,335,200",85.01,87.035,84.63
2022-05-03,88.19,"33,908,100",86.26,88.78,86.12
2022-05-04,91.7,"46,188,370",89.5,91.88,88.91
2022-05-05,90.31,"41,013,420",92.04,92.05,88.39
2022-05-06,91.69,"29,619,350",90.98,91.815,89.35
2022-05-09,84.46,"45,851,630",89.44,89.56,84.02
2022-05-10,85.02,"34,483,210",85.64,86.89,83.515
2022-05-11,86.79,"33,020,630",86.43,88.94,86.28
2022-05-12,86.3,"29,491,520",85.95,86.38,83.4
2022-05-13,88.86,"25,798,440",87.36,88.945,86.345
2022-05-16,90.95,"26,101,220",88.98,91.975,88.97
2022-05-17,92.11,"23,120,660",91.73,92.45,91.12
2022-05-18,90.65,"25,451,240",92.51,92.92,89.83
2022-05-19,91.14,"24,387,370",89.0,92.3,89.0
2022-05-20,91.86,"28,795,030",91.93,93.59,90.4
2022-05-23,93.89,"27,239,330",92.66,94.77,92.55
2022-05-24,94.4,"24,293,330",92.82,94.79,92.32
2022-05-25,96.3,"29,947,850",94.58,96.53,94.47
2022-05-26,96.64,"24,314,830",96.6,97.43,96.2019
2022-05-27,97.59,"25,588,790",95.945,97.93,95.3
2022-05-31,96.0,"44,888,130",98.56,99.775,95.705
2022-06-01,97.84,"25,815,370",97.02,98.7124,96.62
2022-06-02,97.67,"19,089,110",97.29,98.1,96.79
2022-06-03,99.09,"21,038,160",97.9,99.66,97.9
2022-06-06,98.84,"20,682,050",99.18,99.78,98.67
2022-06-07,103.37,"37,810,230",99.7,103.43,99.49
2022-06-08,104.59,"31,613,160",103.49,105.57,102.98
